a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
lemonde,lemonde,-15,0.5241,0.4252,-0.0713,-0.0220,16883
lemonde,lemonde,-14,0.5214,0.4374,-0.0653,-0.0072,16883
lemonde,lemonde,-13,0.5214,0.4505,-0.0796,-0.0249,16883
lemonde,lemonde,-12,0.5266,0.4514,-0.0808,-0.0254,16883
lemonde,lemonde,-11,0.5483,0.4507,-0.0809,-0.0255,16883
lemonde,lemonde,-10,0.5297,0.4519,-0.0754,-0.0196,16883
lemonde,lemonde,-9,0.5477,0.4490,-0.0796,-0.0270,16883
lemonde,lemonde,-8,0.5462,0.4473,-0.0946,-0.0413,16883
lemonde,lemonde,-7,0.6145,0.4658,-0.0507,-0.0035,16883
lemonde,lemonde,-6,0.5864,0.4722,-0.0790,-0.0301,16883
lemonde,lemonde,-5,0.5868,0.4750,-0.0873,-0.0383,16883
lemonde,lemonde,-4,0.5580,0.4782,-0.0891,-0.0406,16883
lemonde,lemonde,-3,0.5650,0.4878,-0.0829,-0.0392,16883
lemonde,lemonde,-2,0.5632,0.5108,-0.0745,-0.0318,16883
lemonde,lemonde,-1,0.6044,0.5609,-0.0137,0.0192,16883
lemonde,lemonde,0,1.0000,1.0000,1.0000,1.0000,16883
lemonde,lemonde,1,0.6830,0.6467,0.0535,0.0902,16883
lemonde,lemonde,2,0.6245,0.5636,-0.0263,0.0104,16883
lemonde,lemonde,3,0.5879,0.5331,-0.0551,-0.0134,16883
lemonde,lemonde,4,0.5807,0.5221,-0.0499,-0.0051,16883
lemonde,lemonde,5,0.5576,0.5100,-0.0666,-0.0270,16883
lemonde,lemonde,6,0.5583,0.4924,-0.0639,-0.0164,16883
lemonde,lemonde,7,0.5780,0.5064,-0.0379,0.0026,16883
lemonde,lemonde,8,0.5758,0.5030,-0.0548,-0.0075,16883
lemonde,lemonde,9,0.5383,0.4814,-0.0824,-0.0373,16883
lemonde,lemonde,10,0.5374,0.4674,-0.0823,-0.0286,16883
lemonde,lemonde,11,0.5274,0.4630,-0.0873,-0.0392,16883
lemonde,lemonde,12,0.5196,0.4515,-0.0910,-0.0445,16883
lemonde,lemonde,13,0.5139,0.4524,-0.0726,-0.0257,16883
lemonde,lemonde,14,0.4966,0.4545,-0.0639,-0.0160,16883
lemonde,lemonde,15,0.5188,0.4605,-0.0797,-0.0247,16883
lemonde,lefigaro,-15,0.4721,0.4238,-0.0317,-0.0168,16883
lemonde,lefigaro,-14,0.5153,0.4541,-0.0327,-0.0206,16883
lemonde,lefigaro,-13,0.5248,0.4634,-0.0377,-0.0127,16883
