a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
lemonde,lemonde,-15,0.5362,0.4107,-0.0662,-0.0027,26118
lemonde,lemonde,-14,0.5583,0.4109,-0.0575,0.0084,26118
lemonde,lemonde,-13,0.5200,0.4372,-0.0739,-0.0036,26118
lemonde,lemonde,-12,0.5244,0.4379,-0.0815,-0.0105,26118
lemonde,lemonde,-11,0.5347,0.4396,-0.0807,-0.0092,26118
lemonde,lemonde,-10,0.4905,0.4325,-0.0816,-0.0138,26118
lemonde,lemonde,-9,0.5098,0.4325,-0.0819,-0.0164,26118
lemonde,lemonde,-8,0.5273,0.4349,-0.0915,-0.0274,26118
lemonde,lemonde,-7,0.5725,0.4388,-0.0484,0.0051,26118
lemonde,lemonde,-6,0.5782,0.4614,-0.0775,-0.0118,26118
lemonde,lemonde,-5,0.5770,0.4618,-0.0888,-0.0258,26118
lemonde,lemonde,-4,0.5733,0.4621,-0.0924,-0.0325,26118
lemonde,lemonde,-3,0.5257,0.4679,-0.0939,-0.0369,26118
lemonde,lemonde,-2,0.5343,0.4964,-0.0765,-0.0250,26118
lemonde,lemonde,-1,0.6069,0.5448,-0.0345,0.0108,26118
lemonde,lemonde,0,1.0000,1.0000,1.0000,1.0000,26118
lemonde,lemonde,1,0.6428,0.6260,0.0368,0.0839,26118
lemonde,lemonde,2,0.5844,0.5410,-0.0399,0.0066,26118
lemonde,lemonde,3,0.5546,0.5093,-0.0702,-0.0167,26118
lemonde,lemonde,4,0.5377,0.4981,-0.0614,-0.0069,26118
lemonde,lemonde,5,0.5108,0.4873,-0.0812,-0.0294,26118
lemonde,lemonde,6,0.5004,0.4779,-0.0701,-0.0113,26118
lemonde,lemonde,7,0.5768,0.4747,-0.0347,0.0131,26118
lemonde,lemonde,8,0.5285,0.4863,-0.0607,0.0035,26118
lemonde,lemonde,9,0.5086,0.4627,-0.0845,-0.0217,26118
lemonde,lemonde,10,0.5036,0.4506,-0.0854,-0.0191,26118
lemonde,lemonde,11,0.4832,0.4446,-0.0923,-0.0306,26118
lemonde,lemonde,12,0.4595,0.4363,-0.0916,-0.0291,26118
lemonde,lemonde,13,0.4765,0.4382,-0.0707,-0.0095,26118
lemonde,lemonde,14,0.4717,0.4279,-0.0548,0.0006,26118
lemonde,lemonde,15,0.4776,0.4422,-0.0757,-0.0073,26118
lemonde,lefigaro,-15,0.4445,0.4071,-0.0227,-0.0093,26118
lemonde,lefigaro,-14,0.4936,0.4225,-0.0298,-0.0171,26118
lemonde,lefigaro,-13,0.4989,0.4471,-0.0261,-0.0026,26118
lemonde,lefigaro,-12,0.5119,0.4517,-0.0312,-0.0127,26118
lemonde,lefigaro,-11,0.5085,0.4401,-0.0350,-0.0213,26118
lemonde,lefigaro,-10,0.4993,0.4405,-0.0301,-0.0184,26118
lemonde,lefigaro,-9,0.4943,0.4411,-0.0393,-0.0234,26118
lemonde,lefigaro,-8,0.4622,0.4239,-0.0328,-0.0250,26118
lemonde,lefigaro,-7,0.5214,0.4537,-0.0122,-0.0037,26118
lemonde,lefigaro,-6,0.5488,0.4683,-0.0264,-0.0085,26118
lemonde,lefigaro,-5,0.5118,0.4638,-0.0478,-0.0329,26118
lemonde,lefigaro,-4,0.5180,0.4708,-0.0317,-0.0164,26118
lemonde,lefigaro,-3,0.5122,0.4754,-0.0310,-0.0183,26118
lemonde,lefigaro,-2,0.4929,0.4918,-0.0114,-0.0056,26118
lemonde,lefigaro,-1,0.4904,0.5243,0.0682,0.0603,26118
lemonde,lefigaro,0,0.5572,0.6193,0.2710,0.2681,26118
lemonde,lefigaro,1,0.6037,0.5800,0.0975,0.1016,26118
lemonde,lefigaro,2,0.5446,0.5359,0.0115,0.0248,26118
lemonde,lefigaro,3,0.5200,0.5097,-0.0059,0.0100,26118
lemonde,lefigaro,4,0.5108,0.5000,-0.0225,-0.0120,26118
lemonde,lefigaro,5,0.5036,0.4888,-0.0275,-0.0126,26118
lemonde,lefigaro,6,0.4980,0.4678,-0.0161,-0.0086,26118
lemonde,lefigaro,7,0.5119,0.4699,-0.0278,-0.0127,26118
lemonde,lefigaro,8,0.5228,0.4778,-0.0300,-0.0148,26118
lemonde,lefigaro,9,0.4998,0.4686,-0.0413,-0.0311,26118
lemonde,lefigaro,10,0.4861,0.4587,-0.0458,-0.0301,26118
lemonde,lefigaro,11,0.4675,0.4515,-0.0353,-0.0228,26118
lemonde,lefigaro,12,0.4595,0.4472,-0.0323,-0.0193,26118
lemonde,lefigaro,13,0.4513,0.4202,-0.0373,-0.0274,26118
lemonde,lefigaro,14,0.4515,0.4402,-0.0277,-0.0163,26118
