composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
1,-0.12388859,-0.13066042,-0.12671405,-0.13116974,-0.12292839,-0.12205079,-0.10617890,-0.09450796,-0.07781800,-0.06083164,-0.02597703,0.01084194,0.08441879,0.19577740,0.43296928,-0.41581458,0.51451622,0.32735908,0.20638876,0.12180600,0.08010031,0.02993865,0.00401362,-0.02219112,-0.03618337,-0.04743602,-0.05654923,-0.06673880,-0.07233300,-0.08622443,-0.08193398
2,0.04491096,0.05358102,0.06241500,0.07495881,0.08658135,0.10284938,0.11769643,0.12956485,0.15640103,0.16817947,0.21474158,0.24955992,0.27696094,0.38117791,0.37891095,-0.10416920,-0.19887396,-0.23079818,-0.20436481,-0.18236846,-0.17579600,-0.16697233,-0.16255495,-0.15712192,-0.15407061,-0.15030902,-0.13777950,-0.12964866,-0.11991173,-0.11660107,-0.10714920
3,-0.11007672,-0.12911405,-0.13351982,-0.14468241,-0.15776015,-0.15764431,-0.15751074,-0.15348552,-0.14461230,-0.12222815,-0.09810497,-0.03542380,0.03929669,0.18702846,0.44173028,-0.01298631,-0.48798263,-0.25375663,-0.05187831,0.04955722,0.10591452,0.14535696,0.16966070,0.16363700,0.17774464,0.17390608,0.16006086,0.15251920,0.12736688,0.13985027,0.11713707
4,0.12480297,0.08979487,0.13182022,0.07410829,0.08408478,0.04522785,0.03995867,-0.02811817,-0.06142164,-0.12710099,-0.17539687,-0.23441091,-0.18843642,-0.24201131,0.48286659,0.25736859,0.44386057,-0.31592954,-0.20392411,-0.22685295,-0.13156675,-0.10398012,-0.05518455,-0.02388427,0.01768993,0.01888709,0.05857330,0.03750548,0.08139978,0.04715659,0.08311301
5,-0.13376127,-0.16428928,-0.14762934,-0.17243652,-0.13712566,-0.12026481,-0.09489083,-0.04606050,0.02284410,0.05795854,0.13654405,0.22252964,0.23684042,0.23377135,-0.38089978,0.00362478,0.44944880,-0.36034648,-0.23469643,-0.19510851,-0.07635369,-0.02319395,0.04987356,0.07973686,0.09343281,0.11917866,0.12200381,0.13197806,0.11583942,0.11214471,0.09930748
6,0.06320698,0.10022026,0.04771928,0.04223622,-0.00234167,-0.03738610,-0.10646150,-0.14109706,-0.19258903,-0.17836380,-0.18219778,-0.10193693,0.05288879,0.47859534,-0.08179183,0.28080536,-0.05650427,0.50334495,-0.08058071,-0.19274812,-0.29402113,-0.20794956,-0.15381795,-0.06463139,-0.04327159,0.01556122,0.06372371,0.11419379,0.10459799,0.13209297,0.11850356
7,-0.13577556,-0.18984939,-0.15169795,-0.13051606,-0.11899948,-0.05022014,-0.00949238,0.07797244,0.16865778,0.19162254,0.30713580,0.15529510,0.01351308,-0.49454534,0.19573606,-0.01815141,-0.11377090,0.38495180,-0.11275261,-0.20437924,-0.24035192,-0.15960346,-0.11662219,-0.04019986,0.03800661,0.07035133,0.16207751,0.14051377,0.14652573,0.12584468,0.10872366
8,0.03740212,-0.06793210,-0.03890362,-0.13851137,-0.09901462,-0.20173680,-0.13526100,-0.15788914,-0.05436633,-0.03445223,0.13927092,0.16786717,0.29135783,-0.12526262,0.08269675,0.59817739,0.03031270,-0.11316842,0.38737743,0.18172442,0.14557146,-0.11811706,-0.10249805,-0.19238168,-0.15135310,-0.19077340,-0.08435705,-0.10705558,-0.00234592,-0.01686479,0.07048669
9,-0.19531900,-0.20069591,-0.16824398,-0.11388719,-0.03085974,0.04293072,0.21522821,0.26312620,0.25135523,0.17358316,-0.08146643,-0.23709994,-0.39017423,0.28379630,-0.00739776,0.03045688,0.00409416,-0.17661589,0.34670243,0.13041382,-0.01879574,-0.24274763,-0.20810597,-0.13957807,-0.10633653,0.03079951,0.02687328,0.15122329,0.10126162,0.14245241,0.12302679
10,0.08297363,0.13263785,0.17835437,0.17439699,0.11675656,0.04428174,-0.06925880,-0.12200561,-0.21575733,-0.13238676,-0.05892238,0.11757459,0.23355557,-0.17814975,-0.07258332,-0.44289544,-0.04866438,-0.22579981,0.33118538,0.13708053,-0.16850616,-0.27783746,-0.26911613,-0.11300231,-0.01743219,0.11553711,0.20606545,0.18833911,0.16054914,0.10948306,0.08354676
