composante,j-15,j-14,j-13,j-12,j-11,j-10,j-9,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j+0,j+1,j+2,j+3,j+4,j+5,j+6,j+7,j+8,j+9,j+10,j+11,j+12,j+13,j+14,j+15
1,0.11034239,0.12136723,0.10876280,0.12164439,0.10069310,0.08896108,0.07972902,0.06392433,0.05365406,0.04614650,0.00878846,-0.02437595,-0.07203773,-0.15973593,-0.46310334,0.55432283,-0.49257583,-0.24077363,-0.14558087,-0.09964203,-0.06220178,-0.04560712,-0.02279400,0.00266340,0.02134682,0.03287173,0.04425128,0.07102574,0.06047915,0.07012594,0.06732796
2,-0.07950714,-0.08929042,-0.08118665,-0.07872341,-0.07592112,-0.08395264,-0.10274209,-0.13874012,-0.18484655,-0.14200336,-0.13003901,-0.14364930,-0.16738462,-0.22576789,-0.57600094,0.08409317,0.40897504,0.22208719,0.18273973,0.14803827,0.12169397,0.12534521,0.16735158,0.13704795,0.12063967,0.11129695,0.09279980,0.09686845,0.08486706,0.10311159,0.09279963
3,0.06451666,0.11414328,0.12216088,0.13650287,0.13911459,0.11975867,0.12754142,0.12267959,0.20618462,0.21340991,0.17406800,0.14584569,0.10227338,0.03113306,-0.41785090,-0.05799864,0.50403903,0.04192482,-0.06623317,-0.12423975,-0.15910659,-0.24994704,-0.19907913,-0.12550329,-0.12947315,-0.14005935,-0.15515130,-0.16067811,-0.15028479,-0.13913975,-0.09055151
4,-0.07620107,-0.03162258,-0.04486864,0.01880822,-0.02587248,-0.00480307,0.01250556,0.02735803,0.15333658,0.20025001,0.11457253,0.13961057,0.14857090,0.12163102,-0.43955418,-0.58913064,-0.44823415,0.05485642,0.12118472,0.13396905,0.09918476,0.19824487,0.15556888,0.02227092,0.02165138,0.00370741,-0.00992510,0.02666065,-0.04224836,-0.01510168,-0.04638053
5,0.08476539,0.26617546,0.11529936,0.06369846,0.00449367,-0.02684414,-0.00982176,0.07299952,0.33146707,0.08291827,-0.09331305,-0.20701453,-0.31691020,-0.35902157,0.10095068,-0.31076513,0.14461203,-0.24294563,-0.24287929,-0.18997769,-0.06012091,0.14588937,0.37268372,0.05256306,-0.02844856,-0.05450969,-0.02904058,0.02046666,0.08087763,0.19964686,0.03210551
6,-0.17527435,-0.21185439,-0.17492849,-0.21512007,-0.16173113,-0.12546556,-0.09175511,-0.05863060,0.03082350,0.11121839,0.11028560,0.16199816,0.25746307,0.33241408,-0.10398644,0.03521519,0.20836680,-0.43851006,-0.32006728,-0.18530999,-0.08829632,-0.06260609,0.12901553,0.08458187,0.06413015,0.09331230,0.12011345,0.15951082,0.16046489,0.22133145,0.13329064
7,0.11850792,-0.01230962,0.13978364,0.29717268,0.12438138,0.09144332,0.08047758,-0.00938415,-0.41424432,0.04101804,-0.10976504,-0.09715312,-0.04091933,0.03044287,-0.04422684,-0.27892185,0.10613888,-0.27125563,-0.16647141,-0.01086168,0.05943777,0.28747064,-0.43958949,-0.07881290,0.00614327,0.06529940,0.15734784,0.34108432,0.11815921,-0.11111096,0.02071757
8,-0.15228218,-0.33263240,-0.10249060,0.00589584,-0.05296730,-0.04042140,-0.02241558,0.01871633,0.08896818,0.42685613,0.16912043,0.06584975,-0.06000775,-0.23680192,0.09655796,0.28838969,0.08917280,-0.07485573,-0.03526343,0.01477495,0.12865443,0.51735410,0.05021049,0.00324811,-0.07081864,-0.09013610,-0.07277446,0.00328786,-0.11767843,-0.33425857,-0.17125253
9,-0.15352459,-0.23541905,-0.07259814,-0.00107163,-0.04139765,-0.03958993,-0.04911069,-0.00189836,0.17246118,0.31557114,0.14823641,0.05245984,-0.14216841,-0.38075051,0.09813744,-0.11512469,-0.09892867,0.29403434,0.04290977,-0.11705103,-0.14047116,-0.28982048,-0.38876300,-0.00815062,0.09259499,0.12085960,0.16436393,0.22035762,0.17938725,0.19606934,0.17839577
10,0.01511880,0.01656681,0.06810109,0.23450849,0.12016501,0.02712535,-0.07688873,-0.21749148,-0.51285524,0.07086092,0.19759638,0.25516259,0.09068550,-0.12654838,0.04436132,-0.04139662,-0.06376370,0.26226859,-0.12057757,-0.35910381,-0.30439604,0.03589513,0.34827277,0.14246109,0.05951173,-0.02683195,-0.10171793,-0.06595777,0.00538073,0.00129866,0.02218825
