mot,total,jours_actifs,n_medias
ans,17357701,6809,36
france,11518804,6809,36
temps,7127013,6809,36
monde,6266108,6809,36
fois,6138519,6809,36
premier,6827575,6809,36
là,4668232,6809,36
première,6146160,6809,36
paris,4908942,6809,36
quatre,4224320,6809,36
président,7461349,6809,36
grand,4999055,6809,36
cinq,3227350,6809,36
devant,3733447,6809,36
jour,4399249,6809,36
dernier,6097913,6809,36
heures,5351073,6809,36
fin,6040198,6809,36
aujourd'hui,4483668,6809,36
jours,4812060,6809,36
grande,3479253,6809,36
français,4960210,6809,36
mois,6729253,6809,36
place,7538422,6809,36
pays,6391200,6809,36
nouveau,4459271,6809,36
général,2323768,6809,36
part,2793016,6809,36
plusieurs,5561810,6809,36
faut,4550069,6809,36
politique,3178288,6809,36
partie,3963758,6809,36
dix,2301665,6809,36
point,2838316,6809,36
cours,3690442,6809,36
pris,2948656,6809,36
certains,3126749,6809,36
ministre,3864296,6809,36
nouvelle,4514555,6809,36
lieu,4410002,6809,36
près,3676255,6809,36
chef,2397533,6809,36
vie,4926594,6809,36
question,2220215,6809,36
reste,3520338,6809,36
gouvernement,3155446,6809,36
cas,3687876,6809,36
prendre,2675729,6809,36
compte,3466451,6809,36
guerre,1905935,6809,36
six,2423173,6809,36
moment,3384716,6809,36
seul,1951281,6809,36
mis,3240739,6809,36
nationale,2273119,6809,36
seulement,1935177,6809,36
pouvoir,2505151,6809,36
française,1962455,6809,36
unis,2376533,6809,36
nombre,2645121,6809,36
côté,3558400,6809,36
déclaré,2322314,6809,36
travail,4176546,6809,36
situation,2325120,6809,36
presse,1725324,6809,36
dernière,3065762,6809,36
voir,3195608,6809,36
parti,2004672,6809,36
conseil,3669406,6809,36
hommes,1872751,6809,36
suite,2251350,6809,36
ci,2013787,6809,36
jean,6014488,6809,36
porte,2380520,6809,36
soir,3658958,6809,36
début,4272887,6809,36
l'un,2186825,6809,36
millions,4185566,6809,36
droit,1955464,6809,36
vingt,1154555,6809,36
demande,2083991,6809,36
raison,1975293,6809,36
nord,2324642,6809,36
secrétaire,1228918,6809,36
vue,1698665,6809,36
matin,2692130,6809,36
mettre,2645441,6809,36
semble,1257122,6809,36
aucun,1475085,6809,36
sécurité,2504350,6809,36
ville,4676057,6809,36
tant,1846300,6809,36
membres,1942716,6809,36
effet,2470062,6809,36
national,1997758,6809,36
laquelle,1345940,6809,36
aucune,1320765,6809,36
donné,1574791,6809,36
affaires,997032,6809,36
américain,1549792,6809,36
années,4250326,6809,36
prix,3705793,6809,36
tête,2809503,6809,36
vient,1934195,6809,36
nouvelles,1791080,6809,36
groupe,5484542,6809,36
mesure,1370499,6809,36
république,1435996,6809,36
plan,2022322,6809,36
nombreux,2432990,6809,36
semaine,3430172,6809,36
défense,1561818,6809,36
mise,2680640,6809,36
nom,1745269,6809,36
forces,1145720,6809,36
possible,1857611,6809,36
politiques,1078231,6809,36
grands,1886201,6809,36
mort,1714760,6809,36
donner,1549510,6809,36
décision,1766551,6809,36
sud,2581068,6809,36
public,4078357,6809,36
conditions,1427725,6809,36
ministère,1247933,6809,36
savoir,2070792,6809,36
voix,1511894,6809,36
titre,1851560,6809,36
service,2785509,6809,36
l'autre,1435096,6809,36
projet,4265869,6809,36
loi,1906387,6809,36
saint,6454998,6809,36
seule,1473571,6809,36
personnes,6104987,6809,36
doute,1211968,6809,36
américaine,1033733,6809,36
force,1369173,6809,36
rapport,2206642,6809,36
directeur,2328939,6809,36
économique,1352919,6809,36
s'agit,1564098,6809,36
maintenant,1310997,6809,36
huit,1470060,6809,36
veut,1935815,6809,36
mieux,2200251,6809,36
retour,2239528,6809,36
d'abord,1401382,6809,36
quant,1352260,6809,36
bon,2538823,6809,36
sujet,1405807,6809,36
militaire,738387,6809,36
région,2224811,6809,36
problème,1190529,6809,36
commission,1408312,6809,36
décidé,1573141,6809,36
pierre,2724128,6809,36
d'ailleurs,1552343,6809,36
façon,1309415,6809,36
deuxième,2585919,6809,36
parole,1318129,6809,36
grandes,1221561,6809,36
derniers,1584592,6809,36
grâce,2398304,6809,36
