mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
ans,20080210,11570,847610,1365.01,7.293679e-85,84.1371,17
ans,20140307,15348,3757599,408.45,1.445526e-08,7.84,7
ans,20200222,21489,4230030,508.01,1.207865e-14,13.918,9
ans,20260223,21213,4181450,507.31,1.34469e-14,13.8714,10
france,20080703,2440,926437,263.37,9.06692e-09,8.0425,2
france,20100620,3285,1517347,216.5,8.222951e-05,4.085,0
france,20120114,3843,1647104,233.32,3.637976e-06,5.4391,0
france,20151115,9752,3400511,286.78,2.104139e-11,10.6769,0
france,20160709,6947,2963985,234.38,2.615318e-06,5.5825,0
france,20180714,8182,3307377,247.39,1.798322e-07,6.7451,0
france,20240811,8888,3931169,226.09,1.247951e-05,4.9038,0
temps,20191224,5361,3387393,158.26,1.966981e-07,6.7062,8
temps,20200425,6705,3644605,183.97,4.297181e-11,10.3668,23
temps,20200823,7003,3189046,219.6,7.819296e-17,16.1068,26
temps,20210502,4988,3458526,144.22,1.124576e-05,4.949,3
monde,20080817,807,562569,143.45,6.081835e-08,7.216,4
monde,20100611,3191,2123956,150.24,1.037695e-09,8.9839,3
monde,20110910,1902,1530749,124.25,1.881994e-05,4.7254,0
monde,20140714,3489,2755215,126.63,6.952395e-06,5.1579,0
monde,20180714,6606,3307377,199.74,6.407724e-20,19.1933,2
monde,20221217,5497,3793348,144.91,7.010403e-09,8.1543,1
monde,20230907,6305,5237346,120.39,4.871931e-05,4.3123,0
monde,20260611,5835,4678441,124.72,1.191066e-05,4.9241,5
premier,20080323,1550,611322,253.55,1.0545910000000002e-17,16.9769,5
premier,20080901,1021,696413,146.61,5.849861e-05,4.2329,1
premier,20120422,4378,2365033,185.11,2.663654e-09,8.5745,2
premier,20140331,8031,3776429,212.66,7.810601e-13,12.1073,2
premier,20150323,6656,3862183,172.34,7.393844e-08,7.1311,0
premier,20151206,5506,3393135,162.27,9.786035e-07,6.0094,0
premier,20170423,6013,3216092,186.97,1.46994e-09,8.8327,4
premier,20200314,7564,4460836,169.56,1.488958e-07,6.8271,0
premier,20200627,6114,3895957,156.93,3.525281e-06,5.4528,0
premier,20210628,7041,4689938,150.13,1.705711e-05,4.7681,0
premier,20220611,18353,5239233,350.3,1.188838e-33,32.9249,4
premier,20240630,10153,4714672,215.35,3.255285e-13,12.4874,1
premier,20260316,14588,4929615,295.93,6.168263e-25,24.2098,2
paris,20080308,950,744836,127.54,2.074849e-06,5.683,2
paris,20150110,4809,3152798,152.53,8.716035e-10,9.0597,0
paris,20151115,11317,3400511,332.8,7.557499e-39,38.1216,5
paris,20181202,4083,3685763,110.78,9.54117e-05,4.0204,0
paris,20190416,9074,4339582,209.1,4.408883e-18,17.3557,0
paris,20240727,8329,4315593,193.0,1.305509e-15,14.8842,6
quatre,20080817,449,562569,79.81,1.004919e-06,5.9979,0
président,20080703,1678,926437,181.12,2.397781e-05,4.6202,0
président,20081106,2205,1144921,192.59,3.423847e-06,5.4655,1
président,20120507,5468,2213268,247.06,1.108174e-10,9.9554,1
président,20170508,7442,3628746,205.08,3.187518e-07,6.4965,0
grand,20190125,4528,4754863,95.23,4.611761e-07,6.3361,6
cinq,20080323,392,611322,64.12,1.108367e-07,6.9553,0
cinq,20100918,891,1548026,57.56,4.351414e-06,5.3614,0
cinq,20220424,2946,4075483,72.29,1.015853e-15,14.9932,1
devant,20150110,2350,3152798,74.54,1.43354e-05,4.8436,0
devant,20151115,2824,3400511,83.05,7.994991e-08,7.0972,0
jour,20090710,1147,1565940,73.25,8.031376e-05,4.0952,0
jour,20141226,1708,2279063,74.94,1.59239e-05,4.798,0
jour,20200329,3315,3215636,103.09,1.740925e-18,17.7592,17
jour,20211225,1721,2295528,74.97,1.547377e-05,4.8104,0
jour,20241224,2249,3025557,74.33,2.010426e-05,4.6967,0
jour,20251225,2139,2950402,72.5,7.981637e-05,4.0979,0
dernier,20080314,1131,1101365,102.69,7.194839e-05,4.143,0
fin,20090731,1551,1394207,111.25,2.643103e-05,4.5779,0
fin,20121221,4926,4198668,117.32,1.034094e-06,5.9854,0
fin,20200612,4776,4439135,107.59,7.558325e-05,4.1216,0
fin,20210502,3823,3458526,110.54,2.341135e-05,4.6306,0
fin,20260813,7162,3719660,192.54,9.311698e-28,27.031,0
jours,20200329,3883,3215636,120.75,2.11602e-09,8.6745,9
jours,20220103,3574,3655866,97.76,2.68317e-05,4.5714,0
jours,20250716,4151,4414071,94.04,9.85773e-05,4.0062,0
grande,20140903,2460,4025701,61.11,1.412587e-05,4.85,0
grande,20160624,2495,4104482,60.79,1.861012e-05,4.7303,0
grande,20170523,2688,4300087,62.51,3.70202e-06,5.4316,1
grande,20181108,3535,5242619,67.43,2.102556e-08,7.6773,2
français,20080817,825,562569,146.65,4.133933e-08,7.3836,5
français,20120507,2550,2213268,115.21,7.929872e-05,4.1007,0
français,20151115,4124,3400511,121.28,1.695915e-05,4.7706,0
mois,20081224,900,587251,153.26,9.420639e-09,8.0259,0
place,20150110,4448,3152798,141.08,6.579559e-05,4.1818,0
place,20220611,8434,5239233,160.98,1.517411e-07,6.8189,0
pays,20080609,1203,803102,149.79,4.702748e-07,6.3276,4
pays,20220301,7324,5000351,146.47,6.301852e-07,6.2005,2
nouveau,20080323,893,611322,146.08,2.2765359999999998e-24,23.6427,4
nouveau,20081106,1004,1144921,87.69,1.984817e-06,5.7023,1
nouveau,20101114,1615,1639155,98.53,1.235603e-09,8.9081,0
nouveau,20120516,2356,2246191,104.89,7.966878e-12,11.0987,1
nouveau,20140403,4646,4414290,105.25,3.075267e-12,11.5121,2
nouveau,20170508,3497,3628746,96.37,2.513504e-09,8.5997,2
nouveau,20200706,4269,4168158,102.42,2.794892e-11,10.5536,4
nouveau,20201028,3782,4778576,79.14,9.625563e-05,4.0166,0
nouveau,20211128,3293,3972379,82.9,1.297614e-05,4.8869,0
nouveau,20240630,5835,4714672,123.76,5.190136e-19,18.2848,7
nouveau,20260325,4174,5210182,80.11,5.635178e-05,4.2491,0
part,20080422,523,962876,54.32,7.609179e-06,5.1187,1
part,20220611,2793,5239233,53.31,2.667268e-06,5.5739,0
faut,20080615,591,702024,84.19,2.49909e-05,4.6022,0
faut,20200320,3365,4196731,80.18,5.208242e-05,4.2833,1
politique,20080108,867,1001415,86.58,8.278653e-05,4.082,1
politique,20120507,2150,2213268,97.14,4.227262e-06,5.3739,0
politique,20140825,3024,2698875,112.05,5.680213e-08,7.2456,0
politique,20170508,3471,3628746,95.65,5.94973e-06,5.2255,0
partie,20191221,2791,4196403,66.51,1.835573e-07,6.7362,1
partie,20200501,2289,3651418,62.69,2.218286e-05,4.654,0
partie,20200823,2189,3189046,68.64,1.64321e-08,7.7843,4
partie,20210502,2183,3458526,63.12,1.454009e-05,4.8374,2
dix,20080820,380,824798,46.07,2.090075e-07,6.6798,1
dix,20110910,669,1530749,43.7,5.511852e-07,6.2587,0
dix,20111230,707,1761172,40.14,4.637947e-05,4.3337,0
dix,20251113,2167,5172920,41.89,9.717867e-07,6.0124,0
point,20080123,542,1091918,49.64,3.542101e-05,4.4507,0
point,20081019,378,715134,52.86,4.550417e-06,5.3419,2
point,20181117,2708,3661773,73.95,1.795814e-24,23.7457,7
point,20240129,2227,4730344,47.08,8.164297e-05,4.0881,1
point,20250911,2732,5164200,52.9,4.261722e-08,7.3704,0
cours,20090908,1982,1856630,106.75,1.993529e-10,9.7004,8
cours,20120904,4150,4294956,96.62,1.983056e-08,7.7027,4
cours,20130902,3490,4033546,86.52,2.043149e-06,5.6897,3
cours,20140903,3197,4025701,79.41,3.970226e-05,4.4012,0
cours,20200907,3769,4572789,82.42,1.143197e-05,4.9419,1
pris,20160814,1190,2445186,48.67,1.647825e-05,4.7831,1
certains,20200320,2605,4196731,62.07,1.389489e-07,6.8571,14
certains,20201103,2723,4871926,55.89,3.160626e-05,4.5002,0
