mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
ans,20080211,7328,473149,1548.77,3.825046e-90,89.4174,40
ans,20080324,1918,301875,635.36,2.455372e-20,19.6099,6
ans,20090101,823,122955,669.35,4.588471e-21,20.3383,0
ans,20140308,4666,967808,482.12,1.204267e-11,10.9193,18
ans,20200216,5985,1013983,590.25,3.866445e-18,17.4127,29
ans,20260216,8147,1491254,546.32,1.734977e-15,14.7607,29
france,20080704,792,294550,268.88,5.060525e-07,6.2958,7
france,20100620,741,312166,237.37,5.460043e-05,4.2628,0
france,20120113,1863,752902,247.44,7.565209e-06,5.1212,1
france,20120506,1543,639692,241.21,2.078101e-05,4.6823,0
france,20140914,1478,635543,232.56,7.328434e-05,4.135,0
france,20151114,3874,1156344,335.02,7.82756e-13,12.1064,3
france,20160710,2277,788168,288.9,7.071994e-09,8.1505,2
france,20180107,2376,801638,296.39,1.787088e-09,8.7479,0
france,20180715,3384,913828,370.31,5.703845e-16,15.2438,1
france,20210627,3036,1287772,235.76,3.781459e-05,4.4223,1
france,20221218,2673,976889,273.62,9.379891e-08,7.0278,0
france,20240811,2570,1023448,251.11,3.82762e-06,5.4171,2
temps,20080810,186,109784,169.42,3.092764e-05,4.5097,0
temps,20191225,1470,720009,204.16,9.672234e-10,9.0145,12
temps,20200126,2432,1262225,192.68,1.103281e-08,7.9573,2
temps,20200322,1809,922155,196.17,5.628871e-09,8.2496,10
temps,20200425,2270,985189,230.41,8.717653e-13,12.0596,46
temps,20200531,1650,920189,179.31,2.869751e-07,6.5422,9
temps,20200719,1495,835368,178.96,3.264142e-07,6.4862,4
temps,20200823,2176,878962,247.56,9.141444e-15,14.039,30
temps,20201031,1778,1145212,155.26,4.323973e-05,4.3641,0
temps,20210207,1704,1091102,156.17,3.654494e-05,4.4372,1
temps,20210501,1342,770070,174.27,9.625251e-07,6.0166,4
temps,20220423,1873,1117557,167.6,3.443997e-06,5.4629,0
monde,20080413,157,109941,142.8,5.156903e-05,4.2876,0
monde,20080712,216,154184,140.09,3.966813e-05,4.4016,0
monde,20080815,287,177154,162.01,1.199778e-07,6.9209,5
monde,20081105,746,446766,166.98,2.758198e-09,8.5594,0
monde,20090802,266,189315,140.51,2.319568e-05,4.6346,0
monde,20100610,1050,740169,141.86,2.633215e-06,5.5795,0
monde,20100711,553,329628,167.76,4.071256e-09,8.3903,8
monde,20110909,964,691141,139.48,5.354673e-06,5.2713,1
monde,20111023,588,392443,149.83,5.622166e-07,6.2501,0
monde,20140612,1691,1330084,127.13,9.966001e-05,4.0015,0
monde,20140713,1109,682983,162.38,6.229577e-09,8.2055,1
monde,20180715,2941,913828,321.83,4.81382e-37,36.3175,10
monde,20221218,2030,976889,207.8,4.47508e-16,15.3492,8
monde,20230908,2497,1779197,140.34,2.573108e-06,5.5895,0
monde,20240727,1645,1288881,127.63,8.880896e-05,4.0515,0
monde,20260616,1996,1425164,140.05,3.030309e-06,5.5185,2
monde,20260719,1327,849622,156.19,3.442686e-08,7.4631,5
fois,20080427,129,102021,126.44,1.104694e-05,4.9568,0
fois,20081221,139,114087,121.84,2.679227e-05,4.572,0
fois,20090301,257,217321,118.26,3.115899e-06,5.5064,0
fois,20100501,202,172280,117.25,1.573096e-05,4.8032,0
fois,20250105,946,908131,104.17,3.625767e-05,4.4406,0
premier,20080309,580,137980,420.35,5.812459e-34,33.2356,14
premier,20080525,174,107932,161.21,6.655855e-05,4.1768,0
premier,20080731,396,255061,155.26,4.983916e-05,4.3024,0
premier,20080901,484,283010,171.02,1.881771e-06,5.7254,1
premier,20090830,398,212056,187.69,8.570737e-08,7.067,0
premier,20100314,707,355370,198.95,2.433197e-09,8.6138,1
premier,20101114,783,387601,202.01,1.006032e-09,8.9974,0
premier,20110327,865,455888,189.74,1.552683e-08,7.8089,1
premier,20111016,715,391596,182.59,9.836045e-08,7.0072,2
premier,20120422,1627,641876,253.48,4.775934e-16,15.3209,6
premier,20120610,1887,803482,234.85,6.733922e-14,13.1717,1
premier,20140323,2606,863099,301.94,1.449394e-22,21.8388,6
