mot,cle,jours_actifs,total
ans,ans,26795,2392474
france,france,26792,2490269
temps,temps,26776,1233812
monde,monde,26752,1799027
fois,fois,26749,1231018
premier,premier,26742,1596850
là,la,26740,936056
première,premiere,26726,1025566
paris,paris,26726,1477361
quatre,quatre,26722,976975
président,president,26716,2016406
grand,grand,26715,917621
cinq,cinq,26715,824737
devant,devant,26714,806598
jour,jour,26713,796074
dernier,dernier,26710,819195
heures,heures,26708,750274
fin,fin,26703,1024307
aujourd'hui,aujourd'hui,26703,925388
jours,jours,26702,757879
grande,grande,26702,916333
français,francais,26699,1436850
mois,mois,26698,1188764
place,place,26697,867818
pays,pays,26696,2194904
nouveau,nouveau,26692,897374
général,general,26690,1128150
part,part,26688,955431
plusieurs,plusieurs,26688,966067
faut,faut,26684,925985
politique,politique,26684,1636043
partie,partie,26676,763658
dix,dix,26676,740606
point,point,26675,690307
cours,cours,26673,904264
pris,pris,26672,537963
certains,certains,26671,785399
ministre,ministre,26670,1567821
nouvelle,nouvelle,26670,889677
lieu,lieu,26667,675091
près,pres,26664,690747
chef,chef,26663,808281
vie,vie,26661,931975
question,question,26659,682350
reste,reste,26657,697046
gouvernement,gouvernement,26654,1648206
cas,cas,26653,855145
prendre,prendre,26653,503559
compte,compte,26649,680751
guerre,guerre,26640,805081
six,six,26635,561068
moment,moment,26635,568822
seul,seul,26631,498765
mis,mis,26628,547731
nationale,nationale,26625,780589
seulement,seulement,26624,564766
pouvoir,pouvoir,26623,791857
française,francaise,26623,659517
unis,unis,26622,922543
nombre,nombre,26622,669871
côté,cote,26621,555416
déclaré,declare,26621,559777
travail,travail,26619,856270
situation,situation,26617,629082
presse,presse,26617,563936
dernière,derniere,26617,416247
voir,voir,26613,521205
parti,parti,26613,981561
conseil,conseil,26612,957820
hommes,hommes,26611,500479
suite,suite,26609,398026
ci,ci,26607,642161
jean,jean,26602,1086417
porte,porte,26600,524198
soir,soir,26600,405275
début,debut,26600,627899
l'un,l'un,26595,556313
millions,millions,26593,1108391
droit,droit,26593,626896
vingt,vingt,26589,666744
demande,demande,26588,490849
raison,raison,26585,457587
nord,nord,26582,586567
secrétaire,secretaire,26580,511411
vue,vue,26576,381282
matin,matin,26575,338935
mettre,mettre,26575,489005
semble,semble,26575,453824
aucun,aucun,26572,386473
sécurité,securite,26571,578310
ville,ville,26571,675732
tant,tant,26569,450366
membres,membres,26567,501893
effet,effet,26566,627339
national,national,26565,586495
laquelle,laquelle,26563,421675
aucune,aucune,26561,351217
donné,donne,26557,331052
affaires,affaires,26554,482380
américain,americain,26553,499335
années,annees,26553,961546
prix,prix,26551,874402
tête,tete,26551,474465
vient,vient,26549,454394
nouvelles,nouvelles,26548,438256
groupe,groupe,26546,960265
mesure,mesure,26543,403871
république,republique,26541,559395
plan,plan,26540,579796
nombreux,nombreux,26540,370851
semaine,semaine,26538,429019
défense,defense,26538,464209
mise,mise,26534,548657
nom,nom,26534,432552
forces,forces,26533,427915
possible,possible,26531,371567
