mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
ans,19941219,17,788,2157.36,1.1e-10,9.96,0
ans,19960610,8,518,1544.4,3.818e-05,4.42,0
ans,19971222,13,1333,975.24,1.664e-05,4.78,0
ans,19990621,9,671,1341.28,3.214e-05,4.49,0
ans,19991004,16,1444,1108.03,7.974e-07,6.1,0
france,19450301,56,10897,513.9,1.541e-06,5.81,1
france,19450605,118,25256,467.22,6.403e-07,6.19,2
france,19450725,65,12810,507.42,9.738e-07,6.01,2
france,19451107,49,9454,518.3,2.577e-06,5.59,0
france,19470705,79,20471,385.91,8.89e-05,4.05,0
france,19540409,143,37038,386.09,2.703e-05,4.57,0
france,19540619,160,39378,406.32,7.687e-06,5.11,1
france,19540824,141,28945,487.13,1.324e-07,6.88,11
france,19541026,151,40938,368.85,6.052e-05,4.22,0
france,19550101,132,24935,529.38,1.721e-08,7.76,1
france,19550207,173,40390,428.32,2.01e-06,5.7,1
france,19551004,113,30342,372.42,8.003e-05,4.1,0
france,19600216,149,36595,407.16,8.359e-06,5.08,0
france,19610731,125,29650,421.59,5.663e-06,5.25,0
france,19701112,274,77703,352.62,7.605e-05,4.12,0
france,19821020,263,56971,461.64,1.365e-07,6.86,0
france,19890710,15,842,1781.47,3.51e-09,8.45,0
france,19891218,15,1226,1223.49,2.675e-07,6.57,0
france,19910422,24,1999,1200.6,5.498e-10,9.26,0
france,19971204,307,82660,371.4,2.395e-05,4.62,0
france,20050529,100,16420,609.01,1.113e-09,8.95,1
france,20060305,125,32835,380.69,4.469e-05,4.35,0
france,20070211,104,22135,469.84,8.323e-07,6.08,1
france,20070506,105,26456,396.89,2.835e-05,4.55,0
france,20090607,76,11983,634.23,1.995e-09,8.7,0
france,20100314,71,15979,444.33,9.577e-06,5.02,1
france,20100705,318,89262,356.25,5.541e-05,4.26,0
france,20151114,308,76030,405.1,3.31e-06,5.48,0
france,20160611,99,26547,372.92,9.946e-05,4.0,0
france,20180107,159,39719,400.31,1.072e-05,4.97,0
france,20180715,152,34162,444.94,1.062e-06,5.97,0
temps,19451218,55,21982,250.2,1.139e-08,7.94,0
temps,19520905,57,29191,195.27,3.179e-06,5.5,0
temps,19561012,53,31337,169.13,8.045e-05,4.09,0
temps,19680507,100,61573,162.41,1.467e-05,4.83,0
temps,19790514,100,59096,169.22,5.414e-06,5.27,0
temps,19800507,99,65986,150.03,8.97e-05,4.05,0
temps,19800827,65,38998,166.68,4.43e-05,4.35,0
temps,19811015,89,53328,166.89,1.198e-05,4.92,0
temps,19821204,221,99795,221.45,1.085e-11,10.96,1
temps,19830402,79,49878,158.39,5.895e-05,4.23,0
temps,19860107,108,57313,188.44,2.093e-07,6.68,0
temps,19860407,92,57282,160.61,2.549e-05,4.59,0
temps,19921014,140,61044,229.34,4.815e-11,10.32,0
temps,19930929,105,54844,191.45,1.525e-07,6.82,1
temps,19940706,100,59661,167.61,6.851e-06,5.16,0
temps,19950419,141,61948,227.61,6.186e-11,10.21,1
temps,19951102,76,44965,169.02,1.715e-05,4.77,1
temps,19960416,404,94663,426.78,6.447e-35,34.19,0
temps,19960612,99,64517,153.45,5.521e-05,4.26,0
temps,19961129,132,90966,145.11,8.921e-05,4.05,0
temps,19970108,207,124274,166.57,7.281e-07,6.14,0
temps,19971010,314,192788,162.87,5.677e-07,6.25,2
temps,19971117,8,1184,675.68,4.854e-05,4.31,0
temps,19980128,116,76474,151.69,4.519e-05,4.34,0
temps,19980415,201,82765,242.86,2.594e-13,12.59,2
temps,19990729,77,47046,163.67,3.258e-05,4.49,0
temps,19991102,218,92600,235.42,6.686e-13,12.17,1
temps,20000214,201,61594,326.33,1.47e-20,19.83,1
temps,20000816,81,52519,154.23,9.328e-05,4.03,0
