mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
france,19450605,361,103719,348.06,1.212e-07,6.92,4
france,19530604,572,205828,277.9,8.078e-05,4.09,0
france,19540902,887,243006,365.01,4.45e-09,8.35,8
france,19980715,1347,485306,277.56,5.633e-05,4.25,0
france,20060707,1122,409716,273.85,8.64e-05,4.06,0
temps,19950518,522,464848,112.29,3.284e-05,4.48,1
temps,19960419,787,505173,155.79,1.481e-14,13.83,0
temps,19971007,1356,1124034,120.64,2.443e-07,6.61,1
temps,19991105,602,483614,124.48,1.9e-07,6.72,1
temps,20200508,726,553513,131.16,5.731e-09,8.24,5
monde,20180713,1476,620479,237.88,9.788e-06,5.01,0
fois,20220225,934,951901,98.12,1.591e-05,4.8,0
premier,19760830,610,304998,200.0,1.214e-06,5.92,1
premier,20080314,941,536599,175.36,4.918e-05,4.31,0
premier,20140328,1121,654039,171.4,8.528e-05,4.07,0
premier,20170609,1369,708899,193.12,2.277e-06,5.64,0
premier,20240705,1215,704347,172.5,7.003e-05,4.15,0
là,19840510,370,410351,90.17,9.188e-05,4.04,0
première,20060331,1021,1055415,96.74,2.131e-06,5.67,2
première,20170609,677,708899,95.5,7.096e-06,5.15,0
première,20220909,1344,1365428,98.43,6.307e-07,6.2,1
paris,19541217,410,250459,163.7,3.3e-05,4.48,1
paris,19770311,697,425179,163.93,1.935e-05,4.71,1
paris,19820705,782,443694,176.25,1.557e-06,5.81,1
paris,19940826,557,291642,190.99,1.111e-07,6.95,0
paris,20150109,999,644622,154.97,8.454e-05,4.07,0
paris,20151120,1294,642428,201.42,4.054e-09,8.39,1
paris,20170428,1321,657050,201.05,4.341e-09,8.36,0
paris,20190419,1084,547700,197.92,1.07e-08,7.97,0
paris,20240809,1326,563455,235.33,1.026e-12,11.99,2
quatre,19511003,256,139323,183.75,1.115e-09,8.95,0
président,19450416,295,87678,336.46,1.214e-10,9.92,0
président,19470117,320,140530,227.71,9.108e-05,4.04,0
président,19580729,488,211836,230.37,4.408e-05,4.36,0
président,19590903,606,201523,300.71,2.633e-09,8.58,1
président,19621024,648,288127,224.9,6.945e-05,4.16,0
président,19631129,909,322362,281.98,2.394e-08,7.62,0
président,19740812,791,317528,249.11,2.753e-06,5.56,1
président,19980103,981,411538,238.37,9.985e-06,5.0,0
président,19980910,1311,568195,230.73,2.385e-05,4.62,0
grand,19450416,94,87678,107.21,4.561e-06,5.34,0
grand,19530604,199,205828,96.68,2.297e-06,5.64,0
grand,20190125,724,702309,103.09,3.54e-10,9.45,2
devant,19610424,246,249277,98.69,4.318e-05,4.36,0
devant,19620212,294,267609,109.86,1.412e-06,5.85,1
jour,19450511,116,97071,119.5,3.997e-11,10.4,0
jour,19470430,119,138877,85.69,1.464e-05,4.83,0
jour,19490503,141,157066,89.77,1.117e-06,5.95,0
jour,19520219,195,215025,90.69,9.805e-08,7.01,1
jour,19531123,219,251519,87.07,3.073e-07,6.51,0
jour,19550930,174,218700,79.56,2.928e-05,4.53,0
jour,20091225,250,314661,79.45,7.944e-06,5.1,0
jour,20200327,521,610219,85.38,1.915e-08,7.72,3
jour,20220826,657,883783,74.34,1.193e-05,4.92,0
heures,19461123,129,131716,97.94,7.322e-05,4.14,0
heures,19471201,88,69475,126.66,6.429e-07,6.19,0
heures,19480921,132,131481,100.39,4.094e-05,4.39,0
heures,19530815,335,199108,168.25,1.895e-14,13.72,0
heures,19610424,248,249277,99.49,1.63e-05,4.79,0
heures,19680530,454,337018,134.71,2.491e-10,9.6,1
heures,19910507,368,393501,93.52,4.783e-05,4.32,0
heures,20001222,560,602205,92.99,4.052e-05,4.39,0
heures,20010831,867,959798,90.33,6.733e-05,4.17,0
heures,20050204,563,535042,105.23,1.343e-06,5.87,2
fin,20121221,503,484109,103.9,7.724e-05,4.11,0
jours,19880319,343,392631,87.36,2.37e-07,6.63,0
jours,20030815,264,331693,79.59,1.609e-05,4.79,0
jours,20200320,762,644636,118.21,1.735e-16,15.76,7
jours,20201030,452,613419,73.69,7.983e-05,4.1,0
jours,20211231,492,539062,91.27,1.15e-08,7.94,0
grande,19450605,151,103719,145.59,1.12e-05,4.95,1
grande,19460511,162,114205,141.85,1.761e-05,4.75,0
grande,19561103,367,254626,144.13,3.711e-06,5.43,0
grande,19630130,518,285026,181.74,1.499e-09,8.82,3
français,19450605,229,103719,220.79,4.18e-08,7.38,2
français,19460314,184,105976,173.62,8.676e-05,4.06,0
français,19540825,378,223806,168.9,6.547e-05,4.18,0
français,19561026,455,253380,179.57,9.861e-06,5.01,0
français,19580214,401,230390,174.05,2.752e-05,4.56,0
français,19610722,561,260813,215.1,1.372e-08,7.86,1
place,20110204,531,584486,90.85,8.725e-05,4.06,0
pays,19620921,652,277014,235.37,3.907e-05,4.41,0
pays,19790626,1203,498226,241.46,1.15e-05,4.94,0
nouveau,19450407,78,74241,105.06,4.827e-05,4.32,0
nouveau,19690620,324,369980,87.57,7.333e-05,4.13,0
nouveau,19720710,357,370634,96.32,1.705e-06,5.77,0
nouveau,19740522,431,413913,104.13,2.854e-08,7.54,1
nouveau,19810527,411,447447,91.85,8.267e-06,5.08,0
nouveau,19840723,348,362841,95.91,2.174e-06,5.66,0
nouveau,19860322,367,383468,95.71,2.067e-06,5.68,0
nouveau,19890311,679,476220,142.58,1.558e-18,17.81,1
nouveau,19920403,451,518718,86.95,5.395e-05,4.27,0
nouveau,19930403,447,512289,87.26,4.82e-05,4.32,0
nouveau,19950618,719,503898,142.69,1.009e-18,18.0,1
nouveau,19970608,516,563957,91.5,6.339e-06,5.2,0
nouveau,20070518,482,478448,100.74,1.041e-07,6.98,0
nouveau,20120511,686,803966,85.33,6.307e-05,4.2,0
nouveau,20140404,589,614481,95.85,6.815e-07,6.17,0
nouveau,20170512,624,655000,95.27,8.102e-07,6.09,1
nouveau,20240705,620,704347,88.02,2.218e-05,4.65,0
général,19450824,362,96114,376.64,4.527e-05,4.34,1
général,19500222,706,181034,389.98,2.432e-05,4.61,0
général,19580602,1066,261321,407.93,1.194e-05,4.92,1
général,19620523,1064,303788,350.24,9.693e-05,4.01,0
politique,19620828,525,228848,229.41,5.994e-05,4.22,0
partie,19450629,83,97013,85.56,8.06e-06,5.09,0
pris,19450116,49,55684,88.0,4.466e-08,7.35,4
pris,19561103,133,254626,52.23,4.999e-05,4.3,0
pris,19610424,132,249277,52.95,3.278e-05,4.48,0
certains,20200417,424,585006,72.48,6.564e-05,4.18,0
ministre,19740410,757,397241,190.56,9.775e-05,4.01,0
ministre,19760830,722,304998,236.72,2.149e-07,6.67,0
ministre,19840723,732,362841,201.74,2.42e-05,4.62,0
ministre,19860322,754,383468,196.63,4.584e-05,4.34,0
nouvelle,19841201,347,406085,85.45,9.543e-05,4.02,0
nouvelle,19850816,368,327066,112.52,3.993e-10,9.4,4
nouvelle,19870827,277,318649,86.93,8.365e-05,4.08,0
nouvelle,19890508,299,333268,89.72,2.41e-05,4.62,0
nouvelle,20050902,724,817997,88.51,8.556e-06,5.07,0
nouvelle,20240524,625,721674,86.6,2.445e-05,4.61,0
près,20150807,285,383445,74.33,3.51e-06,5.45,0
près,20220812,1184,1765880,67.05,2.205e-05,4.66,0
chef,19450503,102,93625,108.95,1.579e-05,4.8,0
chef,19580610,235,234853,100.06,1.541e-05,4.81,0
chef,19600908,276,232286,118.82,4.055e-08,7.39,7
chef,19610909,231,245479,94.1,8.028e-05,4.1,0
question,19450724,108,91199,118.42,1.674e-07,6.78,0
question,19460416,126,102337,123.12,2.512e-08,7.6,14
question,19470211,130,136608,95.16,2.387e-05,4.62,0
question,19491107,160,174532,91.67,3.577e-05,4.45,0
question,19540902,253,243006,104.11,4.548e-07,6.34,0
gouvernement,19451122,473,119584,395.54,2.548e-05,4.59,0
cas,19720212,289,327476,88.25,3.906e-05,4.41,0
cas,20090501,352,377296,93.3,3.943e-06,5.4,0
cas,20200320,946,644636,146.75,2.191e-19,18.66,21
cas,20211231,677,539062,125.59,1.512e-13,12.82,2
prendre,19580516,120,232009,51.72,2.911e-05,4.54,1
prendre,19680522,168,346177,48.53,4.865e-05,4.31,0
prendre,20200320,350,644636,54.29,6.701e-09,8.17,1
compte,20130405,506,645365,78.41,9.526e-11,10.02,0
guerre,19450511,315,97071,324.5,3.016e-10,9.52,32
guerre,19910124,1333,442531,301.22,8.456e-10,9.07,6
guerre,20030321,2120,632832,335.0,2.898e-11,10.54,5
guerre,20220304,1447,672345,215.22,2.355e-06,5.63,0
six,19581215,181,203659,88.87,4.985e-06,5.3,0
six,19591124,180,231830,77.64,9.913e-05,4.0,0
six,19620803,225,213480,105.4,2.75e-08,7.56,5
