mot,date,X_t,N_t,f_t,p_t,surprise
ans,19941219,17,788,2157.36,1.100e-10,9.96
ans,19960610,8,518,1544.40,3.818e-05,4.42
ans,19971222,13,1333,975.24,1.664e-05,4.78
ans,19990621,9,671,1341.28,3.214e-05,4.49
ans,19991004,16,1444,1108.03,7.974e-07,6.10
france,19450222,45,10541,426.90,9.264e-05,4.03
france,19450301,56,10897,513.90,1.541e-06,5.81
france,19450517,52,11276,461.16,1.562e-05,4.81
france,19450605,118,25256,467.22,6.403e-07,6.19
france,19450706,49,9443,518.90,2.523e-06,5.60
france,19450717,101,24881,405.93,2.004e-05,4.70
france,19450725,65,12810,507.42,9.738e-07,6.01
france,19450824,52,11140,466.79,1.267e-05,4.90
france,19451107,49,9454,518.30,2.577e-06,5.59
france,19470705,79,20471,385.91,8.890e-05,4.05
france,19540409,143,37038,386.09,2.703e-05,4.57
france,19540619,160,39378,406.32,7.687e-06,5.11
france,19540714,116,31071,373.34,7.313e-05,4.14
france,19540803,126,32650,385.91,3.394e-05,4.47
france,19540816,100,22781,438.96,4.210e-06,5.38
france,19540818,119,32293,368.50,8.868e-05,4.05
france,19540824,141,28945,487.13,1.324e-07,6.88
france,19540825,139,35165,395.28,1.766e-05,4.75
france,19540828,132,27903,473.07,3.398e-07,6.47
france,19540831,181,50701,356.99,8.920e-05,4.05
france,19540901,157,37698,416.47,4.613e-06,5.34
france,19540906,124,29485,420.55,6.078e-06,5.22
france,19540911,143,32579,438.93,1.686e-06,5.77
france,19540918,105,28307,370.93,9.794e-05,4.01
france,19540922,139,29927,464.46,4.643e-07,6.33
france,19541026,151,40938,368.85,6.052e-05,4.22
france,19541229,148,37929,390.20,2.062e-05,4.69
france,19550101,132,24935,529.38,1.721e-08,7.76
france,19550207,173,40390,428.32,2.010e-06,5.70
france,19550208,136,33831,402.00,1.299e-05,4.89
france,19551004,113,30342,372.42,8.003e-05,4.10
france,19600216,149,36595,407.16,8.359e-06,5.08
france,19610731,125,29650,421.59,5.663e-06,5.25
france,19701112,274,77703,352.62,7.605e-05,4.12
france,19821020,263,56971,461.64,1.365e-07,6.86
france,19890710,15,842,1781.47,3.510e-09,8.45
france,19891218,15,1226,1223.49,2.675e-07,6.57
france,19910422,24,1999,1200.60,5.498e-10,9.26
france,19971204,307,82660,371.40,2.395e-05,4.62
france,20050529,100,16420,609.01,1.113e-09,8.95
france,20050626,40,5469,731.40,1.265e-08,7.90
france,20060305,125,32835,380.69,4.469e-05,4.35
france,20070211,104,22135,469.84,8.323e-07,6.08
france,20070311,60,13514,443.98,1.749e-05,4.76
france,20070506,105,26456,396.89,2.835e-05,4.55
france,20090607,76,11983,634.23,1.995e-09,8.70
france,20100307,58,12549,462.19,9.698e-06,5.01
france,20100314,71,15979,444.33,9.577e-06,5.02
france,20100705,318,89262,356.25,5.541e-05,4.26
france,20151114,308,76030,405.10,3.310e-06,5.48
france,20160611,99,26547,372.92,9.946e-05,4.00
france,20180107,159,39719,400.31,1.072e-05,4.97
france,20180715,152,34162,444.94,1.062e-06,5.97
temps,19451218,55,21982,250.20,1.139e-08,7.94
temps,19520905,57,29191,195.27,3.179e-06,5.50
temps,19561012,53,31337,169.13,8.045e-05,4.09
temps,19680507,100,61573,162.41,1.467e-05,4.83
temps,19790514,100,59096,169.22,5.414e-06,5.27
temps,19800507,99,65986,150.03,8.970e-05,4.05
temps,19800827,65,38998,166.68,4.430e-05,4.35
