mot,date,X_t,N_t,f_t,p_t,surprise
france,19450226,252,75971,331.71,1.334e-06,5.87
france,19450519,218,74237,293.65,5.530e-05,4.26
france,19450605,361,103719,348.06,1.212e-07,6.92
france,19450901,248,86655,286.19,8.654e-05,4.06
france,19451012,326,112196,290.56,4.105e-05,4.39
france,19530604,572,205828,277.90,8.078e-05,4.09
france,19540621,739,264371,279.53,5.926e-05,4.23
france,19540715,595,198109,300.34,8.602e-06,5.07
france,19540723,650,220205,295.18,1.354e-05,4.87
france,19540817,695,209161,332.28,2.499e-07,6.60
france,19540825,770,223806,344.05,5.989e-08,7.22
france,19540902,887,243006,365.01,4.450e-09,8.35
france,19540918,638,197679,322.75,7.721e-07,6.11
france,19541225,725,262276,276.43,8.095e-05,4.09
france,19550204,641,226101,283.50,4.370e-05,4.36
france,19980715,1347,485306,277.56,5.633e-05,4.25
france,20060707,1122,409716,273.85,8.640e-05,4.06
temps,19950415,502,448456,111.94,3.998e-05,4.40
temps,19950518,522,464848,112.29,3.284e-05,4.48
temps,19960419,787,505173,155.79,1.481e-14,13.83
temps,19970914,622,528235,117.75,2.912e-06,5.54
temps,19971007,1356,1124034,120.64,2.443e-07,6.61
temps,19991105,602,483614,124.48,1.900e-07,6.72
temps,20000211,700,630821,110.97,3.448e-05,4.46
temps,20200320,753,644636,116.81,3.041e-06,5.52
temps,20200327,747,610219,122.42,2.835e-07,6.55
temps,20200403,779,622419,125.16,7.658e-08,7.12
temps,20200410,655,538176,121.71,5.079e-07,6.29
temps,20200424,626,558650,112.06,2.674e-05,4.57
temps,20200508,726,553513,131.16,5.731e-09,8.24
monde,20180713,1476,620479,237.88,9.788e-06,5.01
fois,20220225,934,951901,98.12,1.591e-05,4.80
premier,19760830,610,304998,200.00,1.214e-06,5.92
premier,19770319,716,393036,182.17,1.942e-05,4.71
premier,20080314,941,536599,175.36,4.918e-05,4.31
premier,20140328,1121,654039,171.40,8.528e-05,4.07
premier,20170609,1369,708899,193.12,2.277e-06,5.64
premier,20240705,1215,704347,172.50,7.003e-05,4.15
là,19840510,370,410351,90.17,9.188e-05,4.04
première,20060203,712,765978,92.95,2.172e-05,4.66
