date,20minutes,atlantico,bfmtv,challenges,cnews,francesoir,gala,l_opinion,la_croix,la_depeche,laprovence,latribune,le_capital,le_courrier_de_l_ouest,le_journal_du_dimanche,le_maine_libre,le_marin,le_nouvel_observateur,le_telegramme,leparisien,marianne,midilibre,nice_matin,ouest_france2,paris_match,paris_normandie,presse_ocean,sud_ouest,telerama,valeurs_actuelles,voici,voiles_et_voiliers,lemonde,lefigaro,lesechos,mediapart
20080101,2495,0,1775,0,0,0,0,0,7054,1732,0,0,0,0,3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587,0,176,45615,38861,1623,0
20080102,11060,0,1789,16190,0,0,2382,0,7754,3523,127,0,1469,0,6446,0,0,0,0,0,0,0,0,2655,0,0,0,0,1620,14651,0,0,46796,64758,49207,0
20080103,13352,0,1363,20757,0,0,2532,0,6249,3358,0,0,786,0,9893,0,0,0,0,0,0,0,0,8053,6511,0,0,0,1567,0,0,0,58840,101019,47012,0
20080104,12428,0,2305,15864,0,0,2955,0,7471,4601,23,0,2387,0,8144,0,0,0,0,0,0,0,0,11808,0,0,0,0,5199,0,0,0,45284,82654,55391,0
20080105,2544,0,0,0,0,0,754,0,588,318,118,0,0,0,7774,0,0,0,0,0,640,0,0,13376,0,0,0,0,9977,0,0,0,33590,60128,3937,0
20080106,3206,0,54,0,0,0,93,0,4845,1888,0,0,0,0,27063,0,0,0,0,0,0,0,0,3457,0,0,0,0,205,0,0,0,6847,39066,634,0
20080107,26516,0,2793,18225,0,0,1934,0,9094,4077,118,0,1063,0,6186,0,0,0,0,0,0,0,0,49280,0,0,0,0,1150,0,0,0,73342,86947,58184,0
20080108,27058,0,2725,22160,0,0,1011,0,10808,4533,0,0,186,0,9959,0,0,0,0,0,0,0,0,29753,5315,0,0,0,3539,4364,0,0,64579,76031,72200,0
20080109,23466,0,2363,17738,0,0,2917,0,8842,3556,880,0,557,0,8750,0,0,0,0,0,0,0,0,21549,457,0,0,0,1450,10853,0,0,70867,82001,77400,0
20080110,24736,0,2699,19639,0,0,1426,0,6369,5278,649,0,1039,0,18377,0,0,0,0,0,0,0,0,22265,985,0,0,0,3018,0,0,0,97787,93666,92501,0
20080111,23555,0,1915,18747,0,0,2236,0,4131,3944,360,0,3414,0,8449,0,0,0,0,0,0,0,0,20287,0,0,0,0,2252,0,0,0,76890,90852,78645,0
20080112,3572,0,0,156,0,0,234,0,187,1595,0,0,0,0,8570,0,0,0,0,0,982,0,0,22580,0,0,0,0,18182,0,107,0,54939,138943,0,0
20080113,4247,0,0,3097,0,0,407,0,8748,2637,0,0,0,0,24419,0,0,0,0,0,0,0,0,3543,0,0,0,0,0,0,0,0,10061,37026,0,0
20080114,28893,0,4153,24175,0,0,2432,0,6898,4775,442,0,2635,0,8776,0,0,0,0,0,0,0,0,58157,0,0,0,0,3073,0,0,0,75087,91659,67756,0
20080115,27313,0,3421,21213,0,0,3686,0,12279,5187,0,0,1335,0,13748,0,0,0,0,0,0,0,0,35223,5406,0,0,0,2500,6231,0,0,66854,88353,64577,0
