mot,total,jours_actifs,n_medias
ans,17058141,6804,36
france,11308254,6804,36
temps,6978511,6804,36
monde,6113772,6804,36
fois,5998306,6804,36
premier,6649190,6804,36
là,4571106,6804,36
première,6012589,6804,36
paris,4815203,6804,36
quatre,4148214,6804,36
président,7318528,6804,36
grand,4905736,6804,36
cinq,3168003,6804,36
devant,3659593,6804,36
jour,4328830,6804,36
dernier,5957031,6804,36
heures,5292522,6804,36
fin,5906953,6804,36
aujourd'hui,4393867,6804,36
jours,4716518,6804,36
grande,3412114,6804,36
français,4826750,6804,36
mois,6611426,6804,36
place,7410102,6804,36
pays,6232651,6804,36
nouveau,4386756,6804,36
général,2275096,6804,36
part,2732781,6804,36
plusieurs,5438667,6804,36
faut,4462270,6804,36
politique,3103024,6804,36
partie,3878447,6804,36
dix,2261035,6804,36
point,2772964,6804,36
cours,3631102,6804,36
pris,2887765,6804,36
certains,3058378,6804,36
ministre,3761595,6804,36
nouvelle,4436847,6804,36
lieu,4351515,6804,36
près,3605040,6804,36
chef,2349470,6804,36
vie,4855655,6804,36
question,2170953,6804,36
reste,3438376,6804,36
gouvernement,3082303,6804,36
cas,3604845,6804,36
prendre,2617337,6804,36
compte,3397128,6804,36
guerre,1841058,6804,36
six,2379354,6804,36
moment,3305137,6804,36
seul,1904818,6804,36
mis,3185742,6804,36
nationale,2223946,6804,36
seulement,1882475,6804,36
pouvoir,2448892,6804,36
française,1917681,6804,36
unis,2302526,6804,36
nombre,2595432,6804,36
côté,3471797,6804,36
déclaré,2248806,6804,36
travail,4108665,6804,36
situation,2273707,6804,36
presse,1677874,6804,36
dernière,2986684,6804,36
voir,3125660,6804,36
parti,1951823,6804,36
conseil,3632393,6804,36
hommes,1830850,6804,36
suite,2201979,6804,36
ci,1973015,6804,36
jean,5960215,6804,36
porte,2334481,6804,36
soir,3597439,6804,36
début,4171117,6804,36
l'un,2134479,6804,36
millions,4078814,6804,36
droit,1899596,6804,36
vingt,1135797,6804,36
demande,2051131,6804,36
raison,1929164,6804,36
nord,2284001,6804,36
secrétaire,1211619,6804,36
vue,1667301,6804,36
matin,2655265,6804,36
mettre,2591802,6804,36
semble,1223175,6804,36
aucun,1438993,6804,36
sécurité,2450653,6804,36
ville,4614510,6804,36
tant,1802960,6804,36
membres,1914273,6804,36
effet,2420004,6804,36
national,1957321,6804,36
laquelle,1316319,6804,36
aucune,1290130,6804,36
donné,1544843,6804,36
affaires,974030,6804,36
américain,1495370,6804,36
années,4157869,6804,36
prix,3628282,6804,36
tête,2736712,6804,36
vient,1893899,6804,36
nouvelles,1762300,6804,36
groupe,5375414,6804,36
mesure,1336122,6804,36
république,1403673,6804,36
plan,1990134,6804,36
nombreux,2393446,6804,36
semaine,3372711,6804,36
défense,1507431,6804,36
mise,2641946,6804,36
nom,1709621,6804,36
forces,1117184,6804,36
possible,1821118,6804,36
politiques,1048938,6804,36
grands,1849487,6804,36
mort,1693596,6804,36
donner,1520535,6804,36
décision,1725949,6804,36
sud,2528371,6804,36
public,4022592,6804,36
conditions,1399089,6804,36
ministère,1213037,6804,36
savoir,2027793,6804,36
voix,1485521,6804,36
titre,1795442,6804,36
service,2737210,6804,36
l'autre,1405730,6804,36
projet,4211759,6804,36
loi,1869732,6804,36
saint,6405356,6804,36
seule,1440649,6804,36
personnes,6020331,6804,36
doute,1185198,6804,36
américaine,1001722,6804,36
force,1338613,6804,36
rapport,2155995,6804,36
directeur,2282468,6804,36
économique,1323037,6804,36
s'agit,1531989,6804,36
maintenant,1279987,6804,36
huit,1445262,6804,36
veut,1933557,6804,36
mieux,2153618,6804,36
retour,2195692,6804,36
d'abord,1370895,6804,36
quant,1324880,6804,36
bon,2488197,6804,36
sujet,1370219,6804,36
militaire,716243,6804,36
région,2185584,6804,36
problème,1165982,6804,36
commission,1369164,6804,36
décidé,1547890,6804,36
pierre,2691429,6804,36
d'ailleurs,1519707,6804,36
façon,1283431,6804,36
deuxième,2509223,6804,36
parole,1290701,6804,36
grandes,1192681,6804,36
derniers,1540251,6804,36
grâce,2343322,6804,36
cause,1735647,6804,36
américains,748313,6804,36
fort,1391539,6804,36
tour,3090911,6804,36
passé,2159364,6804,36
état,1193345,6804,36
mouvement,1188440,6804,36
succès,1689305,6804,36
l'union,1008050,6804,36
face,4429095,6804,36
sait,1118033,6804,36
outre,1026688,6804,36
sens,1474122,6804,36
certaines,1228974,6803,36
centre,4151653,6804,36
n'avait,1006614,6804,36
loin,1819984,6804,36
rendre,1269409,6804,36
l'ordre,1064698,6804,36
rôle,1278316,6804,36
bonne,2269559,6804,36
midi,3129697,6804,36
sept,1464647,6804,36
points,2449777,6804,36
annoncé,2460875,6804,36
actuellement,1232384,6804,36
présence,1489281,6804,36
position,818538,6804,36
mesures,1238644,6804,36
mal,1790083,6804,36
coup,2309387,6804,36
services,2159620,6804,36
internationale,804318,6804,36
générale,1444256,6804,36
majorité,1223744,6803,36
demandé,1023964,6804,36
conférence,963423,6804,36
troisième,1610718,6804,36
direction,1745754,6804,36
police,2041123,6804,36
forme,1503713,6804,36
reçu,1096879,6804,36
estime,1138787,6804,36
premiers,1500390,6804,36
petit,2942680,6804,36
année,3984860,6804,36
contrôle,1047066,6804,36
propos,932762,6804,36
nouveaux,1855615,6804,36
programme,2096357,6804,36
journal,723663,6804,36
autorités,1075378,6804,36
étrangères,396412,6804,36
questions,1155121,6804,36
ait,616965,6804,36
lequel,951634,6804,36
régime,674614,6802,36
accord,878761,6804,36
ici,1881451,6804,36
partir,3053073,6804,36
personne,1991221,6804,36
juin,3433385,6804,36
moyens,989957,6803,36
trouve,1043171,6804,36
l'ensemble,1571592,6804,36
nuit,1959325,6804,36
britannique,812975,6804,36
l'armée,766008,6804,36
liberté,845935,6804,36
haut,1742374,6804,36
ancien,1111293,6804,36
dernières,1438295,6804,36
problèmes,720267,6804,36
date,1126503,6804,36
capitale,844335,6804,36
tard,1513360,6804,36
difficile,1386557,6804,36
l'occasion,1891129,6804,36
publique,1417615,6804,36
paix,526133,6804,36
longtemps,1042228,6804,36
réunion,1254047,6804,36
presque,1021159,6804,36
base,1024527,6804,36
dû,1231973,6804,36
prise,1242305,6804,36
long,1877033,6804,36
résultats,1508268,6804,36
homme,1978828,6804,36
militaires,590293,6804,36
l'état,1619081,6804,36
l'intérieur,979540,6804,36
justice,1397651,6804,36
exemple,1525910,6804,36
environ,1434582,6804,36
départ,1982644,6804,36
système,1358520,6804,36
s'était,956598,6804,36
jeune,3196821,6804,36
peine,1130453,6804,36
rendu,826729,6804,36
certain,608431,6804,36
donne,1182976,6804,36
an,2382508,6804,36
vu,2002778,6804,36
communiqué,1549283,6804,36
main,1433019,6804,36
publié,902740,6804,36
volonté,859075,6804,36
présent,1142114,6804,36
manière,1368599,6804,36
faveur,617127,6804,36
plupart,730173,6804,36
trouver,1432982,6804,36
washington,462789,6803,36
l'année,2811173,6804,36
cadre,2333825,6804,36
semaines,1847856,6804,36
création,1472776,6804,36
peuple,419250,6804,36
particulièrement,1081445,6804,36
voie,831911,6804,36
autant,1564036,6804,36
texte,908842,6804,36
vrai,1036961,6804,36
chose,1609376,6804,36
tenu,981918,6804,36
campagne,1560469,6804,36
londres,599491,6803,36
dimanche,5255046,6804,36
juillet,3089393,6804,36
jeunes,4088482,6804,36
particulier,904763,6804,36
l'organisation,931058,6804,36
journée,3260995,6804,36
garde,1396780,6804,36
écrit,1033054,6804,36
moyen,953811,6804,36
janvier,3033666,6803,36
comité,1380813,6804,36
nécessaire,709494,6804,36
désormais,2410500,6804,36
contraire,504455,6804,36
lutte,846871,6804,36
production,1250519,6804,36
société,2358587,6804,36
besoin,1502206,6804,36
l'ancien,1511925,6804,36
ajouté,1097953,6804,36
international,838676,6804,36
ministres,435756,6802,36
important,1350421,6804,36
corps,1181118,6804,36
discours,754612,6804,36
élections,930112,6803,36
plutôt,1514629,6804,36
relations,613682,6803,36
libre,1437580,6804,36
premières,1032084,6804,36
population,1190163,6803,36
crise,1891176,6804,36
second,1072952,6804,36
gauche,1748575,6804,36
demi,1350156,6804,36
simple,1043323,6804,36
d'autre,391513,6803,36
l'assemblée,1089269,6803,36
seconde,1103521,6804,36
septembre,3272824,6804,36
principe,524570,6800,36
récemment,743063,6804,36
trente,647287,6804,36
lundi,3839123,6804,36
neuf,1014538,6804,36
jeu,2514654,6804,36
vendredi,4718451,6804,36
rue,2636165,6804,36
nombreuses,1397205,6804,36
représentants,538369,6804,36
période,1854249,6804,36
travaux,2177139,6803,36
passer,1777657,6804,36
nations,383863,6803,36
permis,1674542,6804,36
ligne,2230233,6804,36
droits,1150174,6804,36
ajoute,1004513,6804,36
revanche,898820,6804,36
bas,1343925,6804,36
new,891040,6804,36
fond,917809,6804,36
l'une,1085057,6804,36
mars,3226150,6804,36
prochain,1572578,6804,36
véritable,819950,6804,36
mai,2963298,6804,36
maison,2919714,6804,36
solution,671026,6804,36
précise,1839150,6804,36
sorte,558464,6804,36
d'après,1097082,6804,36
difficultés,672306,6804,36
négociations,506839,6804,36
propre,840400,6804,36
l'est,586388,6804,36
territoire,1545373,6803,36
mission,943502,6803,36
sein,1759702,6804,36
chargé,611657,6804,36
l'homme,1344727,6804,36
total,1358409,6804,36
économiques,532288,6803,36
marché,2564531,6804,36
raisons,621021,6804,36
large,826946,6804,36
l'objet,671424,6803,36
voit,974639,6804,36
pourra,934893,6804,36
dirigeants,728813,6804,36
haute,1048493,6804,36
décembre,2777673,6804,36
but,1596300,6804,36
tenir,571153,6804,36
terre,1276910,6804,36
socialiste,541300,6804,36
appel,1061976,6804,36
chefs,455077,6803,36
l'histoire,1502667,6804,36
partis,472273,6804,36
faits,1223598,6803,36
débat,946482,6804,36
valeur,831780,6804,36
l'affaire,733878,6804,36
l'europe,807898,6804,36
pense,1089311,6804,36
mardi,3830072,6804,36
parlement,580743,6803,36
parler,1014471,6804,36
bureau,1094161,6802,36
personnel,956582,6804,36
permettre,1215038,6804,36
l'heure,1007041,6804,36
produits,1865798,6804,36
enfants,4819082,6804,36
gens,1951307,6804,36
octobre,2646117,6802,36
sociale,1067349,6804,36
populaire,664131,6803,36
paul,1091895,6804,36
série,1366389,6804,36
longue,838162,6804,36
faisant,749863,6804,36
l'avenir,730495,6804,36
risque,1572362,6804,36
choses,1311541,6804,36
françaises,562900,6804,36
jeudi,3911246,6804,36
confiance,987389,6804,36
demander,532406,6804,36
novembre,2736321,6804,36
nature,1047087,6804,36
petite,1863190,6804,36
jusqu'au,1437645,6804,36
réponse,751411,6804,36
prises,558181,6804,36
terme,1375664,6804,36
certes,519267,6804,36
europe,1004660,6804,36
choix,1785848,6804,36
chambre,740295,6803,36
quinze,619124,6804,36
rapidement,1127547,6804,36
importante,691228,6804,36
viennent,837545,6804,36
rencontre,1981953,6804,36
développement,1375644,6804,36
poste,1210069,6804,36
s'y,707088,6804,36
kilomètres,669707,6804,36
samedi,5810716,6804,36
cour,1172714,6802,36
zone,1471593,6804,36
concerne,553392,6802,36
affirme,760566,6804,36
yeux,791742,6803,36
social,1245531,6804,36
atteint,734579,6804,36
niveau,2723769,6804,36
publics,909595,6804,36
etc,750469,6802,36
tient,681958,6804,36
heure,1075415,6804,36
résultat,1016335,6804,36
mer,1514171,6803,36
puisse,484993,6803,36
présente,1033964,6804,36
famille,2779793,6804,36
faite,454840,6802,36
compris,849273,6804,36
membre,763721,6804,36
laisser,769762,6804,36
vice,990446,6804,36
victoire,1725704,6804,36
matière,905683,6803,36
feu,1469930,6804,36
libération,401576,6802,36
prochaine,1153786,6804,36
commun,667152,6803,36
mme,580031,6801,36
entreprises,1928905,6804,36
européenne,1463763,6804,36
preuve,651222,6804,36
mercredi,3832205,6804,36
termes,520820,6804,36
caractère,416872,6804,36
passe,1518722,6804,36
jacques,1140981,6803,36
précisé,991870,6804,36
congrès,411286,6804,36
bretagne,1159262,6804,36
cent,259264,6799,36
voulu,603607,6804,36
l'économie,769555,6803,36
groupes,1009700,6804,36
formation,1609030,6804,36
commerce,885441,6802,36
présidence,525449,6804,36
double,777223,6804,36
femme,2083954,6804,36
domaine,752706,6803,36
nécessité,413222,6802,36
seuls,605490,6803,36
prend,1084773,6804,36
affirmé,775892,6804,36
département,1380764,6802,36
forte,1088972,6804,36
york,621908,6804,36
réalité,783684,6804,36
permet,2004797,6804,36
représentant,465477,6803,36
fédération,825805,6804,36
qualité,1344162,6804,36
durant,1839160,6804,36
quarante,326694,6800,36
venir,1552296,6804,36
mille,251987,6800,36
avril,2470706,6802,36
terrain,1772893,6804,36
éléments,596778,6803,36
radio,483583,6804,36
action,715639,6802,36
étrangers,400941,6802,36
sort,675164,6804,36
droite,1555888,6804,36
annonce,833929,6804,36
finalement,1172048,6804,36
croire,458845,6804,36
technique,880595,6804,36
d'autant,749942,6804,36
l'aide,763503,6804,36
certaine,370558,6802,36
mot,583396,6804,36
déclaration,364086,6795,36
ensemble,1244411,6804,36
lettre,468710,6803,36
amis,1020730,6803,36
entendu,498828,6804,36
route,1507233,6804,36
visite,1200489,6804,36
produit,1017456,6804,36
concernant,936829,6804,36
présenté,1005114,6803,36
l'action,490049,6801,36
mondiale,911509,6804,36
dessus,838988,6804,36
d'entre,747905,6804,36
continue,788510,6804,36
mètres,1075439,6804,36
livre,1195917,6803,36
l'étranger,397309,6802,36
commune,3221511,6804,36
milliards,1999149,6804,36
rappelle,1002684,6804,36
juste,1484826,6804,36
pied,1206258,6804,36
penser,461411,6804,36
guère,208917,6804,36
prévu,1077376,6804,36
connu,1178500,6804,36
simplement,643454,6804,36
communiste,188742,6791,36
février,2362313,6804,36
différents,1160039,6804,36
l'issue,770841,6804,36
siècle,868942,6804,36
travers,1171394,6804,36
affaire,690907,6804,36
efforts,439163,6804,36
créer,1119065,6804,36
député,776806,6804,36
dollars,1374898,6804,36
divers,523766,6795,36
jouer,1407674,6804,36
voyage,809030,6803,36
davantage,862437,6804,36
louis,1035126,6804,36
informations,941113,6804,36
obtenu,597240,6804,36
nouvel,978004,6804,36
proche,1108683,6804,36
veille,678224,6804,36
responsabilité,556718,6802,36
l'opposition,508355,6803,36
lesquelles,332596,6802,36
conflit,494723,6801,36
plein,1375162,6804,36
puissance,509856,6804,36
note,863996,6803,36
trouvé,793472,6804,36
principaux,417581,6804,36
commencé,933437,6804,36
secteur,1711050,6804,36
anciens,800072,6803,36
scène,1815625,6804,36
lesquels,443643,6803,36
charge,1638924,6804,36
porter,705855,6804,36
petits,1566608,6804,36
vote,973713,6801,36
l'égard,174586,6794,36
allemand,440794,6802,36
compagnie,1087342,6804,36
l'administration,339968,6799,36
intérêts,316618,6796,36
grave,465830,6804,36
participation,949252,6803,36
obtenir,494076,6804,36
robert,580769,6804,36
manque,1087382,6804,36
source,1253501,6804,36
finances,626166,6797,36
constitution,260706,6796,36
construction,855678,6803,36
cinquante,254154,6795,36
passage,1101468,6804,36
poursuit,1077930,6804,36
américaines,339516,6800,36
siège,534789,6802,36
juge,809727,6804,36
officiel,386285,6804,36
gros,1137976,6804,36
femmes,2067679,6804,36
l'idée,1007101,6804,36
déclare,348522,6802,36
ouvert,1427067,6804,36
actuelle,385038,6800,36
douze,544583,6803,36
l'agence,954024,6804,36
nécessaires,441465,6802,36
l'esprit,414462,6804,36
condition,362293,6803,36
vite,1212260,6804,36
vraiment,1445164,6804,36
possibilité,790046,6803,36
l'industrie,437674,6800,36
l'accord,459887,6798,36
reprise,895587,6804,36
aller,1351702,6804,36
derrière,1241986,6804,36
recherche,1309172,6804,36
opérations,528405,6803,36
perdu,970628,6804,36
l'allemagne,454896,6796,36
août,2308427,6804,36
milieu,1421694,6804,36
menace,494931,6804,36
conséquences,512212,6802,36
constitue,304904,6800,36
