mot,date,X_t,N_t,f_t,p_t,surprise
ans,20080120,2786,725027,384.26,6.452851e-07,6.1902
ans,20080129,4119,1111081,370.72,2.630984e-06,5.5799
ans,20080201,4782,1033454,462.72,3.021926e-11,10.5197
ans,20080204,5613,870957,644.46,3.971446e-23,22.4011
ans,20080207,5344,1238512,431.49,1.749663e-09,8.7570
ans,20080210,11617,890998,1303.82,9.118053e-77,76.0401
ans,20080213,8528,1123267,759.21,1.009459e-31,30.9959
ans,20080216,7630,842314,905.84,4.582381e-43,42.3389
ans,20080219,11194,1224280,914.33,5.246284e-44,43.2801
ans,20080222,8211,1228354,668.46,5.507558e-25,24.2590
ans,20080225,6752,898716,751.29,5.241620e-31,30.2805
ans,20080228,7505,1220111,615.11,3.559719e-21,20.4486
ans,20080302,6110,853926,715.52,2.717863e-28,27.5658
ans,20080305,5792,1274427,454.48,8.486240e-11,10.0713
ans,20080314,4412,1141163,386.62,4.318569e-07,6.3647
ans,20080317,4407,1177540,374.25,1.754219e-06,5.7559
ans,20080323,3317,617191,537.43,1.039166e-15,14.9833
ans,20140217,12426,3456411,359.51,7.829631e-06,5.1063
ans,20140220,14345,4217222,340.15,5.862328e-05,4.2319
ans,20140223,12159,3150020,386.00,4.002377e-07,6.3977
ans,20140226,15597,4152792,375.58,1.303248e-06,5.8850
ans,20140301,11860,2983179,397.56,1.021442e-07,6.9908
ans,20140304,15245,4068541,374.70,1.440931e-06,5.8414
ans,20140307,15314,3714913,412.23,1.661624e-08,7.7795
ans,20140310,11751,3475196,338.14,7.240945e-05,4.1402
ans,20200207,16925,5015852,337.43,7.655630e-05,4.1160
ans,20200210,22312,4939600,451.70,9.678777e-11,10.0142
ans,20200213,24831,5828405,426.03,2.802427e-09,8.5525
ans,20200216,19001,3762576,505.00,5.627243e-14,13.2497
ans,20200219,26283,5336488,492.51,3.279843e-13,12.4841
ans,20200222,21486,4226275,508.39,3.375793e-14,13.4716
ans,20200225,27761,5540378,501.07,9.517598e-14,13.0215
ans,20200228,22447,5079711,441.90,3.574402e-10,9.4468
ans,20200302,22946,4969210,461.76,2.464783e-11,10.6082
ans,20200305,23134,6056557,381.97,6.143343e-07,6.2116
ans,20260202,15001,3846244,390.02,2.457405e-07,6.6095
ans,20260205,17888,4423943,404.35,4.340177e-08,7.3625
ans,20260208,14801,3408018,434.30,1.005953e-09,8.9974
ans,20260211,21936,4439025,494.16,2.640345e-13,12.5783
ans,20260214,17257,3569965,483.39,1.259396e-12,11.8998
ans,20260217,21231,4098651,518.00,8.241538e-15,14.0840
ans,20260220,17570,3860833,455.08,6.274997e-11,10.2024
ans,20260223,20123,3583965,561.47,1.154053e-17,16.9378
ans,20260226,21911,4114809,532.49,9.464807e-16,15.0239
ans,20260301,14760,3441934,428.83,2.041794e-09,8.6900
ans,20260304,18556,4478794,414.31,1.262682e-08,7.8987
france,20080618,2634,1140492,230.95,7.475592e-06,5.1264
france,20080630,1762,794513,221.77,4.558121e-05,4.3412
france,20080703,2503,936336,267.32,4.645921e-09,8.3329
france,20120114,3829,1610025,237.82,1.780606e-06,5.7494
france,20151115,9716,3377213,287.69,2.198302e-11,10.6579
france,20160709,6898,2924555,235.86,2.299799e-06,5.6383
france,20180714,8114,3276606,247.63,2.059088e-07,6.6863
france,20240811,8162,3661823,222.89,2.622687e-05,4.5813
temps,20191130,5973,4324818,138.11,6.208942e-05,4.2070
temps,20191215,5779,4054877,142.52,1.999060e-05,4.6992
temps,20191221,5859,4186738,139.94,3.901334e-05,4.4088
temps,20191224,5367,3394867,158.09,2.591959e-07,6.5864
temps,20191227,5082,3283076,154.79,6.870769e-07,6.1630
temps,20191230,4827,3063886,157.55,3.116363e-07,6.5064
temps,20200102,4977,3470845,143.39,1.619786e-05,4.7905
temps,20200105,5233,3442130,152.03,1.507554e-06,5.8217
temps,20200111,5509,3995998,137.86,6.665658e-05,4.1762
temps,20200126,6545,4457132,146.84,6.172018e-06,5.2096
temps,20200222,5840,4226275,138.18,6.109522e-05,4.2140
temps,20200317,7155,5075458,140.97,2.927076e-05,4.5336
temps,20200320,6794,4162331,163.23,5.274512e-08,7.2778
temps,20200323,7045,4118154,171.07,4.483047e-09,8.3484
temps,20200326,8263,5008309,164.99,2.962441e-08,7.5284
temps,20200329,4348,3188473,136.37,9.964813e-05,4.0015
temps,20200401,7577,4842990,156.45,3.957169e-07,6.4026
temps,20200404,6341,3602998,175.99,9.349734e-10,9.0292
temps,20200407,7292,4749111,153.54,9.273198e-07,6.0328
temps,20200410,6929,4093810,169.26,8.023117e-09,8.0957
temps,20200413,6542,3544946,184.54,5.327496e-11,10.2735
temps,20200416,7461,4924882,151.50,1.660577e-06,5.7797
temps,20200419,5895,3434306,171.65,3.887830e-09,8.4103
temps,20200422,7640,4745995,160.98,1.024698e-07,6.9894
temps,20200425,6697,3630365,184.47,5.421853e-11,10.2659
temps,20200428,7388,4889715,151.09,1.863974e-06,5.7296
temps,20200501,6339,3633950,174.44,1.552304e-09,8.8090
temps,20200504,6469,4239631,152.58,1.242555e-06,5.9057
temps,20200507,7857,4764968,164.89,3.076583e-08,7.5119
temps,20200510,6192,3705036,167.12,1.608877e-08,7.7935
temps,20200513,7224,4940828,146.21,7.249662e-06,5.1397
temps,20200516,5987,3630802,164.89,3.240298e-08,7.4894
temps,20200519,7379,4634252,159.23,1.744814e-07,6.7583
temps,20200522,5913,3607675,163.90,4.412018e-08,7.3554
temps,20200525,6393,4040255,158.23,2.403721e-07,6.6191
temps,20200528,7296,5213179,139.95,3.804429e-05,4.4197
temps,20200531,5046,3080217,163.82,4.695968e-08,7.3283
temps,20200606,5360,3618308,148.14,4.454343e-06,5.3512
temps,20200615,5999,4299861,139.52,4.340132e-05,4.3625
temps,20200621,5533,3694125,149.78,2.810861e-06,5.5512
temps,20200706,5811,4146456,140.14,3.707390e-05,4.4309
temps,20200712,5037,3225524,156.16,4.629816e-07,6.3344
temps,20200718,5152,3324494,154.97,6.509985e-07,6.1864
temps,20200721,5840,4193349,139.27,4.637867e-05,4.3337
temps,20200802,4950,2884403,171.61,4.136801e-09,8.3833
temps,20200805,7210,3981001,181.11,1.654836e-10,9.7812
temps,20200808,4824,2939909,164.09,4.378893e-08,7.3586
temps,20200811,5581,3723867,149.87,2.735241e-06,5.5630
temps,20200814,5421,3291292,164.71,3.513103e-08,7.4543
temps,20200817,5496,3231126,170.10,6.500771e-09,8.1870
temps,20200820,7540,4256330,177.15,6.123401e-10,9.2130
temps,20200823,7001,3187090,219.67,1.517056e-16,15.8190
temps,20200826,6554,4255304,154.02,8.213341e-07,6.0855
temps,20200829,5604,3477145,161.17,1.025401e-07,6.9891
temps,20200901,6560,4604437,142.47,1.994919e-05,4.7001
temps,20200904,6564,4400827,149.15,3.261873e-06,5.4865
temps,20200907,7375,4535759,162.60,6.299895e-08,7.2007
temps,20200910,7114,5202523,136.74,8.613734e-05,4.0648
temps,20200913,6106,3833034,159.30,1.764652e-07,6.7533
temps,20200916,8223,5617151,146.39,6.807395e-06,5.1670
temps,20200919,5932,4039875,146.84,6.264918e-06,5.2031
temps,20210502,4975,3461111,143.74,1.478265e-05,4.8302
temps,20210514,5688,4005689,142.00,2.296837e-05,4.6389
temps,20210517,6338,4464389,141.97,2.285683e-05,4.6410
temps,20210523,4889,3494089,139.92,4.009833e-05,4.3969
monde,20080814,950,752074,126.32,1.742314e-05,4.7589
monde,20080817,819,575212,142.38,1.123757e-07,6.9493
monde,20080820,1014,835536,121.36,7.304170e-05,4.1364
monde,20080823,877,614559,142.70,9.082081e-08,7.0418
monde,20081106,1511,1159577,130.31,3.510277e-06,5.4547
monde,20100611,2913,2079378,140.09,8.004590e-08,7.0967
monde,20100614,2191,1781109,123.01,3.057274e-05,4.5147
monde,20100626,1987,1478479,134.39,7.485624e-07,6.1258
monde,20100711,2001,1633218,122.52,3.681553e-05,4.4340
monde,20110910,1828,1493230,122.42,3.930131e-05,4.4056
monde,20140714,3356,2717656,123.49,2.328320e-05,4.6330
monde,20180617,4694,3951644,118.79,9.453472e-05,4.0244
monde,20180711,6449,4918302,131.12,1.595332e-06,5.7971
monde,20180714,6578,3276606,200.76,1.178986e-19,18.9285
monde,20180717,7870,4315892,182.35,8.015281e-16,15.0961
monde,20221120,5275,4004192,131.74,1.335873e-06,5.8742
monde,20221217,5499,3779796,145.48,8.107491e-09,8.0911
monde,20230907,6410,5249761,122.10,3.241557e-05,4.4892
monde,20260611,5029,4187000,120.11,6.242081e-05,4.2047
monde,20260614,3524,2958754,119.10,8.996127e-05,4.0459
monde,20260617,4619,3732154,123.76,1.998446e-05,4.6993
monde,20260714,3825,3138398,121.88,3.767068e-05,4.4240
monde,20260720,3515,2915813,120.55,5.788401e-05,4.2374
premier,20080308,1259,786012,160.18,1.802470e-06,5.7441
premier,20080311,2671,1283062,208.17,2.599769e-12,11.5851
premier,20080314,2069,1141163,181.31,6.286393e-09,8.2016
premier,20080317,2822,1177540,239.65,1.463164e-16,15.8347
premier,20080320,1766,1211510,145.77,4.209605e-05,4.3758
premier,20080323,1553,617191,251.62,8.182821e-18,17.0871
premier,20080730,1129,790123,142.89,9.174678e-05,4.0374
premier,20080829,1194,830412,143.78,7.420652e-05,4.1296
premier,20080901,1035,705584,146.69,4.257794e-05,4.3708
premier,20120422,4312,2324466,185.50,1.429633e-09,8.8448
premier,20120507,3730,2167664,172.07,5.727303e-08,7.2420
premier,20120516,3510,2220469,158.07,2.025928e-06,5.6934
premier,20140322,4558,3151092,144.65,4.480682e-05,4.3487
premier,20140325,7711,4078665,189.06,4.515421e-10,9.3453
premier,20140331,7814,3721906,209.95,9.179235e-13,12.0372
premier,20150323,6578,3826165,171.92,5.269637e-08,7.2782
premier,20151206,5402,3364162,160.57,1.010347e-06,5.9955
premier,20170423,5915,3181447,185.92,1.164672e-09,8.9338
premier,20170508,6349,3593058,176.70,1.469566e-08,7.8328
premier,20170610,5312,3585745,148.14,1.995273e-05,4.7000
premier,20170613,6877,4596203,149.62,1.379719e-05,4.8602
premier,20170619,6464,4187989,154.35,4.538496e-06,5.3431
premier,20200314,7422,4429874,167.54,1.635707e-07,6.7863
premier,20200317,7148,5075458,140.83,9.972508e-05,4.0012
premier,20200627,6049,3884692,155.71,3.287368e-06,5.4832
premier,20210628,7038,4680983,150.35,1.161090e-05,4.9351
premier,20220409,6946,4502489,154.27,4.587066e-06,5.3385
premier,20220412,7621,5187002,146.92,2.550179e-05,4.5934
premier,20220424,7848,4038281,194.34,9.777343e-11,10.0098
premier,20220611,18232,5199282,350.66,2.226093e-34,33.6525
premier,20220620,6766,4783922,141.43,8.788146e-05,4.0561
premier,20220629,17770,6364325,279.21,7.041472e-23,22.1523
premier,20240630,9448,4372010,216.10,1.301360e-13,12.8856
premier,20240706,6450,4136126,155.94,3.086019e-06,5.5106
premier,20260316,13379,4233427,316.03,1.230982e-28,27.9097
premier,20260322,8389,3902927,214.94,1.927054e-13,12.7151
paris,20080308,1052,786012,133.84,9.411894e-07,6.0263
paris,20080407,1042,799831,130.28,2.296979e-06,5.6388
paris,20080419,708,607720,116.50,7.080759e-05,4.1499
paris,20150110,4747,3111979,152.54,3.501586e-09,8.4557
paris,20151115,11400,3377213,337.56,5.476123e-37,36.2615
paris,20151118,7780,4032644,192.93,1.406181e-14,13.8520
paris,20151121,5130,3225140,159.06,5.231529e-10,9.2814
paris,20151124,5630,4139652,136.00,3.281127e-07,6.4840
paris,20151127,4783,3872671,123.51,8.304292e-06,5.0807
paris,20190416,8979,4334071,207.17,1.293329e-16,15.8883
paris,20240724,6538,5461411,119.71,2.047995e-05,4.6887
paris,20240727,7555,3971775,190.22,3.375924e-14,13.4716
paris,20240730,6472,5040261,128.41,2.351166e-06,5.6287
paris,20240802,5651,4264149,132.52,8.212065e-07,6.0855
paris,20240811,5314,3661823,145.12,2.770477e-08,7.5574
quatre,20080817,455,575212,79.10,1.297910e-06,5.8868
président,20080703,1699,936336,181.45,2.819610e-05,4.5498
président,20081106,2232,1159577,192.48,4.535787e-06,5.3433
président,20090120,3291,1770962,185.83,1.244604e-05,4.9050
président,20120507,5359,2167664,247.22,1.853046e-10,9.7321
président,20120516,4160,2220469,187.35,9.450553e-06,5.0245
président,20170508,7240,3593058,201.50,8.316251e-07,6.0801
grand,20190113,3408,3733849,91.27,7.376715e-06,5.1321
grand,20190116,4867,5214131,93.34,1.905019e-06,5.7201
grand,20190119,3167,3437804,92.12,4.658045e-06,5.3318
grand,20190122,5001,5548939,90.13,1.252720e-05,4.9021
grand,20190125,4539,4743755,95.68,4.605908e-07,6.3367
