date,mot,surprise,f_t,X_t,N_t,p_t,p0,mu_b,r_b,supprime_nms
20080120,ans,6.1902,384.26,2786,725027,6.452851e-07,0.0,0.00207702,50.4535,1
20080129,ans,5.5799,370.72,4119,1111081,2.630984e-06,0.0,0.00207702,50.4535,1
20080201,ans,10.5197,462.72,4782,1033454,3.021926e-11,0.0,0.00207702,50.4535,1
20080204,ans,22.4011,644.46,5613,870957,3.971446e-23,0.0,0.00207702,50.4535,1
20080207,ans,8.757,431.49,5344,1238512,1.749663e-09,0.0,0.00207702,50.4535,1
20080210,ans,76.0401,1303.82,11617,890998,9.118053e-77,0.0,0.00207702,50.4535,0
20080213,ans,30.9959,759.21,8528,1123267,1.009459e-31,0.0,0.00207702,50.4535,1
20080216,ans,42.3389,905.84,7630,842314,4.582381e-43,0.0,0.00207702,50.4535,1
20080219,ans,43.2801,914.33,11194,1224280,5.246284e-44,0.0,0.00207702,50.4535,1
20080222,ans,24.259,668.46,8211,1228354,5.507558e-25,0.0,0.00207702,50.4535,1
20080225,ans,30.2805,751.29,6752,898716,5.24162e-31,0.0,0.00207702,50.4535,1
20080228,ans,20.4486,615.11,7505,1220111,3.559719e-21,0.0,0.00207702,50.4535,1
20080302,ans,27.5658,715.52,6110,853926,2.717863e-28,0.0,0.00207702,50.4535,1
20080305,ans,10.0713,454.48,5792,1274427,8.48624e-11,0.0,0.00207702,50.4535,1
20080314,ans,6.3647,386.62,4412,1141163,4.318569e-07,0.0,0.00207702,50.4535,1
20080317,ans,5.7559,374.25,4407,1177540,1.754219e-06,0.0,0.00207702,50.4535,1
20080323,ans,14.9833,537.43,3317,617191,1.039166e-15,0.0,0.00207702,50.4535,1
20140217,ans,5.1063,359.51,12426,3456411,7.829631e-06,0.0,0.00207702,50.4535,1
20140220,ans,4.2319,340.15,14345,4217222,5.862328e-05,0.0,0.00207702,50.4535,1
20140223,ans,6.3977,386.0,12159,3150020,4.002377e-07,0.0,0.00207702,50.4535,1
20140226,ans,5.885,375.58,15597,4152792,1.303248e-06,0.0,0.00207702,50.4535,1
20140301,ans,6.9908,397.56,11860,2983179,1.021442e-07,0.0,0.00207702,50.4535,1
20140304,ans,5.8414,374.7,15245,4068541,1.440931e-06,0.0,0.00207702,50.4535,1
20140307,ans,7.7795,412.23,15314,3714913,1.661624e-08,0.0,0.00207702,50.4535,0
20140310,ans,4.1402,338.14,11751,3475196,7.240945e-05,0.0,0.00207702,50.4535,1
20200207,ans,4.116,337.43,16925,5015852,7.65563e-05,0.0,0.00207702,50.4535,1
20200210,ans,10.0142,451.7,22312,4939600,9.678777e-11,0.0,0.00207702,50.4535,1
20200213,ans,8.5525,426.03,24831,5828405,2.802427e-09,0.0,0.00207702,50.4535,1
20200216,ans,13.2497,505.0,19001,3762576,5.627243e-14,0.0,0.00207702,50.4535,1
20200219,ans,12.4841,492.51,26283,5336488,3.279843e-13,0.0,0.00207702,50.4535,1
20200222,ans,13.4716,508.39,21486,4226275,3.375793e-14,0.0,0.00207702,50.4535,0
20200225,ans,13.0215,501.07,27761,5540378,9.517598e-14,0.0,0.00207702,50.4535,1
20200228,ans,9.4468,441.9,22447,5079711,3.574402e-10,0.0,0.00207702,50.4535,1
20200302,ans,10.6082,461.76,22946,4969210,2.464783e-11,0.0,0.00207702,50.4535,1
20200305,ans,6.2116,381.97,23134,6056557,6.143343e-07,0.0,0.00207702,50.4535,1
20260202,ans,6.6095,390.02,15001,3846244,2.457405e-07,0.0,0.00207702,50.4535,1
20260205,ans,7.3625,404.35,17888,4423943,4.340177e-08,0.0,0.00207702,50.4535,1
20260208,ans,8.9974,434.3,14801,3408018,1.005953e-09,0.0,0.00207702,50.4535,1
20260211,ans,12.5783,494.16,21936,4439025,2.640345e-13,0.0,0.00207702,50.4535,1
20260214,ans,11.8998,483.39,17257,3569965,1.259396e-12,0.0,0.00207702,50.4535,1
20260217,ans,14.084,518.0,21231,4098651,8.241538e-15,0.0,0.00207702,50.4535,1
20260220,ans,10.2024,455.08,17570,3860833,6.274997e-11,0.0,0.00207702,50.4535,1
20260223,ans,16.9378,561.47,20123,3583965,1.154053e-17,0.0,0.00207702,50.4535,0
20260226,ans,15.0239,532.49,21911,4114809,9.464807e-16,0.0,0.00207702,50.4535,1
20260301,ans,8.69,428.83,14760,3441934,2.041794e-09,0.0,0.00207702,50.4535,1
20260304,ans,7.8987,414.31,18556,4478794,1.262682e-08,0.0,0.00207702,50.4535,1
20080618,france,5.1264,230.95,2634,1140492,7.475592e-06,0.0,0.00141408,66.9849,1
20080630,france,4.3412,221.77,1762,794513,4.558121e-05,0.0,0.00141408,66.9849,1
20080703,france,8.3329,267.32,2503,936336,4.645921e-09,0.0,0.00141408,66.9849,0
20120114,france,5.7494,237.82,3829,1610025,1.780606e-06,0.0,0.00141408,66.9849,0
20151115,france,10.6579,287.69,9716,3377213,2.198302e-11,0.0,0.00141408,66.9849,0
20160709,france,5.6383,235.86,6898,2924555,2.299799e-06,0.0,0.00141408,66.9849,0
20180714,france,6.6863,247.63,8114,3276606,2.059088e-07,0.0,0.00141408,66.9849,0
20240811,france,4.5813,222.89,8162,3661823,2.622687e-05,0.0,0.00141408,66.9849,0
20191130,temps,4.207,138.11,5973,4324818,6.208942e-05,0.0,0.000854417,53.5657,1
20191215,temps,4.6992,142.52,5779,4054877,1.99906e-05,0.0,0.000854417,53.5657,1
20191221,temps,4.4088,139.94,5859,4186738,3.901334e-05,0.0,0.000854417,53.5657,1
20191224,temps,6.5864,158.09,5367,3394867,2.591959e-07,0.0,0.000854417,53.5657,0
20191227,temps,6.163,154.79,5082,3283076,6.870769e-07,0.0,0.000854417,53.5657,1
20191230,temps,6.5064,157.55,4827,3063886,3.116363e-07,0.0,0.000854417,53.5657,1
20200102,temps,4.7905,143.39,4977,3470845,1.619786e-05,0.0,0.000854417,53.5657,1
20200105,temps,5.8217,152.03,5233,3442130,1.507554e-06,0.0,0.000854417,53.5657,1
20200111,temps,4.1762,137.86,5509,3995998,6.665658e-05,0.0,0.000854417,53.5657,1
20200126,temps,5.2096,146.84,6545,4457132,6.172018e-06,0.0,0.000854417,53.5657,1
20200222,temps,4.214,138.18,5840,4226275,6.109522e-05,0.0,0.000854417,53.5657,1
20200317,temps,4.5336,140.97,7155,5075458,2.927076e-05,0.0,0.000854417,53.5657,1
20200320,temps,7.2778,163.23,6794,4162331,5.274512e-08,0.0,0.000854417,53.5657,1
20200323,temps,8.3484,171.07,7045,4118154,4.483047e-09,0.0,0.000854417,53.5657,1
20200326,temps,7.5284,164.99,8263,5008309,2.962441e-08,0.0,0.000854417,53.5657,1
20200329,temps,4.0015,136.37,4348,3188473,9.964813e-05,0.0,0.000854417,53.5657,1
20200401,temps,6.4026,156.45,7577,4842990,3.957169e-07,0.0,0.000854417,53.5657,1
20200404,temps,9.0292,175.99,6341,3602998,9.349734e-10,0.0,0.000854417,53.5657,1
20200407,temps,6.0328,153.54,7292,4749111,9.273198e-07,0.0,0.000854417,53.5657,1
20200410,temps,8.0957,169.26,6929,4093810,8.023117e-09,0.0,0.000854417,53.5657,1
20200413,temps,10.2735,184.54,6542,3544946,5.327496e-11,0.0,0.000854417,53.5657,0
20200416,temps,5.7797,151.5,7461,4924882,1.660577e-06,0.0,0.000854417,53.5657,1
20200419,temps,8.4103,171.65,5895,3434306,3.88783e-09,0.0,0.000854417,53.5657,1
20200422,temps,6.9894,160.98,7640,4745995,1.024698e-07,0.0,0.000854417,53.5657,1
20200425,temps,10.2659,184.47,6697,3630365,5.421853e-11,0.0,0.000854417,53.5657,1
20200428,temps,5.7296,151.09,7388,4889715,1.863974e-06,0.0,0.000854417,53.5657,1
20200501,temps,8.809,174.44,6339,3633950,1.552304e-09,0.0,0.000854417,53.5657,1
20200504,temps,5.9057,152.58,6469,4239631,1.242555e-06,0.0,0.000854417,53.5657,1
20200507,temps,7.5119,164.89,7857,4764968,3.076583e-08,0.0,0.000854417,53.5657,1
20200510,temps,7.7935,167.12,6192,3705036,1.608877e-08,0.0,0.000854417,53.5657,1
20200513,temps,5.1397,146.21,7224,4940828,7.249662e-06,0.0,0.000854417,53.5657,1
20200516,temps,7.4894,164.89,5987,3630802,3.240298e-08,0.0,0.000854417,53.5657,1
20200519,temps,6.7583,159.23,7379,4634252,1.744814e-07,0.0,0.000854417,53.5657,1
20200522,temps,7.3554,163.9,5913,3607675,4.412018e-08,0.0,0.000854417,53.5657,1
20200525,temps,6.6191,158.23,6393,4040255,2.403721e-07,0.0,0.000854417,53.5657,1
20200528,temps,4.4197,139.95,7296,5213179,3.804429e-05,0.0,0.000854417,53.5657,1
20200531,temps,7.3283,163.82,5046,3080217,4.695968e-08,0.0,0.000854417,53.5657,1
20200606,temps,5.3512,148.14,5360,3618308,4.454343e-06,0.0,0.000854417,53.5657,1
20200615,temps,4.3625,139.52,5999,4299861,4.340132e-05,0.0,0.000854417,53.5657,1
20200621,temps,5.5512,149.78,5533,3694125,2.810861e-06,0.0,0.000854417,53.5657,1
20200706,temps,4.4309,140.14,5811,4146456,3.70739e-05,0.0,0.000854417,53.5657,1
20200712,temps,6.3344,156.16,5037,3225524,4.629816e-07,0.0,0.000854417,53.5657,1
20200718,temps,6.1864,154.97,5152,3324494,6.509985e-07,0.0,0.000854417,53.5657,1
20200721,temps,4.3337,139.27,5840,4193349,4.637867e-05,0.0,0.000854417,53.5657,1
20200802,temps,8.3833,171.61,4950,2884403,4.136801e-09,0.0,0.000854417,53.5657,1
