mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
ans,20080210,11617,890998,1303.82,9.118053e-77,76.0401,16
ans,20140307,15314,3714913,412.23,1.661624e-08,7.7795,7
ans,20200222,21486,4226275,508.39,3.375793e-14,13.4716,9
ans,20260223,20123,3583965,561.47,1.154053e-17,16.9378,10
france,20080703,2503,936336,267.32,4.645921e-09,8.3329,2
france,20120114,3829,1610025,237.82,1.780606e-06,5.7494,0
france,20151115,9716,3377213,287.69,2.198302e-11,10.6579,0
france,20160709,6898,2924555,235.86,2.299799e-06,5.6383,0
france,20180714,8114,3276606,247.63,2.059088e-07,6.6863,0
france,20240811,8162,3661823,222.89,2.622687e-05,4.5813,0
temps,20191224,5367,3394867,158.09,2.591959e-07,6.5864,8
temps,20200413,6542,3544946,184.54,5.327496e-11,10.2735,24
temps,20200823,7001,3187090,219.67,1.517056e-16,15.819,26
temps,20210502,4975,3461111,143.74,1.478265e-05,4.8302,3
monde,20080823,877,614559,142.7,9.082081e-08,7.0418,4
monde,20100611,2913,2079378,140.09,8.00459e-08,7.0967,3
monde,20110910,1828,1493230,122.42,3.930131e-05,4.4056,0
monde,20140714,3356,2717656,123.49,2.32832e-05,4.633,0
monde,20180714,6578,3276606,200.76,1.1789859999999998e-19,18.9285,3
monde,20221217,5499,3779796,145.48,8.107491e-09,8.0911,1
monde,20230907,6410,5249761,122.1,3.241557e-05,4.4892,0
monde,20260617,4619,3732154,123.76,1.998446e-05,4.6993,4
premier,20080323,1553,617191,251.62,8.182821e-18,17.0871,5
premier,20080901,1035,705584,146.69,4.257794e-05,4.3708,2
premier,20120422,4312,2324466,185.5,1.429633e-09,8.8448,2
premier,20140331,7814,3721906,209.95,9.179235e-13,12.0372,2
premier,20150323,6578,3826165,171.92,5.269637e-08,7.2782,0
premier,20151206,5402,3364162,160.57,1.010347e-06,5.9955,0
premier,20170423,5915,3181447,185.92,1.164672e-09,8.9338,4
premier,20200314,7422,4429874,167.54,1.635707e-07,6.7863,1
premier,20200627,6049,3884692,155.71,3.287368e-06,5.4832,0
premier,20210628,7038,4680983,150.35,1.16109e-05,4.9351,0
premier,20220611,18232,5199282,350.66,2.226093e-34,33.6525,5
premier,20240630,9448,4372010,216.1,1.30136e-13,12.8856,1
premier,20260316,13379,4233427,316.03,1.230982e-28,27.9097,1
paris,20080308,1052,786012,133.84,9.411894e-07,6.0263,2
paris,20150110,4747,3111979,152.54,3.501586e-09,8.4557,0
paris,20151115,11400,3377213,337.56,5.476123e-37,36.2615,4
paris,20190416,8979,4334071,207.17,1.293329e-16,15.8883,0
paris,20240727,7555,3971775,190.22,3.375924e-14,13.4716,4
quatre,20080817,455,575212,79.1,1.29791e-06,5.8868,0
président,20080703,1699,936336,181.45,2.81961e-05,4.5498,0
président,20081106,2232,1159577,192.48,4.535787e-06,5.3433,1
président,20120507,5359,2167664,247.22,1.853046e-10,9.7321,1
président,20170508,7240,3593058,201.5,8.316251e-07,6.0801,0
grand,20190125,4539,4743755,95.68,4.605908e-07,6.3367,6
cinq,20080323,397,617191,64.32,8.402448e-08,7.0756,0
cinq,20100918,881,1519308,57.99,2.817635e-06,5.5501,0
cinq,20220424,2930,4038281,72.56,6.040993e-16,15.2189,1
devant,20150110,2318,3111979,74.49,1.037834e-05,4.9839,0
devant,20151115,2802,3377213,82.97,4.978251e-08,7.3029,0
jour,20141226,1711,2260756,75.68,1.304167e-05,4.8847,0
jour,20200329,3290,3188473,103.18,4.6867920000000004e-18,17.3291,17
jour,20211225,1722,2301024,74.84,2.417615e-05,4.6166,0
jour,20241224,2078,2758742,75.32,1.442236e-05,4.841,0
jour,20251225,1993,2659037,74.95,1.967052e-05,4.7062,0
fin,20121221,4926,4180551,117.83,5.978277e-07,6.2234,0
fin,20191221,4468,4186738,106.72,8.686135e-05,4.0612,0
fin,20200612,4789,4450298,107.61,5.933948e-05,4.2267,0
fin,20210502,3823,3461111,110.46,1.886897e-05,4.7243,0
fin,20260813,6602,3103147,212.75,4.817497e-35,34.3172,0
jours,20200329,3831,3188473,120.15,3.051322e-09,8.5155,9
jours,20220103,3583,3647346,98.24,2.358987e-05,4.6273,0
grande,20140903,2454,3995178,61.42,1.561109e-05,4.8066,0
grande,20160624,2418,4058180,59.58,7.386451e-05,4.1316,0
grande,20170523,2634,4272921,61.64,1.237541e-05,4.9074,1
grande,20181108,3551,5244295,67.71,2.939059e-08,7.5318,2
français,20080823,908,614559,147.75,4.937416e-08,7.3065,5
