horodatage,tag,media,demi,seuil,filtre,nettoie,pics,n_pics_seuil,n_mots,n_nms,n_bords,n_centres_ecartes,n_plates,n_fenetres,D,K50,K50_frac,rang_eff,rang_eff_frac,cum3,cum6,cum10,gain6,cum6_nul,exces6,v1,v2,v3,v4,v5,v6,duree_s,cum6_rot,alignement6
2026-07-31T19:24:38,lemonde_d10_s4_tous_n5000_e5000,lemonde,10,4,tous,5000,_s3,164258,9816,127434,120,1548,0,5000,21,8,0.4000,17.18,0.8588,0.2783,0.4451,0.6265,1.484,0.3829,1.162,0.114413,0.089712,0.074141,0.059011,0.055193,0.052612,4,0.3755,1.185
2026-07-31T19:24:42,lemonde_d10_s4_sans_verbes_n5000_e5000,lemonde,10,4,sans_verbes,5000,_s3,153204,7847,117598,115,1507,0,5000,21,8,0.4000,17.25,0.8626,0.2748,0.4414,0.6260,1.471,0.3795,1.163,0.114459,0.087289,0.073050,0.059499,0.054179,0.052953,4,0.3747,1.178
2026-07-31T19:24:47,lemonde_d10_s4_noms_n5000_e5000,lemonde,10,4,noms,5000,_s3,136633,6256,104219,102,1410,0,5000,21,8,0.4000,17.03,0.8514,0.2792,0.4479,0.6339,1.493,0.3886,1.153,0.116462,0.090577,0.072191,0.062206,0.055216,0.051230,3,0.3788,1.182
2026-07-31T19:24:50,lemonde_d10_s4_noms_propres_n5000_e5000,lemonde,10,4,noms_propres,5000,_s3,15829,511,10294,11,183,0,5000,21,6,0.3000,14.77,0.7385,0.3410,0.5125,0.6855,1.708,0.4203,1.219,0.143337,0.109503,0.088177,0.059530,0.057542,0.054431,3,0.4171,1.229
2026-07-31T19:24:54,lemonde_d10_s6_tous_n5000_e5000,lemonde,10,6,tous,5000,_s3,40619,7206,32541,34,668,0,5000,21,6,0.3000,14.86,0.7431,0.3355,0.5024,0.6765,1.675,0.4213,1.192,0.148163,0.105094,0.082216,0.059542,0.055520,0.051831,3,0.3838,1.309
2026-07-31T19:24:59,lemonde_d10_s6_sans_verbes_n5000_e5000,lemonde,10,6,sans_verbes,5000,_s3,38449,6292,30625,33,659,0,5000,21,6,0.3000,14.78,0.7391,0.3384,0.5067,0.6757,1.689,0.4218,1.201,0.148460,0.105639,0.084316,0.062536,0.055748,0.049954,3,0.3854,1.314
2026-07-31T19:25:03,lemonde_d10_s6_noms_n5000_e5000,lemonde,10,6,noms,5000,_s3,34507,5324,27424,30,628,0,5000,21,6,0.3000,14.81,0.7406,0.3369,0.5075,0.6782,1.692,0.4235,1.198,0.146637,0.107776,0.082506,0.060623,0.058996,0.050926,3,0.3850,1.318
2026-07-31T19:25:07,lemonde_d10_s6_noms_propres_n5000_e5000,lemonde,10,6,noms_propres,5000,_s3,4505,477,3144,3,97,0,3044,21,5,0.2500,12.53,0.6265,0.4019,0.5710,0.7291,1.903,0.4545,1.256,0.173621,0.123186,0.105064,0.060690,0.056698,0.051709,3,0.4260,1.340
2026-07-31T19:25:11,lemonde_d15_s4_tous_n5000_e5000,lemonde,15,4,tous,5000,_s3,164258,9816,123469,155,1506,0,5000,31,11,0.3667,25.16,0.8387,0.2086,0.3379,0.4782,1.690,0.2925,1.155,0.093504,0.061447,0.053625,0.046371,0.042040,0.040932,4,0.2696,1.253
2026-07-31T19:25:16,lemonde_d15_s4_sans_verbes_n5000_e5000,lemonde,15,4,sans_verbes,5000,_s3,153204,7847,113769,146,1465,0,5000,31,11,0.3667,25.03,0.8343,0.2109,0.3410,0.4809,1.705,0.2889,1.180,0.093537,0.064891,0.052506,0.047516,0.043574,0.039005,4,0.2693,1.266
