rang,v1_zscore,v1_minmax,v1_colonne,v2_zscore,v2_minmax,v2_colonne
1,0.09085923,0.27880258,0.63452093,0.09169780,0.27410071,0.67741674
2,0.05895230,0.05609064,0.03635159,0.06209935,0.05845605,0.03869150
3,0.05027532,0.04779451,0.03005031,0.05305972,0.05037255,0.02876270
4,0.04785125,0.03972268,0.02280495,0.04617249,0.04222500,0.02281240
5,0.04176347,0.03299033,0.01824714,0.04212702,0.03393836,0.01922473
6,0.03719409,0.02917169,0.01763171,0.03781310,0.02985276,0.01548773
7,0.03602585,0.02850996,0.01564384,0.03566710,0.02918728,0.01379399
8,0.03548293,0.02719772,0.01365378,0.03549664,0.02725641,0.01268339
9,0.03441239,0.02652386,0.01347103,0.03472009,0.02693032,0.01210884
10,0.03289639,0.02504786,0.01202796,0.03297045,0.02532366,0.01096007
11,0.03194110,0.02452184,0.01174260,0.03156236,0.02449501,0.00946356
12,0.03029841,0.02300352,0.01129518,0.03024638,0.02316834,0.00918524
13,0.02975418,0.02254747,0.01113421,0.02978863,0.02275980,0.00836668
14,0.02898013,0.02193156,0.01055713,0.02903458,0.02203241,0.00790764
15,0.02876739,0.02180090,0.01024778,0.02845559,0.02178327,0.00782404
16,0.02834325,0.02141128,0.00996669,0.02825275,0.02144379,0.00768652
17,0.02792637,0.02101509,0.00958172,0.02774690,0.02099952,0.00752977
18,0.02768618,0.02073730,0.00918580,0.02733823,0.02070073,0.00737090
19,0.02718329,0.02053660,0.00910755,0.02670429,0.02038349,0.00706024
20,0.02647578,0.01988909,0.00890038,0.02598231,0.01968488,0.00701567
21,0.02599331,0.01942553,0.00859063,0.02580337,0.01942953,0.00695851
22,0.02561551,0.01912475,0.00842260,0.02522506,0.01895932,0.00679660
23,0.02537809,0.01893053,0.00821292,0.02502965,0.01881989,0.00655479
24,0.02519694,0.01873261,0.00795913,0.02484024,0.01857980,0.00652170
25,0.02487436,0.01847659,0.00773099,0.02455509,0.01831785,0.00634377
26,0.02460644,0.01830678,0.00756771,0.02429197,0.01825608,0.00620430
27,0.02436693,0.01806830,0.00751284,0.02407000,0.01795471,0.00605639
28,0.02411428,0.01789366,0.00724791,0.02366777,0.01766947,0.00601087
29,0.02378644,0.01769900,0.00714205,0.02313212,0.01737276,0.00593387
30,0.02299840,0.01700220,0.00697271,0.02244894,0.01675237,0.00566437
31,0.00000000,0.00709356,0.00651823,0.00000000,0.00279387,0.00560248
