media_a,media_b,annee,tranche,n,echo
lemonde,lefigaro,2004,0,47,0
lemonde,lefigaro,2004,1,17,3
lemonde,lefigaro,2004,2,17,3
lemonde,lefigaro,2004,3,7,1
lemonde,lefigaro,2005,0,1669,16
lemonde,lefigaro,2005,1,723,7
lemonde,lefigaro,2005,2,466,4
lemonde,lefigaro,2005,3,311,4
lemonde,lefigaro,2006,0,1515,211
lemonde,lefigaro,2006,1,556,103
lemonde,lefigaro,2006,2,404,114
lemonde,lefigaro,2006,3,262,68
lemonde,lefigaro,2007,0,1015,147
lemonde,lefigaro,2007,1,376,99
lemonde,lefigaro,2007,2,298,96
lemonde,lefigaro,2007,3,238,95
lemonde,lefigaro,2008,0,1033,197
lemonde,lefigaro,2008,1,405,122
lemonde,lefigaro,2008,2,318,107
lemonde,lefigaro,2008,3,210,89
lemonde,lefigaro,2009,0,958,192
lemonde,lefigaro,2009,1,374,99
lemonde,lefigaro,2009,2,282,89
lemonde,lefigaro,2009,3,223,77
lemonde,lefigaro,2010,0,1046,189
lemonde,lefigaro,2010,1,414,114
lemonde,lefigaro,2010,2,325,87
lemonde,lefigaro,2010,3,253,88
lemonde,lefigaro,2011,0,976,223
lemonde,lefigaro,2011,1,369,113
lemonde,lefigaro,2011,2,306,106
lemonde,lefigaro,2011,3,197,90
lemonde,lefigaro,2012,0,898,204
lemonde,lefigaro,2012,1,351,88
lemonde,lefigaro,2012,2,278,100
lemonde,lefigaro,2012,3,215,98
lemonde,lefigaro,2013,0,787,158
lemonde,lefigaro,2013,1,312,84
lemonde,lefigaro,2013,2,214,74
lemonde,lefigaro,2013,3,161,44
lemonde,lefigaro,2014,0,838,160
lemonde,lefigaro,2014,1,333,96
lemonde,lefigaro,2014,2,244,92
lemonde,lefigaro,2014,3,148,55
lemonde,lefigaro,2015,0,820,194
lemonde,lefigaro,2015,1,349,122
lemonde,lefigaro,2015,2,246,114
lemonde,lefigaro,2015,3,188,93
lemonde,lefigaro,2016,0,819,179
lemonde,lefigaro,2016,1,290,96
lemonde,lefigaro,2016,2,217,98
lemonde,lefigaro,2016,3,163,81
lemonde,lefigaro,2017,0,778,144
lemonde,lefigaro,2017,1,335,105
lemonde,lefigaro,2017,2,255,91
lemonde,lefigaro,2017,3,214,76
lemonde,lefigaro,2018,0,865,176
lemonde,lefigaro,2018,1,342,89
lemonde,lefigaro,2018,2,265,72
lemonde,lefigaro,2018,3,197,51
lemonde,lefigaro,2019,0,897,135
lemonde,lefigaro,2019,1,381,69
lemonde,lefigaro,2019,2,256,60
lemonde,lefigaro,2019,3,255,40
lemonde,lefigaro,2020,0,864,194
lemonde,lefigaro,2020,1,313,84
lemonde,lefigaro,2020,2,257,76
lemonde,lefigaro,2020,3,162,57
lemonde,lefigaro,2021,0,767,119
lemonde,lefigaro,2021,1,305,73
lemonde,lefigaro,2021,2,180,50
lemonde,lefigaro,2021,3,122,25
lemonde,lefigaro,2022,0,1436,146
lemonde,lefigaro,2022,1,577,87
lemonde,lefigaro,2022,2,478,81
lemonde,lefigaro,2022,3,329,53
lemonde,lefigaro,2023,0,735,129
lemonde,lefigaro,2023,1,266,61
lemonde,lefigaro,2023,2,170,48
lemonde,lefigaro,2023,3,76,19
lemonde,lefigaro,2024,0,123,20
lemonde,lefigaro,2024,1,35,4
lemonde,lefigaro,2024,2,20,4
lemonde,lefigaro,2024,3,14,2
lemonde,ouestfrance,2001,0,573,2
lemonde,ouestfrance,2001,1,247,0
lemonde,ouestfrance,2001,2,204,0
lemonde,ouestfrance,2001,3,145,0
lemonde,ouestfrance,2002,0,486,0
lemonde,ouestfrance,2002,1,187,0
lemonde,ouestfrance,2002,2,161,0
lemonde,ouestfrance,2002,3,96,0
lemonde,ouestfrance,2003,0,718,0
lemonde,ouestfrance,2003,1,301,0
