mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20080211,90.3117,1.5453,-0.2202,-3.1851,1.1179,1.7886,-0.1384,-2.7529,1.8501
ans,20080324,19.9491,-0.1696,3.0403,0.903,-0.0208,-0.2984,3.0281,0.9196,0.3093
ans,20090101,20.4056,-1.4172,-0.2457,0.1806,-0.6469,-1.7283,-0.1784,-0.1221,-0.6659
ans,20140308,11.5626,-1.2389,3.4754,0.7271,0.4914,-1.0932,3.3728,0.8044,1.602
ans,20200216,17.8166,2.3852,-2.0465,-1.5642,1.1423,2.4607,-1.9062,-1.1945,2.6683
ans,20260216,18.6813,1.2599,-0.5485,-1.7953,1.4846,1.44,-0.3753,-1.6303,2.9501
france,20080704,6.5787,0.8001,2.916,-0.5283,-0.2899,0.8979,2.8427,-0.5917,0.4287
france,20081207,4.3357,0.0991,-0.075,0.6227,-1.6215,,,,
france,20120113,5.4455,1.66,0.0881,1.581,0.8604,,,,
france,20120506,4.5055,-1.133,0.2897,2.0057,-0.5362,,,,
france,20150111,4.058,2.7342,1.2139,0.8232,-0.5541,,,,
france,20151114,12.2464,2.709,-1.5535,0.6668,-0.4577,2.4422,-1.7168,0.6441,-0.7532
france,20160710,8.0514,0.8756,2.404,0.5802,0.9725,0.7997,2.3928,0.9488,0.7349
france,20180107,8.848,0.6236,-0.2975,1.1252,-0.7095,0.2194,-0.3086,0.9726,-0.3361
france,20180715,15.0194,0.587,1.7431,2.0414,0.2263,0.2852,1.6865,2.1005,-0.4492
france,20210627,4.283,0.1627,1.6307,1.4836,1.6996,,,,
france,20221218,6.9467,-0.081,2.052,0.7658,-0.242,-0.337,2.1545,0.6621,-0.0283
france,20240727,4.7929,2.4276,-2.2551,-1.9066,0.4439,,,,
temps,20080810,4.3706,0.6001,-1.4542,-2.5627,0.2563,,,,
temps,20191225,9.011,2.0413,-0.9172,-0.7278,-1.7171,1.9075,-0.998,-0.9812,0.1102
temps,20200126,7.9976,-0.2551,-0.9446,-2.4994,0.6937,-0.0246,-0.7477,-2.5441,0.9507
temps,20200322,8.3565,2.0356,-0.4467,-1.9739,-0.028,2.1238,-0.286,-1.8245,0.4355
temps,20200425,12.108,-1.6264,-0.3255,0.4006,2.0878,-1.4824,-0.1809,0.614,1.9472
temps,20200531,6.5613,-2.9733,2.0266,-0.8835,3.7402,-2.396,2.1837,-0.198,4.0065
temps,20200719,6.5662,-1.3769,1.62,-0.5963,2.0063,-1.0802,1.8234,-0.0883,2.0211
temps,20200823,13.988,-0.3535,2.5121,-1.6249,1.9631,-0.099,2.6433,-1.1301,1.8023
temps,20201031,4.4187,-1.8859,0.3001,-0.0604,1.9126,,,,
temps,20210131,4.4661,1.2181,-0.3813,-2.004,1.8927,,,,
temps,20210501,5.9924,-0.6976,-1.8317,0.1408,2.2475,,,,
temps,20220423,5.5382,-2.1009,-1.1512,-1.1181,0.6881,,,,
monde,20080413,4.2521,0.5988,1.6242,0.2945,0.6185,,,,
monde,20080712,4.5929,-1.6316,-0.2634,-0.6286,1.1626,,,,
monde,20080815,6.9379,2.5203,-0.6875,0.8875,1.0644,2.4508,-0.788,1.0614,1.6879
monde,20081105,8.5097,0.8253,-0.2942,1.3254,-1.5963,0.4145,-0.3536,0.8942,-1.1007
monde,20090802,4.5362,-0.7255,2.0776,-0.6086,1.3012,,,,
monde,20100610,4.4081,3.543,-1.5752,-0.0321,-0.4376,,,,
monde,20100711,7.4629,-1.3908,1.4807,1.0795,2.2879,-1.2274,1.4808,1.4471,1.7734
monde,20101103,4.0724,-0.0093,-1.0225,0.8329,-1.9325,,,,
monde,20110909,4.8456,-0.8049,0.3546,0.8924,2.1689,,,,
monde,20111023,6.0592,-1.1073,2.6925,-0.0837,0.2097,-1.1405,2.6712,0.0655,0.273
monde,20140713,7.7991,-0.7861,2.1989,1.4748,1.2273,-0.8094,2.1541,1.5641,0.2233
monde,20180715,36.1548,1.3217,0.7586,1.3056,0.7155,1.0724,0.6975,1.5099,-0.189
monde,20221218,15.3312,-0.4963,1.0213,-0.6112,0.3423,-0.5999,1.1285,-0.5009,0.0726
monde,20230908,5.8306,1.3195,0.5666,1.159,1.1043,,,,
monde,20231029,4.0948,-1.2628,2.0362,-0.1361,2.1849,,,,
monde,20260616,5.3043,2.7132,0.8591,-0.267,-1.0994,,,,
monde,20260719,7.2323,-1.189,3.2832,1.8177,1.6316,-1.1816,3.3189,1.992,1.1725
fois,20080427,4.8541,-1.8719,-1.2817,-1.1942,1.1925,,,,
fois,20081221,4.4661,-1.0176,0.5823,-0.7914,1.1575,,,,
fois,20090301,5.4743,-1.9519,-1.1619,-1.2562,1.594,,,,
fois,20100501,4.5683,-0.8808,-0.5051,0.9661,0.2918,,,,
fois,20250105,4.4275,-2.2364,1.1591,-0.7024,0.8106,,,,
premier,20080309,33.398,0.434,-3.3818,-1.3649,1.6382,0.5331,-3.2092,-1.1629,2.0726
premier,20080525,4.1962,-0.9314,-0.5714,0.346,-0.5017,,,,
premier,20080731,4.4454,-0.0918,1.2903,-1.3635,-0.053,,,,
premier,20080901,5.9259,0.1061,2.657,-0.451,0.8166,,,,
premier,20090830,4.651,-0.9018,-0.8532,-0.1139,0.7381,,,,
premier,20100314,8.6192,0.6367,-1.8725,0.1695,1.7451,0.6257,-1.8397,0.4442,2.2024
premier,20101114,9.5674,-1.2827,0.3112,1.0823,0.7704,-1.4816,0.3707,0.9655,0.5562
premier,20110327,7.7351,-0.9829,1.1126,1.0851,2.0692,-1.0164,1.246,1.5261,2.7229
premier,20111016,7.3183,-1.7164,1.3868,0.4036,2.8553,-1.5959,1.5461,0.915,3.1999
premier,20120422,15.6572,0.7389,-1.8626,0.1058,0.9078,0.6181,-1.7143,0.3141,0.806
premier,20120610,13.048,-0.3669,-0.7272,0.2199,1.0444,-0.4179,-0.7549,0.1714,0.7596
premier,20140323,21.0841,1.6275,-2.973,-0.1912,1.535,1.6017,-2.9265,0.0342,1.9169
premier,20150322,9.7932,1.1246,-1.4332,1.52,2.1463,1.0573,-1.4427,1.801,1.8287
premier,20151213,12.1419,-1.1356,1.2379,1.5759,2.09,-1.2049,1.3581,1.9951,2.4414
premier,20161127,6.1494,-0.8449,0.3796,1.6018,2.461,-0.9121,0.4809,2.0003,2.7044
premier,20170122,7.3519,-0.2938,-1.0526,0.0848,1.8642,-0.2546,-1.0496,0.3296,2.1501
