seuil,composante,cote,rang,mot,date,surprise,coefficient,vocab600
4,1,positif,1,certains,20200320,7.0,4.6596,0
4,1,positif,2,virus,20200317,6.07,4.6539,0
4,1,positif,3,normal,20200323,7.41,4.5832,0
4,1,positif,4,précautions,20200314,12.88,4.5653,0
4,1,positif,5,strict,20200317,7.08,4.5483,0
4,1,positif,6,téléphonique,20200317,16.35,4.5203,0
4,1,positif,7,denrées,20200317,5.03,4.4905,0
4,1,positif,8,continuent,20200320,18.36,4.4862,0
4,1,positif,9,garder,20200314,13.18,4.4801,0
4,1,positif,10,gens,20200320,5.98,4.4512,1
4,1,positif,11,l'instant,20200317,11.35,4.4498,0
4,1,positif,12,guerre,20220301,12.53,4.4419,1
4,1,positif,13,ouverts,20200314,15.48,4.4356,0
4,1,positif,14,s'occuper,20200320,13.91,4.4329,0
4,1,positif,15,seuls,20200317,10.09,4.4114,0
4,1,negatif,1,mondial,20100711,5.55,-4.7361,1
4,1,negatif,2,création,20200311,4.87,-4.6774,1
4,1,negatif,3,sortant,20140331,8.84,-4.617,0
4,1,negatif,4,créer,20200311,6.78,-4.587,0
4,1,negatif,5,maladie,20200516,4.66,-4.5811,1
4,1,negatif,6,développer,20200311,5.57,-4.5687,0
4,1,negatif,7,positives,20200519,6.08,-4.5179,0
4,1,negatif,8,ouvertes,20091002,4.98,-4.4684,0
4,1,negatif,9,présente,20080314,10.75,-4.4603,1
4,1,negatif,10,distance,20200621,4.92,-4.4483,0
4,1,negatif,11,urbain,20200311,4.56,-4.4293,0
4,1,negatif,12,s'engage,20200311,4.04,-4.3903,0
4,1,negatif,13,page,20200913,5.67,-4.374,0
4,1,negatif,14,législative,20120618,4.3,-4.3724,0
4,1,negatif,15,étiquette,20260316,8.15,-4.3655,0
4,2,positif,1,ans,20200222,13.47,4.2471,0
4,2,positif,2,ouvrier,20260226,6.73,4.1647,0
4,2,positif,3,tissu,20200504,25.01,4.1494,0
4,2,positif,4,septembre,20250917,4.57,4.1427,0
4,2,positif,5,octobre,20251017,4.03,4.1382,0
4,2,positif,6,ingénieur,20200222,12.54,4.122,0
4,2,positif,7,tissus,20200504,12.18,4.1001,0
4,2,positif,8,agent,20140307,7.68,4.0888,0
4,2,positif,9,ingénieur,20140301,10.81,4.0858,0
4,2,positif,10,ux,20140118,4.01,4.0542,0
4,2,positif,11,technicien,20200222,7.3,4.0393,0
4,2,positif,12,comptable,20140301,5.83,4.0005,0
4,2,positif,13,composée,20200222,6.51,3.9889,0
4,2,positif,14,d'année,20201224,4.22,3.974,0
4,2,positif,15,liste,20200305,6.77,3.9613,1
4,2,negatif,1,rendent,20240706,4.22,-3.5851,0
4,2,negatif,2,droit,20080320,5.05,-3.5144,1
