valeur_propre_s4,valeur_propre_s6
1.533721,1.669901
1.2964,1.401245
1.035043,0.995346
0.867794,0.785343
0.75628,0.716768
0.650512,0.583237
0.607023,0.538127
0.539606,0.46717
0.525241,0.447313
0.463765,0.380294
0.427296,0.342991
0.422166,0.337489
0.4144,0.329417
0.405793,0.309825
0.369263,0.288371
0.350313,0.263722
0.340996,0.261801
0.330465,0.245197
0.314351,0.22769
0.306979,0.221175
0.298187,0.217553
0.288869,0.202848
0.284019,0.199836
0.273093,0.18823
0.270084,0.186401
0.265616,0.183646
0.250712,0.168262
0.242893,0.166699
0.232841,0.150335
0.22279,0.142258
0.0,0.0
