reglage,seuil,n,hebdo,K50,var1,var2,var3,var4,ac7_c1,ac7_c2,ac7_c3,ac7_c4,cos1,cos2,cos3,cos4,fuite,pic_perdu
origine,4,89591,0.107,0.29,0.105,0.089,0.071,0.059,0.11,0.2,0.42,0.21,1.0,1.0,1.0,1.0,,
origine,6,32939,0.091,0.226,0.132,0.111,0.079,0.062,0.08,0.15,0.36,-0.42,1.0,1.0,1.0,1.0,,
classique,4,89591,0.076,0.29,0.106,0.092,0.068,0.053,0.07,0.19,0.21,-0.63,0.99,0.99,0.95,0.83,0.011,0.036
classique,6,32939,0.071,0.226,0.134,0.114,0.078,0.061,0.06,0.14,0.25,-0.65,1.0,1.0,0.99,0.87,0.008,0.03
stl7,4,89591,0.001,0.194,0.131,0.115,0.075,0.069,0.16,-0.2,-0.55,-0.81,0.76,0.76,0.57,0.26,0.175,0.081
stl7,6,32939,0.001,0.161,0.16,0.139,0.08,0.075,0.09,-0.24,-0.47,-0.8,0.79,0.77,0.67,0.64,0.182,0.068
stl7r,4,89591,0.025,0.258,0.114,0.099,0.069,0.059,0.05,0.19,-0.05,-0.36,0.97,0.98,0.84,0.3,0.036,0.083
stl7r,6,32939,0.032,0.194,0.142,0.12,0.078,0.064,0.05,0.16,0.06,-0.36,0.99,0.98,0.95,0.51,0.028,0.067
stl25r,4,89591,0.049,0.29,0.108,0.095,0.068,0.054,0.06,0.17,0.06,-0.53,0.98,0.99,0.89,0.67,0.019,0.052
stl25r,6,32939,0.053,0.226,0.137,0.117,0.078,0.06,0.04,0.14,0.15,-0.57,1.0,0.99,0.97,0.65,0.014,0.04
stl53r,4,89591,0.057,0.29,0.107,0.094,0.068,0.053,0.06,0.18,0.12,-0.54,0.98,0.99,0.91,0.84,0.015,0.046
stl53r,6,32939,0.06,0.226,0.135,0.115,0.078,0.06,0.05,0.14,0.19,-0.6,1.0,1.0,0.98,0.7,0.011,0.036
