mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20140307,7.7795,-1.9943,4.101,0.4152,1.192,-0.3674,4.4997,1.2833,0.9815
ans,20200222,13.4716,-0.2543,4.2712,1.1977,1.1194,1.3111,3.9393,1.6588,0.8718
ans,20260223,16.9378,-0.503,4.3521,0.7829,1.1532,1.0978,4.1268,1.4526,0.8921
france,20080703,8.3329,-1.8355,2.9836,0.9617,0.7569,-0.6092,3.3193,1.6038,0.5814
france,20120114,5.7494,1.6029,0.4227,-1.1948,0.0705,,,,
france,20151115,10.6579,-0.8622,-0.9671,2.1957,-0.6821,-1.0803,-0.8562,1.9329,-0.7733
france,20160709,5.6383,-1.9131,0.84,0.9499,-1.1517,,,,
france,20180714,6.6863,-1.9283,2.2621,1.1265,-0.9905,-1.0081,2.5972,1.3852,-1.1902
france,20240811,4.5813,-3.8686,1.9308,-0.4645,1.4132,,,,
temps,20191224,6.5864,2.7923,1.5049,-0.0061,1.7444,3.1375,0.491,0.1635,1.8024
temps,20200413,10.2735,2.4026,1.1508,-2.0224,2.6801,2.5728,0.631,-1.8051,2.8179
temps,20200823,15.819,-0.8279,3.1111,0.395,1.6643,0.3387,3.2646,0.7878,1.3521
temps,20210502,4.8302,0.8126,1.8659,0.7461,2.3441,,,,
monde,20080823,7.0418,-1.7974,2.6403,-1.9863,0.56,-0.9371,3.3835,-1.3575,0.9176
monde,20100611,7.0967,3.1788,0.5548,-0.8996,1.4254,3.033,-0.3984,-1.1914,1.4172
monde,20110910,4.4056,0.7775,-1.3406,-2.971,1.1065,,,,
monde,20140714,4.633,-4.098,1.0067,-0.4346,0.9461,,,,
monde,20180714,18.9285,0.117,1.7226,1.2648,-1.0012,0.6903,1.3141,1.2849,-1.3118
monde,20221217,8.0911,-1.8753,2.9069,1.4817,0.8641,-0.5941,3.2189,1.8006,0.2849
monde,20230907,4.4892,-2.2052,0.557,1.8016,0.3642,,,,
monde,20260617,4.6993,3.0525,0.7846,-2.2248,0.947,,,,
premier,20080323,17.0871,-0.9997,2.522,-2.1669,0.8656,-0.2611,2.9705,-1.4252,1.2491
