seuil,composante,cote,rang,mot,date,surprise,coefficient,parlant
4,1,positif,1,virus,20200317,6.07,4.7965,0
4,1,positif,2,certains,20200320,7.0,4.7053,0
4,1,positif,3,strict,20200317,7.08,4.6113,0
4,1,positif,4,normal,20200323,7.41,4.609,0
4,1,positif,5,téléphonique,20200317,16.35,4.6053,0
4,1,positif,6,gens,20200320,5.98,4.6016,1
4,1,positif,7,correspondance,20090117,4.23,4.6,0
4,1,positif,8,pouvons,20200323,8.0,4.5673,0
4,1,positif,9,employés,20200320,4.87,4.5602,0
4,1,positif,10,s'occuper,20200320,13.91,4.5585,0
4,1,positif,11,précautions,20200314,12.88,4.5575,0
4,1,positif,12,garder,20200314,13.18,4.5565,0
4,1,positif,13,l'instant,20200317,11.35,4.5315,0
4,1,positif,14,l'heure,20200317,10.57,4.5162,0
4,1,positif,15,continuent,20200320,18.36,4.4986,0
4,1,negatif,1,mondial,20100711,5.55,-4.7026,1
4,1,negatif,2,création,20200311,4.87,-4.5816,1
4,1,negatif,3,créer,20200311,6.78,-4.4797,0
4,1,negatif,4,développer,20200311,5.57,-4.4781,0
4,1,negatif,5,sortant,20140331,8.84,-4.461,0
4,1,negatif,6,vide,20260605,4.22,-4.431,0
4,1,negatif,7,maladie,20200516,4.66,-4.4257,1
4,1,negatif,8,ouvertes,20091002,4.98,-4.4217,0
4,1,negatif,9,présente,20080314,10.75,-4.3982,1
4,1,negatif,10,urbain,20200311,4.56,-4.3872,0
4,1,negatif,11,distance,20200621,4.92,-4.3448,0
4,1,negatif,12,étiquette,20260316,8.15,-4.3357,0
4,1,negatif,13,environnement,20200311,8.28,-4.2747,0
4,1,negatif,14,s'engage,20200311,4.04,-4.264,0
4,1,negatif,15,législative,20120618,4.3,-4.2619,0
4,2,positif,1,ans,20260223,16.94,4.3521,0
4,2,positif,2,comptable,20140301,5.83,4.3061,0
4,2,positif,3,agent,20140307,7.68,4.2855,0
4,2,positif,4,ingénieur,20200222,12.54,4.2738,0
4,2,positif,5,ans,20200222,13.47,4.2712,0
4,2,positif,6,ingénieur,20140301,10.81,4.252,0
4,2,positif,7,septembre,20250917,4.57,4.2507,0
4,2,positif,8,constituée,20140307,7.6,4.2444,0
4,2,positif,9,employée,20260223,10.66,4.2415,0
4,2,positif,10,ouvrier,20260226,6.73,4.2345,0
4,2,positif,11,technicien,20200222,7.3,4.2,0
4,2,positif,12,comptable,20260226,7.11,4.1886,0
4,2,positif,13,moyenne,20080219,5.24,4.1858,1
4,2,positif,14,responsable,20260223,8.61,4.1842,1
4,2,positif,15,tissus,20200504,12.18,4.1755,0
4,2,negatif,1,rendent,20240706,4.22,-3.6051,0
4,2,negatif,2,droit,20080320,5.05,-3.5499,1
4,2,negatif,3,soins,20210707,4.27,-3.4283,0
4,2,negatif,4,gueule,20160329,4.17,-3.3643,0
4,2,negatif,5,bêtes,20160703,5.18,-3.3557,0
4,2,negatif,6,reconnaître,20110311,5.77,-3.2654,0
4,2,negatif,7,monsieur,20240817,5.66,-3.2624,0
4,2,negatif,8,rentre,20120624,4.99,-3.2406,0
4,2,negatif,9,consultant,20260112,6.58,-3.2019,0
4,2,negatif,10,docteur,20200910,5.08,-3.1608,0
4,2,negatif,11,dur,20080413,4.23,-3.146,0
4,2,negatif,12,ordinaires,20140124,4.76,-3.1414,0
4,2,negatif,13,bientôt,20211225,4.03,-3.134,0
4,2,negatif,14,vint,20100611,5.21,-3.1305,0
4,2,negatif,15,entamer,20221009,4.03,-3.1259,0
4,3,positif,1,l'île,20170908,4.74,3.3929,0
4,3,positif,2,coûts,20081203,5.05,3.3727,0
4,3,positif,3,magnifique,20210905,6.58,3.3558,0
4,3,positif,4,thaïlande,20100515,4.26,3.3558,0
4,3,positif,5,rares,20190528,4.2,3.2366,0
4,3,positif,6,revenant,20200225,6.81,3.1952,0
4,3,positif,7,dérive,20180723,5.05,3.1547,0
4,3,positif,8,signature,20140319,4.08,3.1328,0
4,3,positif,9,l'effondrement,20081218,4.2,3.0923,0
4,3,positif,10,respecter,20200829,6.03,3.0833,0
4,3,positif,11,exil,20081227,4.17,3.0672,0
4,3,positif,12,occupent,20140409,4.71,3.0403,0
4,3,positif,13,économique,20081124,6.12,3.039,1
4,3,positif,14,l'egypte,20130815,7.27,3.0365,0
4,3,positif,15,manifesté,20150110,4.16,3.0022,0
4,3,negatif,1,moyennes,20080907,4.33,-3.8499,0
4,3,negatif,2,nancy,20081004,5.14,-3.5197,0
4,3,negatif,3,valu,20190107,4.71,-3.4316,0
4,3,negatif,4,rurale,20240201,15.33,-3.4157,0
4,3,negatif,5,cahiers,20181220,5.14,-3.3881,0
4,3,negatif,6,alexandre,20190101,11.82,-3.3406,0
4,3,negatif,7,col,20240721,4.43,-3.3385,0
4,3,negatif,8,développé,20201124,5.58,-3.3209,0
4,3,negatif,9,partie,20200501,4.59,-3.3115,1
4,3,negatif,10,reconquête,20220223,5.25,-3.3108,0
4,3,negatif,11,prime,20251008,4.6,-3.2643,0
4,3,negatif,12,modéré,20240709,4.14,-3.2549,0
4,3,negatif,13,coordination,20240201,9.99,-3.2462,0
4,3,negatif,14,japonaises,20200108,4.37,-3.2371,0
4,3,negatif,15,interdits,20200323,6.98,-3.1854,0
4,4,positif,1,gratuitement,20200419,6.07,3.6815,0
4,4,positif,2,sinistre,20250728,4.87,3.6146,0
4,4,positif,3,partiellement,20200802,10.22,3.5973,0
4,4,positif,4,soudain,20110724,4.18,3.5313,0
4,4,positif,5,européen,20080630,4.65,3.5094,1
4,4,positif,6,individuelle,20200407,6.09,3.3997,0
4,4,positif,7,boutique,20201127,4.42,3.3534,0
4,4,positif,8,inclus,20090725,4.97,3.3459,0
4,4,positif,9,gère,20200410,5.88,3.3323,0
4,4,positif,10,d'âme,20170408,5.07,3.3195,0
4,4,positif,11,pouvaient,20080413,4.6,3.3124,0
4,4,positif,12,tester,20200413,6.36,3.311,0
4,4,positif,13,pense,20080615,5.99,3.2855,0
4,4,positif,14,presse,20080528,4.55,3.2756,1
4,4,positif,15,fonctionnaires,20100608,4.22,3.248,0
4,4,negatif,1,chef,20110504,4.52,-2.6232,1
4,4,negatif,2,tribunaux,20110209,7.04,-2.5904,0
4,4,negatif,3,l'opération,20130117,5.16,-2.5795,0
4,4,negatif,4,l'indépendance,20080219,12.95,-2.5549,0
4,4,negatif,5,individus,20151118,4.85,-2.5209,0
4,4,negatif,6,demi,20180711,6.29,-2.5076,0
4,4,negatif,7,carrefour,20101021,9.96,-2.4858,0
4,4,negatif,8,demi,20221214,4.37,-2.4721,0
4,4,negatif,9,nigeria,20140629,10.7,-2.4448,0
4,4,negatif,10,pape,20090511,5.0,-2.4363,0
4,4,negatif,11,allemande,20150326,4.76,-2.3871,0
4,4,negatif,12,hanoï,20250526,9.11,-2.3786,0
