valeur_propre_s4,valeur_propre_s6
1.625167,1.777003
1.422676,1.501468
0.986683,0.974892
0.849378,0.806539
0.707127,0.626341
0.648738,0.586243
0.595138,0.528015
0.551434,0.494996
0.448285,0.359188
0.418363,0.344318
0.39959,0.337547
0.384229,0.322964
0.372975,0.308942
0.37117,0.28369
0.343744,0.259878
0.33918,0.249245
0.324336,0.240002
0.319193,0.235989
0.308216,0.226197
0.302536,0.221655
0.297633,0.214832
0.289986,0.208238
0.279128,0.205845
0.271606,0.192721
0.266063,0.190434
0.25932,0.185872
0.245269,0.170614
0.237502,0.164946
0.230859,0.153989
0.216333,0.144072
0.0,0.0
