mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
ans,20080211,89.4174,1.5854,0.0295,-3.1593,1.166,1.7952,0.1221,-2.7764,1.7885
ans,20080324,19.6099,-0.2017,3.0307,0.9873,0.0432,-0.3308,3.0113,1.0158,0.4756
ans,20090101,20.3383,-1.4811,-0.2698,0.1149,-0.6899,-1.7744,-0.2052,-0.1405,-0.6608
ans,20140308,10.9193,-1.1895,3.3977,0.89,0.6384,-1.0576,3.2601,0.9398,1.9917
ans,20200216,17.4127,2.3806,-1.9342,-1.6527,1.3365,2.482,-1.7599,-1.3629,2.8642
ans,20260216,14.7607,1.3044,-0.3084,-1.8437,1.5621,1.4603,-0.1037,-1.7053,2.8937
france,20080704,6.2958,0.7353,3.1201,-0.2935,-0.0898,0.7869,3.0657,-0.3208,0.8052
france,20100620,4.2628,2.7186,0.2817,-0.3929,0.169,,,,
france,20120113,5.1212,1.6129,0.0815,1.6004,0.9464,,,,
france,20120506,4.6823,-1.224,0.201,1.8953,-0.5055,,,,
france,20140914,4.135,1.9847,-1.9451,-1.3724,-0.1904,,,,
france,20151114,12.1064,2.7873,-1.5094,0.5453,-0.5085,2.5623,-1.6405,0.4678,-0.6695
france,20160710,8.1505,0.8267,2.3393,0.7184,0.9456,0.7329,2.3127,1.0302,0.6841
france,20180107,8.7479,0.5634,-0.3438,1.0732,-0.7249,0.1986,-0.3353,0.9158,-0.1824
france,20180715,15.2438,0.5918,1.5688,2.1306,0.1146,0.2968,1.5069,2.1739,-0.4816
france,20210627,4.4223,0.0998,1.5088,1.5817,1.7074,,,,
france,20221218,7.0278,-0.1485,2.0358,0.861,-0.2303,-0.3981,2.1409,0.7961,0.0719
france,20240811,5.4171,-1.4731,3.543,2.234,1.4668,,,,
temps,20080810,4.5097,0.5991,-1.3409,-2.482,0.3629,,,,
temps,20191225,9.0145,1.9914,-0.8642,-0.845,-1.5224,1.8911,-0.8989,-1.1017,0.622
temps,20200126,7.9573,-0.2158,-0.7733,-2.5363,0.7894,-0.0209,-0.5752,-2.5381,0.9007
temps,20200322,8.2496,2.0549,-0.3201,-1.9881,0.0197,2.1331,-0.1332,-1.8243,0.458
temps,20200425,12.0596,-1.5495,-0.3411,0.3997,2.1474,-1.4053,-0.2481,0.607,1.8689
temps,20200531,6.5422,-2.8499,2.0062,-0.6897,3.9908,-2.3136,2.068,-0.0155,3.844
temps,20200719,6.4862,-1.288,1.6533,-0.406,2.1303,-1.0128,1.7958,0.1218,1.869
temps,20200823,14.039,-0.3442,2.5664,-1.3815,2.0335,-0.1406,2.6582,-0.8909,1.5507
temps,20201031,4.3641,-1.8849,0.3486,-0.0255,1.9848,,,,
temps,20210207,4.4372,-0.1311,2.3353,0.7515,2.1635,,,,
temps,20210501,6.0166,-0.6115,-1.8352,0.1379,2.3468,-0.4836,-1.6675,0.5691,2.4681
temps,20220423,5.4629,-2.091,-1.1074,-1.2104,0.7798,,,,
monde,20080413,4.2876,0.4069,1.4073,0.4348,0.6727,,,,
