seuil,composante,cote,rang,mot,date,surprise,coefficient,parlant
4,1,positif,1,canicule,20260624,10.1,4.1575,1
4,1,positif,2,ukrainienne,20220227,5.87,4.0707,1
4,1,positif,3,russes,20220228,13.85,4.067,1
4,1,positif,4,terroristes,20150111,10.47,4.0568,0
4,1,positif,5,coupe,20100610,4.1,4.0439,1
4,1,positif,6,chaleur,20260524,5.76,4.0003,0
4,1,positif,7,délégué,20200527,5.13,3.9964,0
4,1,positif,8,doyen,20200527,12.45,3.9892,0
4,1,positif,9,consigne,20200316,4.48,3.9767,0
4,1,positif,10,nucléaires,20110314,11.61,3.9727,0
4,1,positif,11,carburant,20101019,14.19,3.9721,0
4,1,positif,12,fermer,20200315,17.71,3.9688,0
4,1,positif,13,japonaises,20110314,22.99,3.9672,0
4,1,positif,14,terrorisme,20150111,11.98,3.9504,0
4,1,positif,15,mandat,20200527,5.84,3.9486,1
4,1,negatif,1,brusquement,20200621,4.58,-3.6483,0
4,1,negatif,2,s'établir,20081030,4.2,-3.4587,0
4,1,negatif,3,anticipée,20241112,4.75,-3.4406,1
4,1,negatif,4,croix,20090523,4.65,-3.4184,0
4,1,negatif,5,atteindre,20200116,6.41,-3.4144,0
4,1,negatif,6,statue,20230828,4.24,-3.3714,0
4,1,negatif,7,dois,20200412,4.55,-3.3653,0
4,1,negatif,8,mécaniques,20201211,16.94,-3.3506,0
4,1,negatif,9,gagnée,20170618,4.22,-3.3353,0
4,1,negatif,10,comble,20121230,4.35,-3.3347,0
4,1,negatif,11,lyon,20090322,6.35,-3.3132,1
4,1,negatif,12,parle,20081122,4.78,-3.3042,0
4,1,negatif,13,témoigner,20211102,6.25,-3.2913,0
4,1,negatif,14,chef,20180806,6.97,-3.2868,1
4,1,negatif,15,roue,20090830,5.09,-3.2826,1
4,2,positif,1,développer,20200312,4.27,4.9559,0
4,2,positif,2,créer,20200312,6.53,4.7119,0
4,2,positif,3,bronze,20160821,11.79,4.6076,0
4,2,positif,4,recensement,20180118,4.9,4.5316,0
4,2,positif,5,feu,20220814,7.11,4.4657,1
4,2,positif,6,préserver,20260311,6.8,4.4593,0
4,2,positif,7,création,20200312,5.81,4.4403,1
4,2,positif,8,axes,20200312,5.31,4.4365,0
4,2,positif,9,noël,20221225,6.11,4.4324,0
4,2,positif,10,fêter,20210102,4.08,4.4018,0
4,2,positif,11,élevée,20200601,4.76,4.3885,0
4,2,positif,12,favorisant,20200312,4.24,4.3608,0
4,2,positif,13,axe,20260311,4.71,4.3444,0
4,2,positif,14,possibilité,20200920,5.85,4.3303,1
4,2,positif,15,cadeau,20241225,8.84,4.3302,0
4,2,negatif,1,mandat,20140105,4.05,-3.9254,1
4,2,negatif,2,ukraine,20220224,7.46,-3.8202,1
4,2,negatif,3,garder,20200313,13.68,-3.7936,0
4,2,negatif,4,tissu,20200404,5.78,-3.7614,0
4,2,negatif,5,liste,20200209,4.38,-3.712,1
4,2,negatif,6,réalisations,20130106,8.05,-3.6503,0
4,2,negatif,7,terroristes,20231007,4.72,-3.6369,0
4,2,negatif,8,terroriste,20150107,4.63,-3.6358,0
4,2,negatif,9,disponibles,20200316,6.24,-3.6234,0
4,2,negatif,10,jérusalem,20151004,4.52,-3.616,0
4,2,negatif,11,team,20110702,15.34,-3.5947,1
4,2,negatif,12,l'aménagement,20130106,6.83,-3.5921,0
4,2,negatif,13,disposent,20200317,5.53,-3.5779,0
4,2,negatif,14,l'éducation,20240109,6.63,-3.5659,0
4,2,negatif,15,officiellement,20260315,4.18,-3.5654,0
4,3,positif,1,développer,20080303,7.47,3.6687,0
4,3,positif,2,législative,20220619,4.08,3.6641,0
4,3,positif,3,fortes,20220816,6.27,3.615,0
4,3,positif,4,sortante,20200315,5.03,3.5634,1
4,3,positif,5,candidats,20260315,6.48,3.5281,1
4,3,positif,6,création,20080303,5.84,3.4694,1
4,3,positif,7,liste,20200315,10.51,3.4484,1
4,3,positif,8,exceptionnelle,20200413,5.24,3.3916,0
4,3,positif,9,commerciale,20250512,4.39,3.3756,0
4,3,positif,10,comptes,20090330,4.09,3.3476,1
4,3,positif,11,subventions,20090330,4.17,3.3169,0
4,3,positif,12,candidate,20200315,4.19,3.3161,0
4,3,positif,13,russes,20220403,7.0,3.3066,1
4,3,positif,14,santé,20240527,4.02,3.3055,1
4,3,positif,15,trouble,20240527,4.99,3.3024,0
4,3,negatif,1,chauffeur,20080211,9.1,-4.1878,0
4,3,negatif,2,réouverture,20210416,5.95,-4.1111,0
4,3,negatif,3,capital,20080829,5.26,-4.0581,1
4,3,negatif,4,l'absence,20240823,4.23,-3.9448,0
4,3,negatif,5,africaine,20100601,4.01,-3.9039,0
4,3,negatif,6,kilomètres,20110710,4.97,-3.8555,1
4,3,negatif,7,recul,20081010,4.1,-3.8332,0
4,3,negatif,8,net,20080215,5.67,-3.7824,0
4,3,negatif,9,reçoivent,20130202,4.71,-3.7663,0
4,3,negatif,10,kilomètres,20260726,4.15,-3.762,1
4,3,negatif,11,seniors,20100122,5.38,-3.7263,1
4,3,negatif,12,simplement,20260803,4.51,-3.7202,0
4,3,negatif,13,puces,20090405,4.31,-3.7133,1
