valeur_propre_s4,valeur_propre_s6
1.512154,1.646771
1.290146,1.380338
1.017698,0.982889
0.841719,0.774932
0.748593,0.697087
0.637883,0.57348
0.59003,0.516412
0.527026,0.455372
0.518662,0.444264
0.455604,0.372625
0.412709,0.334005
0.408607,0.331815
0.405022,0.32133
0.393763,0.299335
0.354624,0.279353
0.337807,0.258727
0.330688,0.252084
0.318326,0.236058
0.302766,0.221358
0.297057,0.216297
0.287934,0.211828
0.277334,0.196373
0.273431,0.193
0.260403,0.181675
0.258203,0.181274
0.255658,0.178372
0.241189,0.162092
0.232116,0.158876
0.223583,0.145372
0.212531,0.1374
0.0,0.0
