date,X_t,N_t
20200101,1,26668
20200102,8,66204
20200103,9,93099
20200104,2,49884
20200105,2,43700
20200106,10,77899
20200107,2,78563
20200108,2,82428
20200109,6,79455
20200110,35,100086
20200111,10,75768
20200112,2,38982
20200113,11,84791
20200114,23,87628
20200115,11,92833
20200116,8,91517
20200117,20,129488
20200118,14,68453
20200119,9,53568
20200120,7,80079
20200121,20,85301
20200122,15,104620
20200123,8,91935
20200124,29,111243
20200125,5,55023
20200126,8,44897
20200127,6,90434
20200128,8,85800
20200129,12,108459
20200130,4,96613
20200131,3,124767
20200201,4,72043
20200202,0,42183
20200203,7,94087
20200204,11,90583
20200205,10,95477
20200206,12,102401
20200207,4,130832
20200208,2,64272
20200209,2,36161
20200210,16,92799
20200211,4,85735
20200212,8,87679
20200213,7,93362
20200214,19,110756
20200215,4,68177
20200216,0,48704
20200217,8,77192
20200218,6,84210
20200219,7,94273
20200220,10,93264
20200221,14,105260
20200222,2,63396
20200223,4,49364
20200224,8,88558
20200225,2,95654
20200226,11,99257
20200227,24,95505
20200228,16,120094
20200229,3,72305
20200301,0,54642
20200302,8,100412
20200303,9,90734
20200304,13,108573
20200305,5,88745
20200306,8,116203
20200307,0,67148
20200308,4,37348
20200309,27,98036
20200310,5,99096
20200311,7,108070
20200312,11,106608
20200313,26,144335
20200314,5,84223
20200315,1,39984
20200316,2,98686
20200317,5,100856
20200318,6,102389
20200319,7,112929
20200320,4,126598
20200321,4,67376
20200322,2,47647
20200323,7,86841
20200324,2,106250
20200325,11,109284
20200326,4,87053
20200327,3,127301
20200328,3,54611
20200329,1,29980
20200330,13,95740
20200331,4,98680
20200401,4,105423
20200402,5,88773
20200403,7,131236
20200404,4,67440
20200405,1,49740
20200406,6,81127
20200407,5,96698
20200408,5,106491
20200409,6,74080
20200410,11,106019
20200411,10,52884
20200412,1,47670
20200413,4,54334
20200414,6,92364
20200415,3,89598
20200416,7,94513
20200417,2,105503
20200418,3,62868
20200419,1,40998
20200420,8,99162
20200421,12,90063
20200422,1,85877
20200423,7,84833
20200424,13,113147
20200425,7,56717
20200426,8,35565
20200427,3,92448
20200428,8,89886
20200429,11,96035
20200430,10,108619
20200501,8,56546
20200502,5,66677
20200503,1,43001
20200504,4,86868
20200505,8,96769
20200506,4,105026
20200507,5,79793
20200508,5,89113
20200509,3,61687
20200510,2,40765
20200511,5,80360
20200512,1,90608
20200513,8,86040
20200514,6,87828
20200515,18,122056
20200516,3,47024
20200517,1,45951
20200518,4,67624
20200519,5,92532
20200520,9,98979
20200521,8,56071
20200522,5,101605
20200523,2,57293
20200524,0,38932
20200525,4,72960
20200526,6,99481
20200527,8,89786
20200528,13,88857
20200529,13,112620
20200530,3,66944
20200531,2,38399
20200601,7,53653
20200602,12,112899
20200603,9,96662
20200604,13,97621
20200605,4,120449
20200606,1,64244
20200607,2,40824
20200608,13,74345
20200609,5,97566
20200610,15,95105
20200611,3,100289
20200612,16,119029
20200613,6,70689
20200614,6,44469
20200615,3,94611
20200616,7,100236
20200617,10,109017
20200618,21,93192
20200619,19,141971
20200620,14,69084
20200621,14,48052
20200622,26,97144
20200623,23,117776
20200624,13,89788
20200625,16,100917
20200626,18,124114
20200627,10,54497
20200628,4,42388
20200629,26,89314
20200630,30,101454
20200701,10,92682
20200702,14,91307
20200703,29,125618
20200704,9,63163
20200705,8,38302
20200706,8,100014
20200707,13,96281
20200708,19,91109
20200709,12,81774
20200710,20,116370
20200711,12,54725
20200712,2,36812
20200713,12,73812
20200714,4,44306
20200715,7,75402
20200716,11,87051
20200717,13,111006
20200718,6,52020
20200719,1,27811
20200720,15,66734
20200721,3,65125
20200722,7,89152
20200723,21,81747
20200724,7,98680
20200725,5,47394
20200726,2,33258
20200727,25,64495
20200728,6,74056
20200729,3,79946
20200730,10,83174
20200731,11,75368
20200801,0,56183
20200802,1,36161
20200803,5,63115
20200804,2,60027
20200805,4,61820
20200806,4,64540
20200807,6,96237
20200808,1,48286
20200809,3,31326
20200810,4,69031
20200811,6,66782
20200812,4,75282
20200813,4,69597
20200814,3,64494
20200815,4,30490
20200816,1,46284
20200817,4,63215
20200818,9,77930
20200819,6,78035
20200820,15,73503
20200821,2,82647
20200822,5,63658
20200823,0,31210
20200824,7,74187
20200825,1,72991
20200826,8,89442
20200827,1,82654
20200828,4,98722
20200829,7,62002
20200830,3,37585
20200831,5,90294
20200901,3,77770
20200902,19,101102
20200903,16,90194
20200904,1,128876
20200905,5,77492
20200906,6,49400
20200907,7,94255
20200908,11,89581
20200909,4,113113
20200910,5,91158
20200911,7,123733
20200912,2,61417
20200913,0,43939
20200914,10,95131
20200915,22,107665
20200916,28,113589
20200917,16,105077
20200918,7,112312
20200919,10,79357
20200920,1,51198
20200921,14,88960
20200922,19,94419
20200923,19,113508
20200924,24,116862
20200925,28,116744
20200926,2,87262
20200927,0,48312
20200928,9,90976
20200929,12,121978
20200930,19,114106
20201001,16,106542
20201002,15,132369
20201003,9,74783
20201004,4,47887
20201005,11,90274
20201006,20,117663
20201007,24,116063
20201008,10,103490
20201009,16,143809
20201010,10,69579
20201011,4,39409
20201012,9,89493
20201013,16,102720
20201014,5,103742
20201015,9,107842
20201016,10,134922
20201017,6,67668
20201018,6,57164
20201019,11,90162
20201020,23,87723
20201021,11,98542
20201022,12,102790
20201023,11,123698
20201024,4,67391
20201025,3,44255
20201026,13,101064
20201027,16,106174
20201028,11,95291
20201029,7,78858
20201030,6,116912
20201031,8,73236
20201101,4,53725
20201102,15,89223
20201103,5,93965
20201104,15,89759
20201105,9,101089
20201106,20,117086
20201107,3,67534
20201108,8,48859
20201109,12,108977
20201110,11,122878
20201111,1,67369
20201112,16,95135
20201113,9,130300
20201114,7,66838
20201115,2,44206
20201116,18,104574
20201117,11,109473
20201118,13,109011
20201119,13,109318
20201120,12,149114
20201121,1,65384
20201122,9,44392
20201123,14,101757
20201124,19,101112
20201125,6,100220
20201126,4,106533
20201127,12,122801
20201128,4,66513
20201129,0,43351
20201130,13,94748
20201201,4,91679
20201202,12,104061
20201203,10,106215
20201204,20,115845
20201205,25,76920
20201206,3,54508
20201207,21,90019
20201208,18,92301
20201209,6,110865
20201210,19,106407
20201211,22,137133
20201212,35,67079
20201213,14,49366
20201214,16,90844
20201215,29,92769
20201216,24,104986
20201217,9,116993
20201218,16,88186
20201219,9,59570
20201220,8,42443
20201221,10,92242
20201222,5,89441
20201223,14,84085
20201224,1,70233
20201225,3,38152
20201226,0,46380
20201227,1,29613
20201228,1,67194
20201229,3,61048
20201230,10,70535
20201231,10,80498
20210101,2,37745
20210102,8,54325
20210103,2,28483
20210104,5,75804
20210105,33,75306
20210106,6,90208
20210107,7,91422
20210108,13,109184
20210109,1,59742
20210110,1,41536
20210111,17,82096
20210112,13,83683
20210113,15,101521
20210114,22,99440
20210115,19,118807
20210116,3,77720
20210117,4,47657
20210118,4,87893
20210119,11,98818
20210120,13,117625
20210121,15,93962
20210122,15,127834
20210123,4,72990
20210124,9,46552
20210125,7,98848
20210126,8,95402
20210127,24,106901
20210128,14,105017
20210129,20,129771
20210130,11,63086
20210131,1,50447
20210201,15,86725
20210202,6,90906
20210203,9,101739
20210204,5,91128
20210205,6,141401
20210206,6,56646
20210207,1,39559
20210208,16,96789
20210209,27,99000
20210210,43,101876
20210211,17,106536
20210212,9,128996
20210213,2,58925
20210214,3,53789
20210215,4,83244
20210216,13,101640
20210217,5,99788
20210218,13,84058
20210219,30,123870
20210220,5,50288
20210221,14,41413
20210222,5,81624
20210223,21,93038
20210224,14,91163
20210225,3,96936
20210226,14,114839
20210227,4,56072
20210228,18,49756
20210301,5,87348
20210302,16,96427
20210303,14,96979
20210304,4,97619
20210305,10,121308
20210306,3,57562
20210307,18,49045
20210308,18,79723
20210309,13,94929
20210310,11,103210
20210311,22,125628
20210312,5,106769
20210313,6,61786
20210314,8,56209
20210315,20,102252
20210316,18,100775
20210317,6,107381
20210318,5,104039
20210319,35,125591
20210320,3,64639
20210321,1,59803
20210322,10,80319
20210323,17,104407
20210324,9,106792
20210325,5,103655
20210326,8,120487
20210327,1,66999
20210328,22,54530
20210329,43,89579
20210330,2,102446
20210331,10,103522
20210401,8,93376
20210402,7,114045
20210403,1,56628
20210404,1,44420
20210405,11,60865
20210406,6,104013
20210407,6,104029
20210408,10,110511
20210409,13,119376
20210410,21,59954
20210411,7,65051
20210412,14,86347
20210413,13,97268
20210414,21,100665
20210415,8,109113
20210416,18,113966
