date,X_t,N_t
20000101,0,120656
20000102,1,81718
20000103,1,10716
20000104,0,83650
20000105,1,63358
20000106,0,63351
20000107,1,110439
20000108,0,70705
20000109,0,71291
20000110,1,40628
20000111,1,101712
20000112,0,90911
20000113,0,89284
20000114,1,106410
20000115,1,77947
20000116,0,73369
20000117,0,35124
20000118,3,103269
20000119,0,102676
20000120,0,81869
20000121,0,109157
20000122,0,85246
20000123,1,68270
20000124,0,50235
20000125,0,106821
20000126,1,95610
20000127,1,88661
20000128,0,116099
20000129,0,76537
20000130,4,70004
20000131,1,25964
20000201,0,102885
20000202,1,95151
20000203,0,88285
20000204,0,119155
20000205,0,88588
20000206,0,78361
20000207,0,30171
20000208,0,107376
20000209,0,96072
20000210,0,97867
20000211,0,118981
20000212,0,76571
20000213,7,72360
20000214,0,61594
20000215,0,101894
20000216,0,96931
20000217,0,83654
20000218,0,98695
20000219,0,68808
20000220,0,68330
20000221,2,40553
20000222,0,95840
20000223,2,90220
20000224,0,84359
20000225,0,114706
20000226,0,107944
20000227,3,70700
20000228,0,52551
20000229,0,104410
20000301,0,96920
20000302,0,84562
20000303,0,109343
20000304,0,88057
20000305,0,77196
20000306,0,41148
20000307,0,102680
20000308,0,92589
20000309,0,85630
20000310,0,114890
20000311,0,84623
20000312,1,67069
20000313,0,53708
20000314,0,115494
20000315,0,100310
20000316,0,85642
20000317,1,113426
20000318,2,76887
20000319,0,74125
20000320,0,50237
20000321,0,106434
20000322,0,108897
20000323,0,94689
20000324,0,149909
20000325,1,116248
20000326,6,72222
20000327,0,36567
20000328,0,93141
20000329,0,98801
20000330,0,97665
20000331,0,114348
20000401,0,68507
20000402,0,62901
20000403,1,36803
20000404,0,107544
20000405,0,92676
20000406,0,79603
20000407,0,108824
20000408,0,82404
20000409,1,69678
20000410,0,49465
20000411,1,98205
20000412,2,92523
20000413,0,74127
20000414,0,103066
20000415,0,71599
20000416,5,73932
20000417,0,44585
20000418,0,100826
20000419,0,98256
20000420,0,82649
20000421,0,108199
20000422,0,75452
20000423,4,72967
20000424,0,44915
20000425,0,62640
20000426,0,121434
20000427,0,87359
20000428,0,118085
20000429,0,94656
20000430,0,3544
20000501,0,860
20000502,19,94376
20000503,0,128526
20000504,0,84091
20000505,0,118652
20000506,0,68171
20000507,12,74907
20000508,0,33390
20000509,0,69729
20000510,0,122852
20000511,8,110292
20000512,12,106875
20000513,1,78221
20000514,3,70930
20000515,0,50153
20000516,1,175941
20000517,1,106131
20000518,1,93341
20000519,0,173338
20000520,0,78383
20000521,9,94401
20000522,1,42245
20000523,2,143480
20000524,0,117605
20000525,4,83803
20000526,0,96579
20000527,0,88409
20000528,0,98337
20000529,0,52655
20000530,0,114813
20000531,0,105709
20000601,0,90133
20000602,0,122110
20000603,0,77657
20000604,0,68369
20000605,0,52999
20000606,0,118729
20000607,0,101882
20000608,0,99284
20000609,0,107031
20000610,0,95253
20000611,0,71768
20000612,0,44698
20000613,0,86197
20000614,0,121854
20000615,0,87883
20000616,0,130502
20000617,0,81858
20000618,1,70711
20000619,0,40422
20000620,0,102734
20000621,0,85911
20000622,0,81561
20000623,0,112947
20000624,0,87133
20000625,0,76956
20000626,0,39616
20000627,0,99268
20000628,0,99128
20000629,1,106791
20000630,1,134621
20000701,0,77477
20000702,0,88305
20000703,0,33381
20000704,0,105338
20000705,0,93701
20000706,0,100579
20000707,0,140011
20000708,0,73049
20000709,0,71911
20000710,0,23356
20000711,0,98733
20000712,0,72952
20000713,4,94729
20000714,1,102320
20000715,2,66341
20000716,1,75505
20000717,0,7887
20000718,0,69028
20000719,0,71204
20000720,0,66508
20000721,0,94209
20000722,0,74494
20000723,1,64121
20000724,0,16272
20000725,4,66309
20000726,0,60403
20000727,0,69288
20000728,0,80364
20000729,0,68764
20000730,0,58929
20000731,0,12727
20000801,0,59188
20000802,1,59723
20000803,0,62668
20000804,0,81410
20000805,0,56740
20000806,0,54646
20000807,0,14579
20000808,0,62717
20000809,0,60135
20000810,0,86208
20000811,0,81811
20000812,0,59280
20000813,1,54632
20000814,0,12058
20000815,0,65930
20000816,0,52519
20000817,0,68282
20000818,0,84651
20000819,0,58190
20000820,0,96277
20000821,0,10505
20000822,0,68339
20000823,0,72218
20000824,0,79369
20000825,0,103499
20000826,0,58693
20000827,0,54086
20000828,0,20198
20000829,0,86227
20000830,0,70547
20000831,0,73203
20000901,0,101319
20000902,0,69176
20000903,2,58484
20000904,0,37554
20000905,0,113978
20000906,2,101683
20000907,0,85210
20000908,0,96666
20000909,0,83839
20000910,3,71408
20000911,0,65483
20000912,0,109438
20000913,1,113175
20000914,1,100202
20000915,0,130310
20000916,0,142801
20000917,6,84713
20000918,0,50901
20000919,0,147036
20000920,0,145120
20000921,4,123001
20000922,0,134008
20000923,0,123702
20000924,2,111301
20000925,0,70030
20000926,0,164518
20000927,0,133142
20000928,0,134378
20000929,0,131687
20000930,1,136424
20001001,2,86088
20001002,0,60496
20001003,5,116621
20001004,0,87212
20001005,0,79680
20001006,0,108369
20001007,0,117932
20001008,1,104172
20001009,0,24946
20001010,0,109531
20001011,0,110985
20001012,0,75999
20001013,0,94122
20001014,0,86751
20001015,0,70977
20001016,0,28278
20001017,0,102105
20001018,0,104627
20001019,0,144602
20001020,0,180755
20001021,1,78443
20001022,1,70425
20001023,0,24441
20001024,0,123436
20001025,0,119981
20001026,0,88672
20001027,0,120798
20001028,0,88113
20001029,0,70741
20001030,0,34000
20001031,0,101253
20001101,0,89078
20001102,0,73917
20001103,0,127836
20001104,0,82757
20001105,1,73408
20001106,0,43114
20001107,0,152852
20001108,0,121116
20001109,0,97445
20001110,0,125587
20001111,0,105988
20001112,0,77202
20001113,0,62477
20001114,0,150017
20001115,1,110196
20001116,0,93780
20001117,0,103322
20001118,0,101380
20001119,1,68568
20001120,0,36513
20001121,0,103155
20001122,0,101632
20001123,0,80339
20001124,0,112369
20001125,0,87484
20001126,3,73547
20001127,0,40140
20001128,0,114421
20001129,0,101632
20001130,0,97912
20001201,0,122715
20001202,0,102302
20001203,2,69113
20001204,0,27031
20001205,0,108606
20001206,2,101271
20001207,0,85073
20001208,0,115732
20001209,0,101784
20001210,1,71987
20001211,0,22819
20001212,0,109688
20001213,0,106137
20001214,1,86915
20001215,0,125930
20001216,0,106899
20001217,9,69428
20001218,0,42444
20001219,0,107751
20001220,0,97552
20001221,0,97233
20001222,0,114422
20001223,3,104391
20001224,0,60326
20001225,0,20530
20001226,1,63960
20001227,2,61540
20001228,0,78387
20001229,0,128978
20001230,0,84286
20001231,0,82909
20010101,0,13881
20010102,0,60576
20010103,0,84136
20010104,0,96304
20010105,0,121664
20010106,0,92253
20010107,2,69457
20010108,0,72555
20010109,0,136391
20010110,0,113315
20010111,0,114087
20010112,0,134387
20010113,1,116547
20010114,3,72022
20010115,0,98164
20010116,0,153334
20010117,3,154269
20010118,2,146785
20010119,1,142081
20010120,0,61974
20010121,0,117051
20010122,4,105137
20010123,4,165117
20010124,0,151613
20010125,0,146988
20010126,0,178208
20010127,0,212893
20010128,1,74563
20010129,0,109901
20010130,5,177811
20010131,4,237741
20010201,0,286254
20010202,0,162892
20010203,0,156225
20010204,1,88899
20010205,0,123535
20010206,0,266010
20010207,0,170850
20010208,0,184867
20010209,0,179295
20010210,1,153848
20010211,1,83488
20010212,0,111818
20010213,0,187956
20010214,0,156478
20010215,0,175482
20010216,0,170225
20010217,0,154570
20010218,0,79063
20010219,0,114323
20010220,0,187451
20010221,0,172510
20010222,0,189489
20010223,0,157639
20010224,0,154030
20010225,0,74778
20010226,0,111162
20010227,0,189627
20010228,0,181162
20010301,0,188380
20010302,0,203485
20010303,0,226417
20010304,0,84739
20010305,1,142000
20010306,1,209429
20010307,0,199309
20010308,0,232643
20010309,0,211692
20010310,0,174019
20010311,0,101845
20010312,0,145060
20010313,0,418655
20010314,0,293166
20010315,0,211664
20010316,1,214304
20010317,2,167601
20010318,2,97483
20010319,0,122969
20010320,0,318475
20010321,0,246517
20010322,0,179927
20010323,0,166797
20010324,0,183789
20010325,0,93251
20010326,0,105405
20010327,0,183478
20010328,0,167976
20010329,0,168648
20010330,0,169963
20010331,0,162538
20010401,0,148178
20010402,0,97327
20010403,0,185995
20010404,0,189018
20010405,0,202839
20010406,0,189032
20010407,1,168985
20010408,1,88326
20010409,0,105882
20010410,0,184220
20010411,0,181440
20010412,0,190070
20010413,0,175919
20010414,0,137677
20010415,0,108568
20010416,0,72321
20010417,0,161529
20010418,0,189720
20010419,0,180038
20010420,0,179783
20010421,0,164741
20010422,0,83022
20010423,0,120284
20010424,0,190524
20010425,0,167481
20010426,0,194391
20010427,0,193844
20010428,0,165821
20010429,0,89258
20010430,0,85722
20010501,0,4182
20010502,0,173327
20010503,1,208554
20010504,1,215073
20010505,3,180359
20010506,3,104374
20010507,1,141481
20010508,1,163972
20010509,0,180641
20010510,1,211885
20010511,5,181253
20010512,5,174250
20010513,3,91398
20010514,2,125088
20010515,0,183831
20010516,0,169277
20010517,0,203809
20010518,0,199080
20010519,0,204441
20010520,0,94397
20010521,0,103972
20010522,0,179454
20010523,0,198079
20010524,0,185142
20010525,0,188469
20010526,0,175279
20010527,0,94238
20010528,0,128867
20010529,0,186530
20010530,0,182300
20010531,0,190538
20010601,5,180282
20010602,5,163402
20010603,0,90278
20010604,0,62172
20010605,0,151347
20010606,0,206339
20010607,0,220566
20010608,0,200015
20010609,3,162824
20010610,2,87064
20010611,1,120089
20010612,4,208107
20010613,3,142259
20010614,2,146505
20010615,1,209063
20010616,2,171464
20010617,2,85988
20010618,0,138257
20010619,0,196056
20010620,0,190866
20010621,0,200637
20010622,1,184339
20010623,0,175204
20010624,0,94572
20010625,0,116589
20010626,0,179197
20010627,0,200069
20010628,0,215873
20010629,0,205915
20010630,4,158567
20010701,4,82251
20010702,0,117712
20010703,0,166810
20010704,0,182591
20010705,0,209945
20010706,0,157962
20010707,4,163954
20010708,4,96962
20010709,0,98246
20010710,0,237605
20010711,0,158123
20010712,0,161245
20010713,0,167817
20010714,0,153598
20010715,0,66011
20010716,0,97768
20010717,0,154249
20010718,0,146251
20010719,0,147871
20010720,0,162985
20010721,3,122422
20010722,2,66024
20010723,0,77659
20010724,0,136913
20010725,0,134044
20010726,5,144937
20010727,4,144177
20010728,0,114687
20010729,0,54854
20010730,0,71197
20010731,0,90663
20010801,0,137964
20010802,0,126057
20010803,0,134159
20010804,2,123508
20010805,2,58850
20010806,0,67191
20010807,0,124828
20010808,0,119869
20010809,0,129736
20010810,0,147009
20010811,0,121436
20010812,0,57853
20010813,1,70205
20010814,1,113466
20010815,0,109588
20010816,0,124956
20010817,0,128595
20010818,0,121988
20010819,0,61110
20010820,0,70044
20010821,0,116434
20010822,0,117996
20010823,0,142445
20010824,0,154321
20010825,0,127086
20010826,0,63306
20010827,1,78847
20010828,1,126742
20010829,1,152670
20010830,0,161770
20010831,0,164906
20010901,0,155865
20010902,0,78337
20010903,0,119508
20010904,0,191708
20010905,0,181917
20010906,0,177768
20010907,0,212211
20010908,0,151391
20010909,0,81104
20010910,0,126823
20010911,0,193434
20010912,0,183727
20010913,0,216714
20010914,2,226746
20010915,0,180813
20010916,2,97242
20010917,0,147202
20010918,4,211056
20010919,3,237261
20010920,0,213219
20010921,1,203969
20010922,0,171992
20010923,1,90106
20010924,0,143594
20010925,0,221017
20010926,0,224229
20010927,1,217414
20010928,0,203346
20010929,0,168506
20010930,0,101333
20011001,0,123569
20011002,0,198572
20011003,0,192413
20011004,0,215062
20011005,0,247227
20011006,0,195520
20011007,0,119901
20011008,0,152233
20011009,0,210927
20011010,0,215365
20011011,0,197902
20011012,0,198713
20011013,2,166874
20011014,2,83719
20011015,0,114872
20011016,0,185367
20011017,0,201170
20011018,0,202048
20011019,3,202218
20011020,1,164405
20011021,2,93763
20011022,0,132625
20011023,0,189496
20011024,0,187742
20011025,0,198681
20011026,2,197168
20011027,0,162314
20011028,2,98513
20011029,0,105770
20011030,0,176350
20011031,0,148926
20011101,0,133553
20011102,0,132411
20011103,0,120995
20011104,3,87755
20011105,0,85743
20011106,0,162492
20011107,0,137234
20011108,1,169168
20011109,1,164952
20011110,0,77418
20011111,2,98225
20011112,0,84891
20011113,0,161135
20011114,0,157567
20011115,0,186425
20011116,0,162329
20011117,0,139331
20011118,0,80521
20011119,0,85445
20011120,0,183876
20011121,0,161894
20011122,0,218475
20011123,0,202870
20011124,0,130715
20011125,1,92257
20011126,0,86627
20011127,0,184566
20011128,0,177711
20011129,0,158032
20011130,0,168356
20011201,0,141610
20011202,2,83288
20011203,1,91004
20011204,3,166499
20011205,1,143441
20011206,0,173739
20011207,0,162541
20011208,0,134202
20011209,0,89137
20011210,1,85632
20011211,1,161790
20011212,1,146823
20011213,0,246057
20011214,0,153785
20011215,0,147999
20011216,2,99763
20011217,0,84269
20011218,0,155635
20011219,0,135303
20011220,0,141412
20011221,0,153270
20011222,0,114759
20011223,2,68310
20011224,0,43346
20011225,0,80801
20011226,0,82510
20011227,0,98050
20011228,0,103077
20011229,0,126790
20011230,0,55454
20011231,0,36734
20020101,0,123499
20020102,0,36224
20020103,0,112831
20020104,0,103009
20020105,0,81357
20020106,0,59717
20020107,0,77517
20020108,0,145366
20020109,0,131284
20020110,0,154361
20020111,0,162315
