date,X_t,N_t
20200101,2,26668
20200102,3,66204
20200103,3,93099
20200104,0,49884
20200105,2,43700
20200106,5,77899
20200107,6,78563
20200108,1,82428
20200109,4,79455
20200110,6,100086
20200111,5,75768
20200112,4,38982
20200113,4,84791
20200114,5,87628
20200115,7,92833
20200116,0,91517
20200117,3,129488
20200118,2,68453
20200119,0,53568
20200120,5,80079
20200121,3,85301
20200122,8,104620
20200123,2,91935
20200124,12,111243
20200125,1,55023
20200126,0,44897
20200127,8,90434
20200128,8,85800
20200129,1,108459
20200130,4,96613
20200131,14,124767
20200201,2,72043
20200202,0,42183
20200203,5,94087
20200204,11,90583
20200205,2,95477
20200206,6,102401
20200207,3,130832
20200208,3,64272
20200209,1,36161
20200210,6,92799
20200211,1,85735
20200212,5,87679
20200213,7,93362
20200214,4,110756
20200215,4,68177
20200216,0,48704
20200217,2,77192
20200218,2,84210
20200219,6,94273
20200220,3,93264
20200221,2,105260
20200222,1,63396
20200223,0,49364
20200224,5,88558
20200225,4,95654
20200226,8,99257
20200227,7,95505
20200228,7,120094
20200229,3,72305
20200301,3,54642
20200302,9,100412
20200303,2,90734
20200304,3,108573
20200305,2,88745
20200306,6,116203
20200307,1,67148
20200308,0,37348
20200309,18,98036
20200310,8,99096
20200311,8,108070
20200312,10,106608
20200313,11,144335
20200314,3,84223
20200315,0,39984
20200316,7,98686
20200317,8,100856
20200318,5,102389
20200319,9,112929
20200320,17,126598
20200321,2,67376
20200322,6,47647
20200323,7,86841
20200324,7,106250
20200325,15,109284
20200326,4,87053
20200327,10,127301
20200328,3,54611
20200329,3,29980
20200330,12,95740
20200331,8,98680
20200401,2,105423
20200402,6,88773
20200403,8,131236
20200404,10,67440
20200405,9,49740
20200406,10,81127
20200407,6,96698
20200408,8,106491
20200409,3,74080
20200410,19,106019
20200411,6,52884
20200412,3,47670
20200413,4,54334
20200414,14,92364
20200415,7,89598
20200416,9,94513
20200417,7,105503
20200418,2,62868
20200419,4,40998
20200420,9,99162
20200421,19,90063
20200422,10,85877
20200423,11,84833
20200424,15,113147
20200425,7,56717
20200426,2,35565
20200427,10,92448
20200428,13,89886
20200429,7,96035
20200430,20,108619
20200501,4,56546
20200502,5,66677
20200503,6,43001
20200504,10,86868
20200505,9,96769
20200506,17,105026
20200507,4,79793
20200508,9,89113
20200509,3,61687
20200510,3,40765
20200511,7,80360
20200512,11,90608
20200513,8,86040
20200514,11,87828
20200515,19,122056
20200516,9,47024
20200517,3,45951
20200518,7,67624
20200519,6,92532
20200520,2,98979
20200521,4,56071
20200522,17,101605
20200523,4,57293
20200524,10,38932
20200525,4,72960
20200526,10,99481
20200527,4,89786
20200528,8,88857
20200529,7,112620
20200530,1,66944
20200531,3,38399
20200601,2,53653
20200602,7,112899
20200603,5,96662
20200604,10,97621
20200605,7,120449
20200606,2,64244
20200607,4,40824
20200608,2,74345
20200609,1,97566
20200610,8,95105
20200611,3,100289
20200612,5,119029
20200613,2,70689
20200614,1,44469
20200615,3,94611
20200616,3,100236
20200617,1,109017
20200618,5,93192
20200619,9,141971
20200620,2,69084
20200621,3,48052
20200622,2,97144
20200623,14,117776
20200624,3,89788
20200625,7,100917
20200626,13,124114
20200627,8,54497
20200628,1,42388
20200629,7,89314
20200630,5,101454
20200701,13,92682
20200702,4,91307
20200703,7,125618
20200704,1,63163
20200705,0,38302
20200706,11,100014
20200707,6,96281
20200708,6,91109
20200709,3,81774
20200710,17,116370
20200711,9,54725
20200712,5,36812
20200713,4,73812
20200714,2,44306
20200715,2,75402
20200716,7,87051
20200717,8,111006
20200718,4,52020
20200719,1,27811
20200720,1,66734
20200721,5,65125
20200722,1,89152
20200723,3,81747
20200724,3,98680
20200725,1,47394
20200726,0,33258
20200727,5,64495
20200728,2,74056
20200729,7,79946
20200730,10,83174
20200731,2,75368
20200801,2,56183
20200802,2,36161
20200803,2,63115
20200804,0,60027
20200805,2,61820
20200806,2,64540
20200807,2,96237
20200808,4,48286
20200809,0,31326
20200810,5,69031
20200811,4,66782
20200812,4,75282
20200813,1,69597
20200814,3,64494
20200815,3,30490
20200816,1,46284
20200817,6,63215
20200818,8,77930
20200819,4,78035
20200820,5,73503
20200821,11,82647
20200822,4,63658
20200823,1,31210
20200824,2,74187
20200825,4,72991
20200826,2,89442
20200827,2,82654
20200828,7,98722
20200829,0,62002
20200830,2,37585
20200831,7,90294
20200901,7,77770
20200902,7,101102
20200903,5,90194
20200904,4,128876
20200905,6,77492
20200906,3,49400
20200907,2,94255
20200908,2,89581
20200909,6,113113
20200910,5,91158
20200911,1,123733
20200912,5,61417
20200913,2,43939
20200914,4,95131
20200915,11,107665
20200916,7,113589
20200917,2,105077
20200918,7,112312
20200919,5,79357
20200920,1,51198
20200921,1,88960
20200922,1,94419
20200923,4,113508
20200924,0,116862
20200925,11,116744
20200926,2,87262
20200927,1,48312
20200928,4,90976
20200929,11,121978
20200930,2,114106
20201001,6,106542
20201002,15,132369
20201003,3,74783
20201004,3,47887
20201005,2,90274
20201006,12,117663
20201007,5,116063
20201008,5,103490
20201009,2,143809
20201010,3,69579
20201011,1,39409
20201012,8,89493
20201013,7,102720
20201014,8,103742
20201015,4,107842
20201016,3,134922
20201017,1,67668
20201018,3,57164
20201019,3,90162
20201020,6,87723
20201021,0,98542
20201022,10,102790
20201023,9,123698
20201024,6,67391
20201025,1,44255
20201026,8,101064
20201027,8,106174
20201028,8,95291
20201029,11,78858
20201030,8,116912
20201031,2,73236
20201101,0,53725
20201102,19,89223
20201103,3,93965
20201104,4,89759
20201105,3,101089
20201106,4,117086
20201107,1,67534
20201108,5,48859
20201109,6,108977
20201110,10,122878
20201111,2,67369
20201112,4,95135
20201113,6,130300
20201114,1,66838
20201115,1,44206
20201116,9,104574
20201117,9,109473
20201118,7,109011
20201119,3,109318
20201120,7,149114
20201121,3,65384
20201122,1,44392
20201123,4,101757
20201124,4,101112
20201125,4,100220
20201126,3,106533
20201127,6,122801
20201128,1,66513
20201129,3,43351
20201130,5,94748
20201201,2,91679
20201202,3,104061
20201203,2,106215
20201204,4,115845
20201205,3,76920
20201206,2,54508
20201207,2,90019
20201208,3,92301
20201209,2,110865
20201210,3,106407
20201211,12,137133
20201212,4,67079
20201213,1,49366
20201214,4,90844
20201215,5,92769
20201216,9,104986
20201217,3,116993
20201218,3,88186
20201219,4,59570
20201220,3,42443
20201221,5,92242
20201222,6,89441
20201223,8,84085
20201224,5,70233
20201225,0,38152
20201226,4,46380
20201227,1,29613
20201228,2,67194
20201229,13,61048
20201230,3,70535
20201231,6,80498
20210101,5,37745
20210102,4,54325
20210103,0,28483
20210104,1,75804
20210105,4,75306
20210106,4,90208
20210107,6,91422
20210108,7,109184
20210109,2,59742
20210110,1,41536
20210111,2,82096
20210112,9,83683
20210113,6,101521
20210114,6,99440
20210115,7,118807
20210116,2,77720
20210117,2,47657
20210118,3,87893
20210119,3,98818
20210120,4,117625
20210121,2,93962
20210122,7,127834
20210123,2,72990
20210124,1,46552
20210125,8,98848
20210126,13,95402
20210127,3,106901
20210128,6,105017
20210129,11,129771
20210130,1,63086
20210131,5,50447
20210201,5,86725
20210202,5,90906
20210203,6,101739
20210204,7,91128
20210205,4,141401
20210206,2,56646
20210207,1,39559
20210208,3,96789
20210209,4,99000
20210210,6,101876
20210211,10,106536
20210212,3,128996
20210213,2,58925
20210214,4,53789
20210215,5,83244
20210216,5,101640
20210217,2,99788
20210218,7,84058
20210219,3,123870
20210220,1,50288
20210221,0,41413
20210222,5,81624
20210223,2,93038
20210224,7,91163
20210225,9,96936
20210226,2,114839
20210227,6,56072
20210228,4,49756
20210301,3,87348
20210302,1,96427
20210303,5,96979
20210304,5,97619
20210305,3,121308
20210306,1,57562
20210307,2,49045
20210308,1,79723
20210309,6,94929
20210310,5,103210
20210311,4,125628
20210312,6,106769
20210313,8,61786
20210314,1,56209
20210315,9,102252
20210316,2,100775
20210317,6,107381
20210318,3,104039
20210319,10,125591
20210320,5,64639
20210321,1,59803
20210322,4,80319
20210323,2,104407
20210324,5,106792
20210325,8,103655
20210326,4,120487
20210327,0,66999
20210328,2,54530
20210329,4,89579
20210330,1,102446
20210331,0,103522
20210401,6,93376
20210402,12,114045
20210403,3,56628
20210404,0,44420
20210405,3,60865
20210406,7,104013
20210407,4,104029
20210408,4,110511
20210409,11,119376
20210410,1,59954
20210411,5,65051
20210412,2,86347
20210413,4,97268
20210414,4,100665
20210415,2,109113
20210416,4,113966
20210417,4,54380
20210418,1,48154
20210419,6,81376
20210420,10,85132
20210421,3,92479
20210422,5,96895
20210423,4,118089
20210424,3,56502
20210425,2,54525
20210426,5,96044
20210427,6,89965
20210428,5,97507
20210429,6,109515
20210430,1,113871
20210501,0,46679
20210502,3,51331
20210503,8,73257
20210504,5,103889
20210505,4,103129
20210506,7,106658
20210507,5,110919
20210508,1,46826
20210509,6,48686
20210510,3,91677
20210511,2,91247
20210512,5,100012
20210513,4,70316
20210514,3,123467
20210515,1,49756
20210516,1,49738
20210517,4,96690
20210518,5,99058
20210519,3,104294
20210520,4,103834
20210521,4,134014
20210522,0,60588
20210523,1,40416
20210524,3,65745
20210525,7,90550
20210526,6,115147
20210527,5,126191
20210528,1,110755
20210529,1,67906
20210530,3,50671
20210531,9,108966
20210601,5,99054
20210602,2,103196
20210603,6,114167
20210604,8,148444
20210605,4,67384
20210606,6,61089
20210607,2,98550
20210608,4,85143
20210609,0,97960
20210610,6,108331
20210611,3,116756
20210612,1,70939
20210613,1,68790
20210614,4,85584
20210615,5,99979
20210616,5,108317
20210617,6,97279
20210618,3,125090
20210619,3,65238
20210620,0,60654
20210621,2,84759
20210622,2,108235
20210623,4,109972
20210624,6,106320
20210625,4,135457
20210626,0,79059
20210627,0,63226
20210628,1,84229
20210629,3,106290
20210630,3,108599
20210701,5,118175
20210702,3,130678
20210703,4,72065
20210704,0,60528
20210705,3,82548
20210706,2,102773
20210707,3,108689
20210708,8,111299
20210709,11,117544
20210710,0,69381
20210711,3,51110
20210712,8,100180
20210713,2,76394
20210714,2,63372
20210715,5,75773
20210716,6,112509
20210717,1,49114
20210718,0,46257
20210719,0,71733
20210720,3,72146
20210721,1,85117
20210722,1,80812
20210723,4,91162
20210724,1,49408
20210725,0,37753
20210726,1,71456
20210727,2,87867
20210728,2,74980
20210729,3,77803
20210730,2,104990
20210731,0,59184
20210801,0,42086
20210802,1,57807
20210803,1,71675
20210804,3,84354
20210805,4,68861
20210806,3,93614
20210807,1,57487
20210808,0,32452
20210809,2,67349
20210810,3,69327
20210811,1,72804
20210812,2,62908
20210813,0,75451
20210814,0,54687
20210815,2,38570
20210816,4,57506
20210817,5,60939
20210818,0,65142
20210819,5,62668
20210820,2,87544
20210821,0,55505
20210822,0,39786
20210823,3,60519
20210824,0,74655
20210825,2,73284
20210826,3,77465
20210827,1,98687
20210828,2,71792
20210829,2,37331
20210830,5,70053
20210831,3,83913
20210901,2,86434
20210902,1,93217
20210903,7,119883
20210904,6,71805
20210905,3,68774
20210906,4,78762
20210907,6,95718
20210908,3,104423
20210909,5,91104
20210910,7,124877
20210911,2,67734
20210912,0,53192
20210913,5,78473
20210914,4,89542
20210915,5,85465
20210916,3,102553
20210917,9,125618
20210918,0,63654
20210919,6,55503
20210920,6,82092
20210921,3,93509
20210922,4,106407
20210923,8,102069
20210924,13,95487
20210925,3,71438
20210926,1,66869
20210927,2,75894
20210928,10,97264
20210929,3,114595
20210930,4,104310
20211001,9,109576
20211002,3,59997
20211003,4,79040
20211004,8,88928
20211005,7,114286
20211006,4,91333
20211007,1,104236
20211008,6,125467
20211009,0,54147
20211010,3,48774
20211011,3,76209
20211012,13,99741
20211013,8,94563
20211014,7,102749
20211015,2,111621
20211016,1,80740
20211017,1,56201
20211018,3,89935
20211019,5,101478
20211020,11,275924
20211021,6,95132
20211022,9,114249
20211023,3,50918
20211024,8,51085
20211025,11,94160
20211026,1,87184
20211027,3,101823
20211028,7,91729
20211029,7,88352
20211030,1,57437
20211031,3,53739
20211101,5,48770
20211102,4,79497
20211103,1,109914
20211104,4,96233
20211105,5,105507
20211106,4,70127
20211107,4,57020
20211108,6,87972
20211109,9,88531
20211110,2,84153
20211111,2,74739
20211112,6,100602
20211113,0,58062
20211114,0,54584
20211115,6,93539
20211116,3,98915
20211117,3,101407
20211118,10,109096
20211119,6,119562
20211120,1,71633
20211121,3,62104
20211122,2,88703
20211123,1,99955
20211124,4,106393
20211125,4,107661
20211126,4,121835
20211127,3,74755
20211128,0,52148
20211129,5,92107
20211130,2,104520
20211201,11,109057
20211202,7,105657
20211203,3,109279
20211204,0,69207
20211205,3,70324
20211206,4,79234
20211207,0,85639
20211208,7,110306
20211209,10,122307
20211210,22,138810
20211211,0,98039
20211212,2,63856
20211213,2,80920
20211214,6,90818
20211215,1,115249
20211216,1,112150
20211217,28,137684
20211218,0,73540
20211219,1,53264
20211220,9,87339
20211221,1,69854
20211222,3,102365
20211223,1,79532
20211224,1,58993
20211225,0,32640
20211226,1,48575
20211227,3,59770
20211228,5,72018
20211229,2,69561
20211230,3,68468
20211231,4,63024
20220101,2,81172
20220102,8,95110
20220103,3,89709
20220104,1,87733
20220105,7,89317
20220106,4,102723
20220107,1,106658
20220108,2,62052
20220109,0,57769
20220110,3,96000
20220111,2,95051
20220112,5,104574
20220113,0,99681
20220114,6,127047
20220115,0,76994
20220116,4,59711
20220117,6,87335
20220118,2,86961
20220119,2,106507
20220120,3,106188
20220121,8,116123
20220122,1,83757
20220123,3,55192
20220124,8,95651
20220125,7,110224
20220126,7,114426
20220127,7,131234
20220128,2,119234
20220129,4,73643
20220130,2,54946
20220131,9,88513
20220201,1,103186
20220202,5,118310
20220203,4,113006
20220204,2,109451
20220205,2,77042
20220206,3,63977
20220207,5,91714
20220208,10,104125
20220209,8,112529
20220210,4,106085
20220211,2,108990
20220212,5,84130
20220213,3,65063
20220214,2,99687
20220215,4,106003
20220216,3,121476
20220217,3,113334
20220218,16,204963
20220219,3,87169
20220220,2,86284
20220221,19,106868
20220222,13,397700
20220223,2,109723
20220224,2,99910
20220225,12,104641
20220226,1,85219
20220227,4,62855
20220228,1,91853
20220301,4,84088
20220302,2,116801
20220303,5,101643
20220304,7,121247
20220305,3,88274
20220306,2,61308
20220307,6,98984
20220308,4,111722
20220309,6,111501
20220310,8,121431
20220311,11,109158
20220312,7,93381
20220313,3,65265
20220314,4,104351
20220315,4,113355
20220316,3,108532
20220317,7,116817
20220318,6,124546
20220319,5,85876
20220320,4,68550
20220321,1,95096
20220322,11,101397
20220323,7,105924
20220324,12,112298
20220325,8,143310
20220326,1,74753
20220327,7,62880
20220328,6,99921
20220329,15,118504
20220330,8,103045
20220331,11,113886
20220401,9,138118
20220402,2,75699
20220403,1,67369
20220404,5,109426
20220405,5,116019
20220406,2,116147
20220407,8,116728
20220408,5,146296
20220409,2,72253
20220410,1,63400
20220411,3,97879
20220412,7,103682
20220413,8,111090
20220414,3,108466
20220415,8,111375
20220416,5,83182
20220417,0,62796
20220418,5,83445
20220419,4,100652
20220420,7,113649
20220421,6,111536
20220422,4,122431
20220423,4,56810
20220424,2,72919
20220425,0,78707
20220426,3,93780
20220427,6,114794
20220428,5,93980
20220429,4,94687
20220430,2,60060
20220501,0,44484
20220502,3,91210
20220503,6,88777
20220504,3,91296
20220505,2,89216
20220506,12,111962
20220507,3,81520
20220508,4,60719
20220509,6,83624
20220510,5,93265
20220511,7,118653
20220512,5,101180
20220513,9,111598
20220514,4,85225
20220515,2,64620
20220516,8,86590
20220517,4,99674
20220518,0,96924
20220519,1,103733
20220520,4,118465
20220521,2,95171
20220522,3,65809
20220523,6,96080
20220524,8,110578
20220525,1,96354
20220526,2,79434
20220527,2,96101
20220528,5,83352
20220529,0,59407
20220530,4,101866
20220531,7,94817
20220601,3,106616
20220602,4,105222
20220603,4,117198
20220604,0,68549
20220605,0,62745
20220606,1,68678
20220607,5,95515
20220608,5,108786
20220609,2,101268
20220610,0,124919
20220611,1,75379
20220612,2,64700
20220613,9,99110
20220614,6,97264
20220615,3,121986
20220616,3,108905
20220617,5,138414
20220618,0,93928
20220619,3,76156
20220620,2,95035
20220621,7,106234
20220622,4,108692
20220623,8,103739
20220624,5,122348
20220625,3,77634
20220626,3,54940
20220627,5,93988
20220628,7,98414
20220629,3,125281
20220630,8,106365
20220701,7,137973
20220702,2,77217
20220703,4,71073
20220704,3,102471
20220705,5,105500
20220706,3,102704
20220707,1,122127
20220708,6,119341
20220709,2,91102
20220710,2,68860
20220711,3,104203
20220712,3,118804
20220713,3,102626
20220714,4,92726
20220715,3,101598
20220716,0,69995
20220717,4,59785
20220718,4,83672
20220719,4,99091
20220720,7,93506
20220721,1,88713
20220722,4,88194
20220723,0,74043
20220724,0,54756
20220725,2,82541
20220726,2,93402
20220727,5,86195
20220728,3,88375
20220729,9,83082
20220730,8,56835
20220731,3,47102
20220801,4,258744
20220802,8,276896
20220803,8,310008
20220804,16,369716
20220805,20,314872
20220806,4,224944
20220807,4,198396
20220808,24,275120
20220809,0,284416
20220810,4,267360
20220811,8,287400
20220812,20,299464
20220813,8,249840
20220814,0,174536
20220815,16,202864
20220816,4,229116
20220817,4,291360
20220818,16,227952
20220819,12,286540
20220820,0,329768
20220821,0,110148
20220822,18,194706
20220823,8,204310
20220824,12,279166
20220825,6,116901
20220826,6,85218
20220827,0,69325
20220828,3,52578
20220829,9,76285
20220830,5,83194
20220831,3,101876
20220901,10,201660
20220902,12,208066
20220903,2,140278
20220904,8,131826
20220905,14,162568
20220906,22,177010
20220907,14,217354
20220908,12,254350
20220909,34,261430
20220910,2,143812
20220911,8,129408
20220912,6,182064
20220913,14,251458
20220914,10,200864
20220915,20,230844
20220916,12,233052
20220917,4,160098
20220918,2,132572
20220919,8,182862
20220920,12,182386
20220921,6,206634
20220922,18,228832
20220923,10,228502
20220924,12,157118
20220925,2,121202
20220926,12,216738
20220927,12,96389
20220928,4,108914
20220929,9,105425
20220930,10,106137
20221001,6,85586
20221002,6,67085
20221003,6,100756
20221004,4,107437
20221005,4,126977
20221006,5,106947
20221007,15,118571
20221008,4,75278
20221009,1,68774
20221010,8,86115
20221011,4,95566
20221012,7,121699
20221013,7,99644
20221014,4,116608
20221015,3,74299
20221016,0,63798
20221017,9,95576
20221018,9,103140
20221019,6,113028
20221020,2,120274
20221021,8,98990
20221022,7,77333
20221023,1,62998
20221024,6,91502
20221025,3,100159
20221026,5,106226
20221027,8,100016
20221028,7,105293
20221029,2,78058
20221030,3,55194
20221031,3,71574
20221101,1,46691
20221102,2,88126
20221103,2,93893
20221104,4,115940
20221105,1,75732
20221106,0,66223
20221107,1,93142
20221108,9,105485
20221109,4,112012
20221110,5,96518
20221111,5,96226
20221112,2,69904
20221113,4,62289
20221114,8,100857
20221115,6,100864
