date,X_t,N_t
20200101,19,26668
20200102,93,66204
20200103,80,93099
20200104,41,49884
20200105,34,43700
20200106,73,77899
20200107,85,78563
20200108,64,82428
20200109,45,79455
20200110,59,100086
20200111,75,75768
20200112,45,38982
20200113,76,84791
20200114,84,87628
20200115,95,92833
20200116,80,91517
20200117,86,129488
20200118,38,68453
20200119,32,53568
20200120,57,80079
20200121,122,85301
20200122,100,104620
20200123,61,91935
20200124,76,111243
20200125,20,55023
20200126,25,44897
20200127,54,90434
20200128,56,85800
20200129,83,108459
20200130,77,96613
20200131,51,124767
20200201,56,72043
20200202,27,42183
20200203,78,94087
20200204,47,90583
20200205,86,95477
20200206,82,102401
20200207,74,130832
20200208,37,64272
20200209,19,36161
20200210,65,92799
20200211,70,85735
20200212,67,87679
20200213,76,93362
20200214,69,110756
20200215,42,68177
20200216,17,48704
20200217,73,77192
20200218,58,84210
20200219,57,94273
20200220,76,93264
20200221,76,105260
20200222,31,63396
20200223,8,49364
20200224,59,88558
20200225,59,95654
20200226,91,99257
20200227,78,95505
20200228,60,120094
20200229,95,72305
20200301,48,54642
20200302,95,100412
20200303,89,90734
20200304,80,108573
20200305,87,88745
20200306,57,116203
20200307,51,67148
20200308,7,37348
20200309,56,98036
20200310,82,99096
20200311,60,108070
20200312,79,106608
20200313,140,144335
20200314,77,84223
20200315,63,39984
20200316,126,98686
20200317,83,100856
20200318,88,102389
20200319,95,112929
20200320,123,126598
20200321,49,67376
20200322,47,47647
20200323,104,86841
20200324,97,106250
20200325,107,109284
20200326,61,87053
20200327,128,127301
20200328,46,54611
20200329,24,29980
20200330,90,95740
20200331,68,98680
20200401,80,105423
20200402,75,88773
20200403,85,131236
20200404,49,67440
20200405,35,49740
20200406,68,81127
20200407,80,96698
20200408,65,106491
20200409,52,74080
20200410,75,106019
20200411,43,52884
20200412,28,47670
20200413,36,54334
20200414,69,92364
20200415,97,89598
20200416,92,94513
20200417,73,105503
20200418,63,62868
20200419,22,40998
20200420,108,99162
20200421,86,90063
20200422,109,85877
20200423,82,84833
20200424,80,113147
20200425,32,56717
20200426,55,35565
20200427,78,92448
20200428,107,89886
20200429,112,96035
20200430,107,108619
20200501,59,56546
20200502,83,66677
20200503,48,43001
20200504,100,86868
20200505,132,96769
20200506,98,105026
20200507,89,79793
20200508,62,89113
20200509,47,61687
20200510,35,40765
20200511,50,80360
20200512,80,90608
20200513,104,86040
20200514,73,87828
20200515,88,122056
20200516,41,47024
20200517,43,45951
20200518,36,67624
20200519,79,92532
20200520,84,98979
20200521,44,56071
20200522,67,101605
20200523,42,57293
20200524,32,38932
20200525,60,72960
20200526,85,99481
20200527,93,89786
20200528,74,88857
20200529,95,112620
20200530,31,66944
20200531,22,38399
20200601,30,53653
20200602,56,112899
20200603,60,96662
20200604,81,97621
20200605,95,120449
20200606,34,64244
20200607,20,40824
20200608,47,74345
20200609,88,97566
20200610,85,95105
20200611,90,100289
20200612,79,119029
20200613,36,70689
20200614,17,44469
20200615,72,94611
20200616,77,100236
20200617,61,109017
20200618,80,93192
20200619,70,141971
20200620,40,69084
20200621,19,48052
20200622,65,97144
20200623,104,117776
20200624,43,89788
20200625,50,100917
20200626,76,124114
20200627,31,54497
20200628,13,42388
20200629,52,89314
20200630,77,101454
20200701,50,92682
20200702,68,91307
20200703,110,125618
20200704,47,63163
20200705,23,38302
20200706,133,100014
20200707,111,96281
20200708,99,91109
20200709,87,81774
20200710,71,116370
20200711,52,54725
20200712,10,36812
20200713,65,73812
20200714,35,44306
20200715,93,75402
20200716,100,87051
20200717,55,111006
20200718,58,52020
20200719,13,27811
20200720,46,66734
20200721,64,65125
20200722,69,89152
20200723,50,81747
20200724,60,98680
20200725,34,47394
20200726,34,33258
20200727,67,64495
20200728,46,74056
20200729,79,79946
20200730,62,83174
20200731,55,75368
20200801,30,56183
20200802,8,36161
20200803,51,63115
20200804,38,60027
20200805,29,61820
20200806,53,64540
20200807,42,96237
20200808,14,48286
20200809,24,31326
20200810,44,69031
20200811,49,66782
20200812,57,75282
20200813,37,69597
20200814,48,64494
20200815,10,30490
20200816,39,46284
20200817,39,63215
20200818,53,77930
20200819,40,78035
20200820,31,73503
20200821,38,82647
20200822,26,63658
20200823,11,31210
20200824,50,74187
20200825,66,72991
20200826,36,89442
20200827,43,82654
20200828,59,98722
20200829,43,62002
20200830,30,37585
20200831,59,90294
20200901,77,77770
20200902,92,101102
20200903,103,90194
20200904,51,128876
20200905,44,77492
20200906,18,49400
20200907,49,94255
20200908,66,89581
20200909,77,113113
20200910,49,91158
20200911,94,123733
20200912,53,61417
20200913,25,43939
20200914,76,95131
20200915,50,107665
20200916,97,113589
20200917,80,105077
20200918,77,112312
20200919,43,79357
20200920,17,51198
20200921,57,88960
20200922,46,94419
20200923,58,113508
20200924,117,116862
20200925,109,116744
20200926,62,87262
20200927,32,48312
20200928,77,90976
20200929,91,121978
20200930,71,114106
20201001,82,106542
20201002,75,132369
20201003,33,74783
20201004,26,47887
20201005,57,90274
20201006,107,117663
20201007,67,116063
20201008,70,103490
20201009,123,143809
20201010,31,69579
20201011,5,39409
20201012,56,89493
20201013,98,102720
20201014,68,103742
20201015,80,107842
20201016,124,134922
20201017,52,67668
20201018,32,57164
20201019,48,90162
20201020,65,87723
20201021,56,98542
20201022,68,102790
20201023,86,123698
20201024,64,67391
20201025,17,44255
20201026,48,101064
20201027,81,106174
20201028,71,95291
20201029,82,78858
20201030,91,116912
20201031,40,73236
20201101,37,53725
20201102,68,89223
20201103,87,93965
20201104,63,89759
20201105,62,101089
20201106,87,117086
20201107,38,67534
20201108,34,48859
20201109,76,108977
20201110,89,122878
20201111,49,67369
20201112,93,95135
20201113,114,130300
20201114,56,66838
20201115,18,44206
20201116,80,104574
20201117,80,109473
20201118,78,109011
20201119,101,109318
20201120,87,149114
20201121,46,65384
20201122,31,44392
20201123,68,101757
20201124,100,101112
20201125,91,100220
20201126,63,106533
20201127,86,122801
20201128,38,66513
20201129,22,43351
20201130,76,94748
20201201,98,91679
20201202,118,104061
20201203,117,106215
20201204,108,115845
20201205,52,76920
20201206,33,54508
20201207,93,90019
20201208,75,92301
20201209,58,110865
20201210,69,106407
20201211,68,137133
20201212,32,67079
20201213,25,49366
20201214,64,90844
20201215,83,92769
20201216,65,104986
20201217,105,116993
20201218,45,88186
20201219,49,59570
20201220,21,42443
20201221,86,92242
20201222,66,89441
20201223,62,84085
20201224,62,70233
20201225,12,38152
20201226,20,46380
20201227,12,29613
20201228,34,67194
20201229,44,61048
20201230,64,70535
20201231,55,80498
20210101,29,37745
20210102,29,54325
20210103,24,28483
20210104,71,75804
20210105,67,75306
20210106,97,90208
20210107,64,91422
20210108,55,109184
20210109,62,59742
20210110,28,41536
20210111,76,82096
20210112,47,83683
20210113,86,101521
20210114,73,99440
20210115,63,118807
20210116,67,77720
20210117,26,47657
20210118,81,87893
20210119,69,98818
20210120,88,117625
20210121,63,93962
20210122,77,127834
20210123,38,72990
20210124,32,46552
20210125,77,98848
20210126,90,95402
20210127,128,106901
20210128,83,105017
20210129,101,129771
20210130,52,63086
20210131,19,50447
20210201,57,86725
20210202,77,90906
20210203,49,101739
20210204,70,91128
20210205,67,141401
20210206,42,56646
20210207,18,39559
20210208,65,96789
