date,X_t,N_t
20200101,11,26668
20200102,26,66204
20200103,54,93099
20200104,22,49884
20200105,21,43700
20200106,35,77899
20200107,26,78563
20200108,35,82428
20200109,20,79455
20200110,42,100086
20200111,15,75768
20200112,6,38982
20200113,30,84791
20200114,12,87628
20200115,33,92833
20200116,26,91517
20200117,71,129488
20200118,15,68453
20200119,15,53568
20200120,19,80079
20200121,35,85301
20200122,42,104620
20200123,23,91935
20200124,47,111243
20200125,18,55023
20200126,9,44897
20200127,25,90434
20200128,28,85800
20200129,31,108459
20200130,37,96613
20200131,32,124767
20200201,10,72043
20200202,11,42183
20200203,31,94087
20200204,11,90583
20200205,22,95477
20200206,20,102401
20200207,42,130832
20200208,18,64272
20200209,12,36161
20200210,27,92799
20200211,28,85735
20200212,16,87679
20200213,44,93362
20200214,48,110756
20200215,17,68177
20200216,13,48704
20200217,13,77192
20200218,29,84210
20200219,23,94273
20200220,17,93264
20200221,23,105260
20200222,18,63396
20200223,16,49364
20200224,20,88558
20200225,22,95654
20200226,25,99257
20200227,22,95505
20200228,50,120094
20200229,16,72305
20200301,5,54642
20200302,33,100412
20200303,25,90734
20200304,36,108573
20200305,28,88745
20200306,31,116203
20200307,16,67148
20200308,6,37348
20200309,40,98036
20200310,26,99096
20200311,19,108070
20200312,17,106608
20200313,34,144335
20200314,19,84223
20200315,5,39984
20200316,34,98686
20200317,36,100856
20200318,33,102389
20200319,30,112929
20200320,68,126598
20200321,29,67376
20200322,22,47647
20200323,16,86841
20200324,59,106250
20200325,59,109284
20200326,52,87053
20200327,54,127301
20200328,7,54611
20200329,14,29980
20200330,20,95740
20200331,30,98680
20200401,23,105423
20200402,22,88773
20200403,33,131236
20200404,24,67440
20200405,36,49740
20200406,15,81127
20200407,24,96698
20200408,43,106491
20200409,20,74080
20200410,40,106019
20200411,14,52884
20200412,11,47670
20200413,9,54334
20200414,33,92364
20200415,18,89598
20200416,20,94513
20200417,32,105503
20200418,17,62868
20200419,16,40998
20200420,12,99162
20200421,18,90063
20200422,35,85877
20200423,20,84833
20200424,39,113147
20200425,9,56717
20200426,11,35565
20200427,24,92448
20200428,21,89886
20200429,27,96035
20200430,22,108619
20200501,10,56546
20200502,19,66677
20200503,11,43001
20200504,22,86868
20200505,25,96769
20200506,28,105026
20200507,37,79793
20200508,70,89113
20200509,15,61687
20200510,8,40765
20200511,17,80360
20200512,21,90608
20200513,17,86040
20200514,18,87828
20200515,29,122056
20200516,3,47024
20200517,15,45951
20200518,22,67624
20200519,36,92532
20200520,23,98979
20200521,18,56071
20200522,19,101605
20200523,2,57293
20200524,22,38932
20200525,26,72960
20200526,23,99481
20200527,14,89786
20200528,22,88857
20200529,25,112620
20200530,18,66944
20200531,5,38399
20200601,8,53653
20200602,12,112899
20200603,25,96662
20200604,25,97621
20200605,33,120449
20200606,33,64244
20200607,11,40824
20200608,26,74345
20200609,18,97566
20200610,20,95105
20200611,36,100289
20200612,37,119029
20200613,22,70689
20200614,11,44469
20200615,20,94611
20200616,40,100236
20200617,43,109017
20200618,48,93192
20200619,39,141971
20200620,24,69084
20200621,17,48052
20200622,15,97144
20200623,25,117776
20200624,32,89788
20200625,14,100917
20200626,39,124114
20200627,18,54497
20200628,20,42388
20200629,23,89314
20200630,42,101454
20200701,23,92682
20200702,29,91307
20200703,30,125618
20200704,7,63163
20200705,14,38302
20200706,19,100014
20200707,31,96281
20200708,16,91109
20200709,14,81774
20200710,64,116370
20200711,18,54725
20200712,5,36812
20200713,16,73812
20200714,19,44306
20200715,18,75402
20200716,29,87051
20200717,33,111006
20200718,11,52020
20200719,9,27811
20200720,16,66734
20200721,21,65125
20200722,25,89152
20200723,25,81747
20200724,46,98680
20200725,13,47394
20200726,4,33258
20200727,6,64495
20200728,22,74056
20200729,27,79946
20200730,33,83174
20200731,26,75368
20200801,16,56183
20200802,5,36161
20200803,18,63115
20200804,7,60027
20200805,20,61820
20200806,20,64540
20200807,40,96237
20200808,19,48286
20200809,3,31326
20200810,21,69031
20200811,20,66782
20200812,19,75282
20200813,22,69597
20200814,15,64494
20200815,9,30490
20200816,9,46284
20200817,24,63215
20200818,45,77930
20200819,34,78035
20200820,19,73503
20200821,36,82647
20200822,6,63658
20200823,23,31210
20200824,27,74187
20200825,40,72991
20200826,45,89442
20200827,51,82654
20200828,43,98722
20200829,26,62002
20200830,8,37585
20200831,25,90294
20200901,23,77770
20200902,31,101102
20200903,19,90194
20200904,41,128876
20200905,29,77492
20200906,23,49400
20200907,16,94255
20200908,15,89581
20200909,26,113113
20200910,34,91158
20200911,30,123733
20200912,10,61417
20200913,13,43939
20200914,27,95131
20200915,42,107665
20200916,15,113589
20200917,29,105077
20200918,41,112312
20200919,36,79357
20200920,12,51198
20200921,25,88960
20200922,18,94419
20200923,19,113508
20200924,29,116862
20200925,51,116744
20200926,15,87262
20200927,13,48312
20200928,27,90976
20200929,27,121978
20200930,29,114106
20201001,36,106542
20201002,34,132369
20201003,17,74783
20201004,11,47887
20201005,16,90274
20201006,39,117663
20201007,49,116063
20201008,21,103490
20201009,41,143809
20201010,33,69579
20201011,14,39409
20201012,29,89493
20201013,21,102720
20201014,18,103742
20201015,46,107842
20201016,32,134922
20201017,21,67668
20201018,12,57164
20201019,46,90162
20201020,19,87723
20201021,24,98542
20201022,33,102790
20201023,62,123698
20201024,22,67391
20201025,3,44255
20201026,31,101064
20201027,45,106174
20201028,41,95291
20201029,24,78858
20201030,59,116912
20201031,19,73236
20201101,17,53725
20201102,37,89223
20201103,35,93965
20201104,34,89759
20201105,81,101089
20201106,47,117086
20201107,16,67534
20201108,14,48859
20201109,46,108977
20201110,65,122878
20201111,59,67369
20201112,44,95135
20201113,50,130300
20201114,12,66838
20201115,13,44206
20201116,29,104574
20201117,22,109473
20201118,43,109011
20201119,25,109318
20201120,84,149114
20201121,9,65384
20201122,16,44392
20201123,24,101757
20201124,18,101112
20201125,38,100220
20201126,32,106533
20201127,23,122801
20201128,18,66513
20201129,10,43351
20201130,23,94748
20201201,23,91679
20201202,34,104061
20201203,44,106215
20201204,27,115845
20201205,27,76920
20201206,16,54508
20201207,17,90019
20201208,25,92301
20201209,26,110865
20201210,45,106407
20201211,52,137133
20201212,21,67079
20201213,19,49366
20201214,11,90844
20201215,17,92769
20201216,29,104986
20201217,28,116993
20201218,21,88186
20201219,28,59570
20201220,11,42443
20201221,17,92242
20201222,40,89441
20201223,15,84085
20201224,21,70233
20201225,19,38152
20201226,28,46380
20201227,8,29613
20201228,33,67194
20201229,31,61048
20201230,12,70535
20201231,18,80498
20210101,6,37745
20210102,16,54325
20210103,37,28483
20210104,41,75804
20210105,12,75306
20210106,24,90208
20210107,16,91422
20210108,38,109184
20210109,19,59742
20210110,5,41536
20210111,11,82096
20210112,15,83683
20210113,48,101521
20210114,18,99440
20210115,44,118807
20210116,14,77720
20210117,25,47657
20210118,15,87893
20210119,39,98818
20210120,73,117625
20210121,45,93962
20210122,114,127834
20210123,31,72990
20210124,15,46552
20210125,40,98848
20210126,24,95402
20210127,25,106901
20210128,16,105017
20210129,33,129771
20210130,11,63086
20210131,6,50447
20210201,17,86725
20210202,15,90906
20210203,27,101739
20210204,47,91128
20210205,83,141401
20210206,30,56646
20210207,17,39559
20210208,16,96789
20210209,30,99000
20210210,15,101876
20210211,13,106536
20210212,30,128996
20210213,16,58925
