date,X_t,N_t
20200101,0,26668
20200102,0,66204
20200103,0,93099
20200104,0,49884
20200105,0,43700
20200106,0,77899
20200107,1,78563
20200108,0,82428
20200109,1,79455
20200110,1,100086
20200111,1,75768
20200112,0,38982
20200113,1,84791
20200114,0,87628
20200115,0,92833
20200116,2,91517
20200117,1,129488
20200118,0,68453
20200119,0,53568
20200120,0,80079
20200121,1,85301
20200122,0,104620
20200123,0,91935
20200124,4,111243
20200125,0,55023
20200126,0,44897
20200127,0,90434
20200128,0,85800
20200129,0,108459
20200130,0,96613
20200131,3,124767
20200201,0,72043
20200202,0,42183
20200203,0,94087
20200204,0,90583
20200205,0,95477
20200206,0,102401
20200207,1,130832
20200208,0,64272
20200209,0,36161
20200210,0,92799
20200211,1,85735
20200212,4,87679
20200213,1,93362
20200214,0,110756
20200215,0,68177
20200216,0,48704
20200217,1,77192
20200218,0,84210
20200219,2,94273
20200220,0,93264
20200221,1,105260
20200222,0,63396
20200223,0,49364
20200224,0,88558
20200225,0,95654
20200226,0,99257
20200227,1,95505
20200228,0,120094
20200229,0,72305
20200301,0,54642
20200302,0,100412
20200303,1,90734
20200304,0,108573
20200305,0,88745
20200306,0,116203
20200307,0,67148
20200308,0,37348
20200309,0,98036
20200310,3,99096
20200311,0,108070
20200312,1,106608
20200313,1,144335
20200314,0,84223
20200315,0,39984
20200316,0,98686
20200317,0,100856
20200318,0,102389
20200319,1,112929
20200320,0,126598
20200321,0,67376
20200322,0,47647
20200323,0,86841
20200324,0,106250
20200325,0,109284
20200326,0,87053
20200327,0,127301
20200328,0,54611
20200329,0,29980
20200330,1,95740
20200331,0,98680
20200401,0,105423
20200402,3,88773
20200403,0,131236
20200404,0,67440
20200405,0,49740
20200406,0,81127
20200407,0,96698
20200408,1,106491
20200409,0,74080
20200410,1,106019
20200411,0,52884
20200412,1,47670
20200413,0,54334
20200414,0,92364
20200415,0,89598
20200416,0,94513
20200417,0,105503
20200418,1,62868
20200419,0,40998
20200420,0,99162
20200421,0,90063
20200422,2,85877
20200423,0,84833
20200424,0,113147
20200425,1,56717
20200426,0,35565
20200427,0,92448
20200428,2,89886
20200429,0,96035
20200430,3,108619
20200501,0,56546
20200502,1,66677
20200503,0,43001
20200504,1,86868
20200505,1,96769
20200506,0,105026
20200507,2,79793
20200508,0,89113
20200509,2,61687
20200510,0,40765
20200511,0,80360
20200512,4,90608
20200513,2,86040
20200514,0,87828
20200515,1,122056
20200516,0,47024
20200517,0,45951
20200518,0,67624
20200519,0,92532
20200520,0,98979
20200521,0,56071
20200522,3,101605
20200523,0,57293
20200524,1,38932
20200525,0,72960
20200526,0,99481
20200527,0,89786
20200528,0,88857
20200529,0,112620
20200530,0,66944
20200531,0,38399
20200601,1,53653
20200602,0,112899
20200603,0,96662
20200604,0,97621
20200605,0,120449
20200606,1,64244
20200607,0,40824
20200608,1,74345
20200609,0,97566
20200610,1,95105
20200611,0,100289
20200612,4,119029
20200613,0,70689
20200614,0,44469
20200615,0,94611
20200616,2,100236
20200617,0,109017
20200618,0,93192
20200619,0,141971
20200620,0,69084
20200621,0,48052
20200622,2,97144
20200623,0,117776
20200624,0,89788
20200625,2,100917
20200626,0,124114
20200627,0,54497
20200628,0,42388
20200629,0,89314
20200630,0,101454
20200701,0,92682
20200702,0,91307
20200703,1,125618
20200704,0,63163
20200705,0,38302
20200706,2,100014
20200707,0,96281
20200708,0,91109
20200709,0,81774
20200710,0,116370
20200711,1,54725
20200712,0,36812
20200713,0,73812
20200714,0,44306
20200715,0,75402
20200716,1,87051
20200717,0,111006
20200718,0,52020
20200719,0,27811
20200720,0,66734
20200721,0,65125
20200722,0,89152
20200723,0,81747
20200724,2,98680
20200725,0,47394
20200726,0,33258
20200727,0,64495
20200728,0,74056
20200729,0,79946
20200730,0,83174
20200731,2,75368
20200801,0,56183
20200802,0,36161
20200803,0,63115
20200804,4,60027
20200805,1,61820
20200806,1,64540
20200807,0,96237
20200808,0,48286
20200809,0,31326
20200810,3,69031
20200811,1,66782
20200812,0,75282
20200813,0,69597
20200814,0,64494
20200815,0,30490
20200816,0,46284
20200817,1,63215
20200818,0,77930
20200819,0,78035
20200820,0,73503
20200821,0,82647
20200822,0,63658
20200823,0,31210
20200824,0,74187
20200825,0,72991
20200826,0,89442
20200827,0,82654
20200828,0,98722
20200829,0,62002
20200830,0,37585
20200831,0,90294
20200901,0,77770
20200902,3,101102
20200903,2,90194
20200904,1,128876
20200905,0,77492
20200906,0,49400
20200907,0,94255
20200908,0,89581
20200909,1,113113
20200910,2,91158
20200911,2,123733
20200912,3,61417
20200913,1,43939
20200914,0,95131
20200915,0,107665
20200916,2,113589
20200917,0,105077
20200918,0,112312
20200919,0,79357
20200920,0,51198
20200921,1,88960
20200922,1,94419
20200923,0,113508
20200924,0,116862
20200925,0,116744
20200926,1,87262
20200927,0,48312
20200928,1,90976
20200929,0,121978
20200930,0,114106
20201001,0,106542
20201002,0,132369
20201003,0,74783
20201004,0,47887
20201005,0,90274
20201006,0,117663
20201007,0,116063
20201008,0,103490
20201009,0,143809
20201010,0,69579
20201011,0,39409
20201012,0,89493
20201013,0,102720
20201014,0,103742
20201015,0,107842
20201016,0,134922
20201017,0,67668
20201018,0,57164
20201019,0,90162
20201020,0,87723
20201021,1,98542
20201022,0,102790
20201023,2,123698
20201024,0,67391
20201025,0,44255
20201026,0,101064
20201027,1,106174
20201028,0,95291
20201029,0,78858
20201030,0,116912
20201031,0,73236
20201101,0,53725
20201102,0,89223
20201103,0,93965
20201104,0,89759
20201105,0,101089
20201106,0,117086
20201107,0,67534
20201108,0,48859
20201109,0,108977
20201110,2,122878
20201111,0,67369
20201112,0,95135
20201113,0,130300
20201114,0,66838
20201115,0,44206
20201116,0,104574
20201117,0,109473
20201118,0,109011
20201119,0,109318
20201120,2,149114
20201121,0,65384
20201122,0,44392
20201123,3,101757
20201124,1,101112
20201125,2,100220
20201126,0,106533
20201127,0,122801
20201128,0,66513
20201129,0,43351
20201130,2,94748
20201201,0,91679
20201202,0,104061
20201203,0,106215
20201204,0,115845
20201205,0,76920
20201206,0,54508
20201207,1,90019
20201208,0,92301
20201209,2,110865
20201210,1,106407
20201211,1,137133
20201212,0,67079
20201213,0,49366
20201214,0,90844
20201215,3,92769
20201216,3,104986
20201217,0,116993
20201218,0,88186
20201219,0,59570
20201220,0,42443
20201221,1,92242
20201222,1,89441
20201223,0,84085
20201224,0,70233
20201225,0,38152
20201226,0,46380
20201227,0,29613
20201228,1,67194
20201229,1,61048
20201230,1,70535
20201231,0,80498
20210101,4,37745
20210102,0,54325
20210103,0,28483
20210104,0,75804
20210105,2,75306
20210106,0,90208
20210107,1,91422
20210108,1,109184
20210109,0,59742
20210110,0,41536
20210111,0,82096
20210112,1,83683
20210113,4,101521
20210114,0,99440
20210115,0,118807
20210116,0,77720
20210117,0,47657
20210118,0,87893
20210119,0,98818
20210120,0,117625
20210121,0,93962
20210122,2,127834
20210123,1,72990
20210124,1,46552
20210125,0,98848
20210126,1,95402
20210127,0,106901
20210128,1,105017
20210129,1,129771
20210130,0,63086
20210131,0,50447
20210201,1,86725
20210202,0,90906
20210203,0,101739
20210204,0,91128
20210205,1,141401
20210206,0,56646
20210207,0,39559
20210208,0,96789
20210209,0,99000
20210210,1,101876
20210211,0,106536
20210212,3,128996
20210213,0,58925
20210214,0,53789
20210215,0,83244
20210216,1,101640
20210217,0,99788
20210218,1,84058
20210219,0,123870
20210220,0,50288
20210221,0,41413
20210222,2,81624
20210223,0,93038
20210224,0,91163
20210225,1,96936
20210226,1,114839
20210227,0,56072
20210228,0,49756
20210301,1,87348
20210302,4,96427
20210303,1,96979
20210304,1,97619
20210305,0,121308
20210306,0,57562
20210307,0,49045
20210308,0,79723
20210309,0,94929
20210310,0,103210
20210311,1,125628
20210312,0,106769
20210313,0,61786
20210314,1,56209
20210315,2,102252
20210316,0,100775
20210317,0,107381
20210318,1,104039
20210319,0,125591
20210320,0,64639
20210321,1,59803
20210322,0,80319
20210323,0,104407
20210324,1,106792
20210325,0,103655
20210326,0,120487
20210327,2,66999
20210328,0,54530
20210329,0,89579
20210330,1,102446
20210331,1,103522
20210401,2,93376
20210402,3,114045
20210403,1,56628
20210404,0,44420
20210405,0,60865
20210406,0,104013
20210407,1,104029
20210408,1,110511
20210409,0,119376
20210410,0,59954
20210411,0,65051
20210412,1,86347
20210413,0,97268
20210414,0,100665
20210415,0,109113
20210416,2,113966
20210417,0,54380
20210418,0,48154
