date,X_t,N_t
20000101,0,103646
20000102,0,69602
20000103,0,9311
20000104,0,70338
20000105,0,54468
20000106,0,54229
20000107,0,94390
20000108,0,60924
20000109,0,60884
20000110,0,35024
20000111,0,87476
20000112,0,77916
20000113,0,76733
20000114,0,91303
20000115,0,67050
20000116,0,62466
20000117,0,30043
20000118,0,88217
20000119,0,88187
20000120,0,70445
20000121,0,93278
20000122,0,73323
20000123,0,58324
20000124,0,42965
20000125,0,91573
20000126,0,82231
20000127,0,76113
20000128,0,99469
20000129,0,65632
20000130,0,59526
20000131,0,22142
20000201,0,88599
20000202,0,81313
20000203,0,75636
20000204,0,101567
20000205,0,76306
20000206,0,67092
20000207,0,25789
20000208,0,91847
20000209,0,82537
20000210,0,84080
20000211,0,101676
20000212,0,65750
20000213,0,62214
20000214,0,53311
20000215,0,87643
20000216,0,83536
20000217,0,70622
20000218,0,85195
20000219,0,59019
20000220,0,58732
20000221,0,34702
20000222,0,82018
20000223,0,77171
20000224,0,72399
20000225,0,98362
20000226,0,93420
20000227,1,60155
20000228,1,45359
20000229,0,90265
20000301,1,83173
20000302,0,72049
20000303,0,93438
20000304,0,75183
20000305,0,65917
20000306,0,35611
20000307,0,88447
20000308,0,79567
20000309,0,73440
20000310,0,98108
20000311,0,72289
20000312,0,57003
20000313,0,46515
20000314,0,99081
20000315,0,85998
20000316,0,73280
20000317,0,96717
20000318,0,66006
20000319,0,63365
20000320,0,43181
20000321,0,91912
20000322,0,93846
20000323,0,80408
20000324,0,128650
20000325,0,100005
20000326,0,61713
20000327,0,31446
20000328,0,79744
20000329,0,84461
20000330,0,83914
20000331,0,98185
20000401,0,58445
20000402,0,53560
20000403,0,31586
20000404,0,92461
20000405,0,79410
20000406,0,68184
20000407,0,93657
20000408,0,71152
20000409,0,59497
20000410,0,42536
20000411,0,84538
20000412,0,79814
20000413,0,63737
20000414,0,88275
20000415,0,61708
20000416,2,63100
20000417,0,38681
20000418,0,87204
20000419,0,84571
20000420,0,70744
20000421,0,92689
20000422,0,65006
20000423,2,62173
20000424,0,38711
20000425,0,53733
20000426,0,104084
20000427,0,74861
20000428,0,101252
20000429,0,81811
20000430,0,2962
20000501,0,678
20000502,2,80793
20000503,0,110442
20000504,0,72201
20000505,0,101557
20000506,9,58621
20000507,1,63694
20000508,0,28675
20000509,0,59505
20000510,0,105349
20000511,0,94018
20000512,0,91176
20000513,0,67230
20000514,0,61174
20000515,0,43127
20000516,0,151544
20000517,0,91084
20000518,0,79818
20000519,0,146911
20000520,0,67284
20000521,0,80916
20000522,0,36559
20000523,0,123606
20000524,0,99972
20000525,0,71718
20000526,0,83173
20000527,0,76006
20000528,1,84263
20000529,0,45270
20000530,0,98422
20000531,1,90452
20000601,0,77675
20000602,0,104103
20000603,0,66703
20000604,0,58442
20000605,0,45532
20000606,0,101548
20000607,0,87342
20000608,0,84789
20000609,0,92027
20000610,0,80196
20000611,0,61398
20000612,0,38264
20000613,0,73804
20000614,0,104498
20000615,0,75550
20000616,0,112045
20000617,0,70127
20000618,0,60076
20000619,0,35082
20000620,0,87993
20000621,0,73863
20000622,0,69728
20000623,0,96854
20000624,0,74629
20000625,2,65689
20000626,0,34065
20000627,0,85251
20000628,0,85353
20000629,0,90545
20000630,0,114755
20000701,0,66047
20000702,0,75628
20000703,0,28401
20000704,0,89972
20000705,0,80178
20000706,0,85597
20000707,0,118311
20000708,0,62523
20000709,0,60870
20000710,0,20158
20000711,0,83797
20000712,0,62090
20000713,0,80380
20000714,0,85799
20000715,0,56301
20000716,0,62832
20000717,0,6630
20000718,0,58152
20000719,0,60672
20000720,0,56094
20000721,0,79742
20000722,0,62841
20000723,0,54283
20000724,0,13811
20000725,0,55966
20000726,0,51641
20000727,1,58679
20000728,0,68281
20000729,0,58412
20000730,0,50362
20000731,0,10851
20000801,0,50461
20000802,0,51491
20000803,0,53698
20000804,0,70047
20000805,0,48932
20000806,0,46976
20000807,0,12576
20000808,0,53415
20000809,0,51271
20000810,0,73474
20000811,0,69904
20000812,0,51091
20000813,0,46796
20000814,0,10257
20000815,0,56630
20000816,0,45108
20000817,0,58566
20000818,0,72490
20000819,0,49650
20000820,2,82595
20000821,0,8437
20000822,0,58170
20000823,0,61332
20000824,0,66959
20000825,0,88359
20000826,0,50552
20000827,0,46045
20000828,0,17289
20000829,0,73954
20000830,0,61005
20000831,0,62421
20000901,0,86272
20000902,0,59722
20000903,0,49947
20000904,0,32414
20000905,0,97574
20000906,0,87025
20000907,0,72631
20000908,0,82373
20000909,0,72085
20000910,0,61279
20000911,0,56247
20000912,0,93866
20000913,0,97359
20000914,0,85263
20000915,0,111148
20000916,0,121627
20000917,0,72411
20000918,0,43203
20000919,0,125441
20000920,0,124155
20000921,0,104931
20000922,0,113171
20000923,0,105098
20000924,0,94737
20000925,0,58578
20000926,0,133995
20000927,0,113757
20000928,0,114258
20000929,0,111754
20000930,0,115987
20001001,1,73230
20001002,0,51617
20001003,0,100121
20001004,0,74711
20001005,0,68095
20001006,0,92905
20001007,0,100729
20001008,0,88740
20001009,0,21545
20001010,0,94531
20001011,0,95752
20001012,0,65497
20001013,0,80797
20001014,0,74308
20001015,0,60498
20001016,0,23601
20001017,0,87554
20001018,0,89395
20001019,0,123770
20001020,0,155266
20001021,0,67421
20001022,0,60185
20001023,0,20779
20001024,0,105450
20001025,0,103145
20001026,0,75536
20001027,0,103066
20001028,0,75506
20001029,0,60319
20001030,0,29070
20001031,0,87305
20001101,0,76941
20001102,0,63556
20001103,0,109641
20001104,0,71474
20001105,0,62702
20001106,0,36727
20001107,0,131260
20001108,0,104043
20001109,0,83504
20001110,0,107867
20001111,0,90900
20001112,0,65942
20001113,0,53854
20001114,0,129442
20001115,0,95022
20001116,0,79818
20001117,0,88079
20001118,0,87002
20001119,2,58616
20001120,0,31152
20001121,0,88824
20001122,0,87246
20001123,0,69026
20001124,0,96078
20001125,0,74878
20001126,0,63031
20001127,0,34446
20001128,0,98286
20001129,0,85891
20001130,0,82786
20001201,0,104962
20001202,0,88175
20001203,0,59005
20001204,0,23187
20001205,0,92931
20001206,0,86950
20001207,0,73034
20001208,0,97850
20001209,0,87122
20001210,0,61331
20001211,0,19519
20001212,0,94063
20001213,0,91533
20001214,0,74968
20001215,0,107886
20001216,0,92049
20001217,0,59364
20001218,0,36976
20001219,1,92769
20001220,0,83808
20001221,0,83163
20001222,0,97380
20001223,0,88208
20001224,0,51514
20001225,0,17753
20001226,0,54652
20001227,0,52713
20001228,0,67097
20001229,0,111329
20001230,0,72192
20001231,0,71482
20010101,0,11945
20010102,0,52281
20010103,0,72461
20010104,0,82320
20010105,0,104142
20010106,0,79558
20010107,0,59581
20010108,0,63081
20010109,0,117814
20010110,0,97801
20010111,0,98487
20010112,0,115651
20010113,0,99950
20010114,1,61020
20010115,0,84657
20010116,0,132325
20010117,0,133207
20010118,0,126629
20010119,0,122301
20010120,0,53220
20010121,0,100215
20010122,1,89715
20010123,1,141225
20010124,0,129793
20010125,0,125757
20010126,0,152258
20010127,0,181380
20010128,0,63169
20010129,1,93109
20010130,2,152124
20010131,1,202973
20010201,0,244253
20010202,0,139201
20010203,0,132835
20010204,0,75625
20010205,0,105861
20010206,0,227965
20010207,0,145941
20010208,0,157766
20010209,0,153188
20010210,0,131522
20010211,0,71552
20010212,0,95885
20010213,0,161964
20010214,0,134327
20010215,0,149684
20010216,0,144891
20010217,0,131826
20010218,0,67782
20010219,1,97574
20010220,1,160535
20010221,0,147463
20010222,0,162010
20010223,0,134346
20010224,1,131532
20010225,1,63788
20010226,0,94379
20010227,0,162100
20010228,0,154300
20010301,1,158693
20010302,1,172624
20010303,0,191825
20010304,0,72429
20010305,0,119667
20010306,0,178692
20010307,0,170511
20010308,0,197024
20010309,0,178871
20010310,0,147557
20010311,0,86421
20010312,0,121988
20010313,0,236744
20010314,0,183782
20010315,0,178353
20010316,0,181822
20010317,0,141942
20010318,0,82938
20010319,0,103811
20010320,0,208656
20010321,0,182897
20010322,0,152626
20010323,0,141354
20010324,0,155543
20010325,2,79142
20010326,0,88663
20010327,0,156334
20010328,0,143316
20010329,0,142723
20010330,0,144600
20010331,0,138024
20010401,0,127312
20010402,0,82996
20010403,0,158953
20010404,0,161729
20010405,0,171761
20010406,1,160446
20010407,1,143239
20010408,0,75622
20010409,0,89692
20010410,0,157164
20010411,0,154613
20010412,0,161298
20010413,0,149746
20010414,0,116743
20010415,0,92753
20010416,0,61297
20010417,0,137169
20010418,0,161294
20010419,0,152884
20010420,0,152868
20010421,0,139691
20010422,0,71129
20010423,0,101453
20010424,0,162414
20010425,0,142833
20010426,0,165262
20010427,0,165316
20010428,0,140743
20010429,0,76072
20010430,0,72588
20010501,0,3591
20010502,0,147994
20010503,0,177158
20010504,0,183287
20010505,0,153195
20010506,0,89536
20010507,0,120149
20010508,0,139781
20010509,0,153480
20010510,0,179850
20010511,0,153999
20010512,0,148073
20010513,0,78196
20010514,0,106117
20010515,2,156756
20010516,1,143786
20010517,0,173998
20010518,0,169100
20010519,0,172874
20010520,0,80852
20010521,0,88286
20010522,0,152144
20010523,0,168509
20010524,0,157082
20010525,0,160360
20010526,1,148617
20010527,0,80071
20010528,0,109471
20010529,0,158136
20010530,0,154156
20010531,0,160709
20010601,0,152017
20010602,0,138218
20010603,0,76627
20010604,0,52471
20010605,0,128051
20010606,0,176087
20010607,0,186741
20010608,1,170150
20010609,1,137954
20010610,0,74481
20010611,0,100744
20010612,0,177220
20010613,0,122260
20010614,0,122772
20010615,0,178322
20010616,0,145390
20010617,0,73344
20010618,0,117647
20010619,0,165702
20010620,0,162945
20010621,0,170370
20010622,0,156927
20010623,0,148508
20010624,0,80951
20010625,0,97787
20010626,0,153013
20010627,0,170002
20010628,0,181878
20010629,0,174827
20010630,0,134366
20010701,0,70072
20010702,0,99783
20010703,0,141436
20010704,0,154259
20010705,0,176527
20010706,0,134074
20010707,0,138877
20010708,0,83035
20010709,0,82974
20010710,0,201307
20010711,0,133728
20010712,0,135753
20010713,0,141989
20010714,0,129218
20010715,0,55790
20010716,0,81810
20010717,0,129273
20010718,0,123504
20010719,0,124498
20010720,0,136741
20010721,0,102404
20010722,0,55858
20010723,0,65157
20010724,0,115998
20010725,0,113848
20010726,0,121703
20010727,0,121550
20010728,0,95948
20010729,0,46063
20010730,0,60320
20010731,0,76950
20010801,0,117997
20010802,0,107098
20010803,0,114334
20010804,0,104320
20010805,0,50224
20010806,0,56385
20010807,0,105768
20010808,1,101835
20010809,1,110118
20010810,0,125291
20010811,1,102644
20010812,1,49135
20010813,0,59178
20010814,0,96005
20010815,0,93249
20010816,0,106332
20010817,0,109125
20010818,0,102940
20010819,0,52251
20010820,0,59629
20010821,0,99135
20010822,0,100175
20010823,0,120078
20010824,0,129744
20010825,0,107102
20010826,0,53950
20010827,0,66521
20010828,0,108355
20010829,0,130547
20010830,0,137524
20010831,1,139078
20010901,1,131470
20010902,0,66982
20010903,0,101243
20010904,0,163192
20010905,0,155394
20010906,0,151462
20010907,0,179272
20010908,0,129381
20010909,0,69407
20010910,0,106910
20010911,0,165013
20010912,0,157493
20010913,0,185128
20010914,0,192389
20010915,1,154078
20010916,1,83412
20010917,0,124679
20010918,5,181136
20010919,4,201529
20010920,0,181689
20010921,1,173653
20010922,0,146639
20010923,1,77203
20010924,0,115421
20010925,0,182549
20010926,0,192060
20010927,0,185939
20010928,0,172856
20010929,0,144023
20010930,0,87022
20011001,0,105208
20011002,0,170339
20011003,0,165286
20011004,0,182824
20011005,0,209675
20011006,0,166762
20011007,0,102741
20011008,0,129967
20011009,0,180917
20011010,0,185181
20011011,0,169013
20011012,0,169902
20011013,0,142023
20011014,0,71367
20011015,0,97860
20011016,0,158617
20011017,0,171685
20011018,0,172250
20011019,0,171791
20011020,0,141062
20011021,0,80724
20011022,0,112810
20011023,0,161885
20011024,0,160540
20011025,0,169415
20011026,0,167259
20011027,0,138600
20011028,0,84642
20011029,0,90327
20011030,0,151717
20011031,0,127139
20011101,0,113707
20011102,0,113174
20011103,0,103679
20011104,1,75437
20011105,0,73165
20011106,0,139216
20011107,0,117261
20011108,0,143892
20011109,0,141147
20011110,0,66217
20011111,0,84412
20011112,0,72653
20011113,2,138427
20011114,1,134646
20011115,0,159260
20011116,0,138137
20011117,0,119199
20011118,0,68947
20011119,0,72700
20011120,0,157361
20011121,0,138325
20011122,0,186104
20011123,0,173233
20011124,0,111349
20011125,0,78686
20011126,0,73604
20011127,0,156480
20011128,0,150352
20011129,0,135310
20011130,0,143666
20011201,0,120889
20011202,0,71343
20011203,0,77786
20011204,0,142321
20011205,0,122588
20011206,0,147075
20011207,0,138190
20011208,0,114381
20011209,0,75809
20011210,0,73068
20011211,0,138221
20011212,0,125578
20011213,0,209567
20011214,0,130838
20011215,0,126300
20011216,0,85194
20011217,0,71568
20011218,0,133274
20011219,0,116108
20011220,0,120462
20011221,0,130934
20011222,1,98022
20011223,0,57698
20011224,0,36883
20011225,0,69049
20011226,0,70778
20011227,0,83388
20011228,0,87618
20011229,0,108350
20011230,0,47195
20011231,0,31106
20020101,0,105517
20020102,0,30751
20020103,0,95162
20020104,0,87896
20020105,0,69820
20020106,0,51168
20020107,0,65862
20020108,0,123998
20020109,0,112490
20020110,0,131729
20020111,0,138810
20020112,0,115164
20020113,0,59847
20020114,0,79246
20020115,0,142940
20020116,0,124137
20020117,0,142491
20020118,0,142879
20020119,1,129228
20020120,0,66028
20020121,1,75866
20020122,1,135898
20020123,1,120715
20020124,1,139881
20020125,0,135845
20020126,0,122772
20020127,0,57112
20020128,0,71840
20020129,0,132862
20020130,0,119562
20020131,0,137411
20020201,1,134984
20020202,0,125512
20020203,0,68939
20020204,0,74029
20020205,0,124243
20020206,0,126654
20020207,0,133992
20020208,0,135915
20020209,0,127021
20020210,0,63055
20020211,0,82223
20020212,0,146271
20020213,0,120579
20020214,0,139172
20020215,0,129205
20020216,0,127357
20020217,0,67310
20020218,0,65629
20020219,0,133365
20020220,0,111118
20020221,0,127017
20020222,0,137591
20020223,0,132094
20020224,0,69000
20020225,0,78193
20020226,0,133651
20020227,0,122144
20020228,0,149747
20020301,0,156080
20020302,0,127985
20020303,0,62272
20020304,0,73322
20020305,0,131148
20020306,0,117184
20020307,0,139044
20020308,1,144926
20020309,1,120136
20020310,0,64506
20020311,0,76281
20020312,0,112831
20020313,0,124141
20020314,0,138663
20020315,0,146577
20020316,0,155975
20020317,0,93215
20020318,0,72552
20020319,0,83319
20020320,0,125412
20020321,1,160097
20020322,1,147661
20020323,0,137851
20020324,0,69213
20020325,0,83153
20020326,0,151659
20020327,0,135284
20020328,0,166772
20020329,0,144572
20020330,0,130116
20020331,0,58836
20020401,0,49067
20020402,0,123757
20020403,0,187928
20020404,1,137693
20020405,0,151845
20020406,0,130652
20020407,0,74004
20020408,0,84659
20020409,0,148098
20020410,0,137329
20020411,0,156682
20020412,0,152783
20020413,0,131887
20020414,0,68124
20020415,0,86932
20020416,1,153159
20020417,2,144449
20020418,1,152322
20020419,0,142954
20020420,0,136861
20020421,0,77283
20020422,0,89241
20020423,0,169204
20020424,0,139994
20020425,0,148756
20020426,0,160115
20020427,0,139727
20020428,0,70625
20020429,2,81473
20020430,2,140531
20020501,0,3456
20020502,0,155303
20020503,0,155744
20020504,1,142468
20020505,0,94476
20020506,0,81933
20020507,0,164796
20020508,0,124294
20020509,0,127984
20020510,0,138935
20020511,0,132916
20020512,0,72249
20020513,0,72204
20020514,0,128027
20020515,0,148470
20020516,0,160286
20020517,0,147425
20020518,0,130597
20020519,0,67954
20020520,0,45544
20020521,0,113454
20020522,0,139863
20020523,0,139367
20020524,0,139198
20020525,0,131470
20020526,0,71744
20020527,0,87041
20020528,0,144338
20020529,0,125442
20020530,1,157309
20020531,0,185942
20020601,0,153624
20020602,0,74163
20020603,0,87850
20020604,0,166604
20020605,0,142869
20020606,0,161625
20020607,1,153244
20020608,2,140320
20020609,0,80781
20020610,0,60438
20020611,0,167867
20020612,1,160078
20020613,0,163285
20020614,0,165932
20020615,0,154423
20020616,0,86369
20020617,0,74989
20020618,0,180373
20020619,0,159260
20020620,0,155901
20020621,1,158359
20020622,1,156767
20020623,0,75761
20020624,0,95114
20020625,0,160993
20020626,0,141324
20020627,0,147897
20020628,1,140239
20020629,1,137151
20020630,0,79030
20020701,0,87042
20020702,0,127124
20020703,0,119492
20020704,0,140649
20020705,0,139494
20020706,0,118108
20020707,0,63812
20020708,0,70910
20020709,0,128147
20020710,0,109186
20020711,0,78315
20020712,0,139243
20020713,3,100731
20020714,2,57811
20020715,0,41623
20020716,0,89423
20020717,0,87870
20020718,0,99501
20020719,0,105463
20020720,0,78928
20020721,0,41703
20020722,0,39627
20020723,0,80601
20020724,0,97815
20020725,0,97956
20020726,0,115900
20020727,0,76048
20020728,0,36056
20020729,0,36509
20020730,0,76730
20020731,0,87560
20020801,0,71319
20020802,0,75115
20020803,0,73528
20020804,0,37978
20020805,0,33502
20020806,0,68742
20020807,0,75551
20020808,0,75007
20020809,0,75358
20020810,0,74513
20020811,0,41759
20020812,0,38102
20020813,0,71510
20020814,0,66318
20020815,0,60424
20020816,0,84721
20020817,0,37922
20020818,0,35240
20020819,0,37810
20020820,0,69049
20020821,0,68255
20020822,0,81350
20020823,0,84899
20020824,0,69761
20020825,0,37038
20020826,0,37075
20020827,0,69386
20020828,0,71697
20020829,0,89786
20020830,1,93214
20020831,0,71867
20020901,0,38581
20020902,0,69999
20020903,0,127051
20020904,0,112671
20020905,0,127289
20020906,0,125610
20020907,1,108595
20020908,1,50771
20020909,0,112999
20020910,0,126357
20020911,0,170806
20020912,0,145207
20020913,0,135866
20020914,1,112408
20020915,0,49764
20020916,0,72232
20020917,0,130466
20020918,0,112477
20020919,0,159155
20020920,0,142878
20020921,1,111322
20020922,1,48923
20020923,0,72329
20020924,0,128818
20020925,0,122935
20020926,0,131290
20020927,0,156101
20020928,0,119074
20020929,0,65047
20020930,0,74291
20021001,0,133439
20021002,0,119972
20021003,2,128576
20021004,2,142420
20021005,0,113680
20021006,0,55784
20021007,0,67668
20021008,0,127374
20021009,0,115215
20021010,0,127484
20021011,0,129646
20021012,1,117235
20021013,0,55797
20021014,0,73642
20021015,0,132030
20021016,0,116300
20021017,0,130139
20021018,0,138587
20021019,0,117495
20021020,0,55697
20021021,9,81908
20021022,7,142008
20021023,0,122860
20021024,0,131265
20021025,1,140829
20021026,1,109340
20021027,0,51428
20021028,0,72469
20021029,0,123500
20021030,0,113955
20021031,0,123128
20021101,0,108506
20021102,1,87577
20021103,0,45029
20021104,0,71361
20021105,0,136118
20021106,0,120345
20021107,0,133979
20021108,0,144648
20021109,1,110794
20021110,0,50368
20021111,0,45839
20021112,0,124350
20021113,1,131610
20021114,1,129575
20021115,0,122656
20021116,0,108385
20021117,0,48920
20021118,1,99120
20021119,1,158284
20021120,0,119414
20021121,0,134513
20021122,0,132244
20021123,0,111325
20021124,0,52504
20021125,0,78132
20021126,0,134892
20021127,0,117872
20021128,0,129253
20021129,0,138100
20021130,0,113758
20021201,0,20393
20021202,0,81089
20021203,0,80746
20021204,0,93461
20021205,0,92290
20021206,0,70048
20021207,0,78698
20021208,0,15560
20021209,0,82008
20021210,0,78718
20021211,0,82161
20021212,0,85095
20021213,1,84116
20021214,0,79999
20021215,0,15464
20021216,0,76045
20021217,0,82720
20021218,0,82768
20021219,0,93255
20021220,0,85431
20021221,0,59006
20021222,0,12772
20021223,0,42837
20021224,0,45588
20021225,0,39511
20021226,0,40311
20021227,0,42028
20021228,0,56532
20021229,0,23849
20021230,0,38460
20021231,2,77078
20030101,0,42614
20030102,0,43198
20030103,0,41047
20030104,0,41198
20030105,0,12204
20030106,0,72171
20030107,0,69136
20030108,0,63560
20030109,0,109621
20030110,0,66786
20030111,4,67408
20030112,0,12871
20030113,0,77125
20030114,2,68655
20030115,0,59157
20030116,0,73045
20030117,0,63795
20030118,0,67136
20030119,0,12638
20030120,1,82012
20030121,0,67031
20030122,1,54149
20030123,0,94411
20030124,1,63928
20030125,0,67498
20030126,0,14273
20030127,0,69960
20030128,0,68802
20030129,0,63429
20030130,1,77032
20030131,0,70593
20030201,0,66234
20030202,0,20553
20030203,0,72709
20030204,0,70162
20030205,0,63750
20030206,0,86909
20030207,0,68091
20030208,0,70769
20030209,0,13440
20030210,0,72568
20030211,0,73381
20030212,0,66304
20030213,0,89902
20030214,0,66971
20030215,0,80812
20030216,1,11250
20030217,0,72832
20030218,0,62173
20030219,1,70001
20030220,0,89876
20030221,0,72837
20030222,0,69437
20030223,0,15009
20030224,0,68813
20030225,0,117324
20030226,1,65328
20030227,0,86411
20030228,0,83329
20030301,0,82922
20030302,0,18590
20030303,0,76829
20030304,0,71799
20030305,0,71878
20030306,0,78120
20030307,0,74824
20030308,0,65208
20030309,0,22229
20030310,0,73747
20030311,0,74318
20030312,0,66650
20030313,0,102839
20030314,0,83331
20030315,0,73364
20030316,0,13455
20030317,0,77109
20030318,0,57745
20030319,0,118844
20030320,0,106214
20030321,0,70053
20030322,1,88464
20030323,0,20165
20030324,0,75455
20030325,0,76126
20030326,0,66850
20030327,0,78613
20030328,0,74174
20030329,0,77671
20030330,0,14412
20030331,0,81195
20030401,0,79625
20030402,0,75308
20030403,0,79560
20030404,0,75137
20030405,0,94346
20030406,1,12825
20030407,0,69564
20030408,0,72943
20030409,1,67970
20030410,0,94518
20030411,0,66663
20030412,0,95302
20030413,0,13543
20030414,0,85148
20030415,0,67162
20030416,0,63596
20030417,0,92159
20030418,0,64127
20030419,1,70020
20030420,0,16696
20030421,0,40224
20030422,0,68931
20030423,0,67502
20030424,0,87128
20030425,0,64969
20030426,1,65579
20030427,0,11072
20030428,0,66441
20030429,2,71316
20030430,0,81153
20030501,0,6727
20030502,0,65956
20030503,0,78790
20030504,0,18958
20030505,0,66469
20030506,0,73316
20030507,0,70722
20030508,0,73821
20030509,0,69190
20030510,0,68654
20030511,0,9890
20030512,0,84306
20030513,0,59510
20030514,0,53603
20030515,0,68908
20030516,0,79204
20030517,0,60324
20030518,0,23256
20030519,0,63149
20030520,0,73130
20030521,0,82845
20030522,0,75174
20030523,1,80088
20030524,0,59621
20030525,0,22865
20030526,0,57220
20030527,0,86542
20030528,0,67667
20030529,0,75681
20030530,0,69398
20030531,0,62039
20030601,0,24273
20030602,0,88937
20030603,0,56716
20030604,0,55949
20030605,0,84307
20030606,0,77618
20030607,1,57818
20030608,0,18510
20030609,0,44603
20030610,0,74808
20030611,0,75787
20030612,0,73561
20030613,0,74971
20030614,0,58511
20030615,0,20624
20030616,0,60817
20030617,0,74107
20030618,0,85834
20030619,0,90899
20030620,1,70544
20030621,0,70200
20030622,0,30237
20030623,0,62927
20030624,0,79542
20030625,0,84163
20030626,0,78147
20030627,0,79673
20030628,0,59650
20030629,0,23537
20030630,0,66067
20030701,0,81419
20030702,0,68280
20030703,0,86357
20030704,0,85727
20030705,0,59536
20030706,0,25865
20030707,0,66113
20030708,1,102270
20030709,1,70509
20030710,0,84101
20030711,0,83607
20030712,0,59982
20030713,0,14740
20030714,1,46418
20030715,0,52008
20030716,0,55361
20030717,0,60114
20030718,0,64828
20030719,2,56416
20030720,0,13155
20030721,0,44840
20030722,0,52011
20030723,0,53172
20030724,0,48756
20030725,0,76719
20030726,0,62313
20030727,0,22102
20030728,0,44236
20030729,0,53099
20030730,0,50585
20030731,0,64602
20030801,0,47107
20030802,0,55951
20030803,0,10113
20030804,0,41735
20030805,0,49973
20030806,0,47624
20030807,0,60528
20030808,0,48759
