mot,date,X_t,N_t,p_t,surprise
gouvernement,20220704,249,102471,4.261775152920512e-07,6.370409466968557
président,20220425,218,78707,4.6934226639963305e-06,5.3285103338386826
climat,20221106,51,66223,1.1117312936470733e-05,4.954000169397985
président,20210107,240,91422,1.470495537993982e-05,4.832536288958702
climat,20211101,37,48770,2.523806832904478e-05,4.59794388818148
climat,20211031,38,53739,5.192120321310182e-05,4.284655251824869
inflation,20211021,21,95132,6.338418471043763e-05,4.1980190914843645
guerre,20220303,240,101643,7.995410807752694e-05,4.09715921710141
guerre,20220301,198,84088,8.87573396092898e-05,4.051795723681137
gouvernement,20241205,203,107875,9.548121162509024e-05,4.020082078576551
