date,X_t,N_t
20200101,43,26668
20200102,91,66204
20200103,125,93099
20200104,60,49884
20200105,63,43700
20200106,82,77899
20200107,67,78563
20200108,82,82428
20200109,61,79455
20200110,73,100086
20200111,55,75768
20200112,40,38982
20200113,85,84791
20200114,113,87628
20200115,135,92833
20200116,79,91517
20200117,127,129488
20200118,59,68453
20200119,54,53568
20200120,115,80079
20200121,113,85301
20200122,114,104620
20200123,116,91935
20200124,119,111243
20200125,66,55023
20200126,34,44897
20200127,96,90434
20200128,108,85800
20200129,130,108459
20200130,104,96613
20200131,97,124767
20200201,68,72043
20200202,29,42183
20200203,100,94087
20200204,135,90583
20200205,126,95477
20200206,149,102401
20200207,126,130832
20200208,67,64272
20200209,21,36161
20200210,100,92799
20200211,149,85735
20200212,120,87679
20200213,116,93362
20200214,117,110756
20200215,80,68177
20200216,35,48704
20200217,95,77192
20200218,89,84210
20200219,97,94273
20200220,124,93264
20200221,139,105260
20200222,81,63396
20200223,62,49364
20200224,111,88558
20200225,99,95654
20200226,82,99257
20200227,107,95505
20200228,107,120094
20200229,85,72305
20200301,50,54642
20200302,105,100412
20200303,111,90734
20200304,139,108573
20200305,81,88745
20200306,107,116203
20200307,62,67148
20200308,18,37348
20200309,92,98036
20200310,130,99096
20200311,124,108070
20200312,93,106608
20200313,187,144335
20200314,88,84223
20200315,51,39984
20200316,127,98686
20200317,94,100856
20200318,121,102389
20200319,88,112929
20200320,114,126598
20200321,47,67376
20200322,68,47647
20200323,93,86841
20200324,104,106250
20200325,142,109284
20200326,105,87053
20200327,130,127301
20200328,32,54611
20200329,41,29980
20200330,84,95740
20200331,90,98680
20200401,81,105423
20200402,80,88773
20200403,79,131236
20200404,60,67440
20200405,55,49740
20200406,49,81127
20200407,59,96698
20200408,87,106491
20200409,70,74080
20200410,79,106019
20200411,21,52884
20200412,81,47670
20200413,29,54334
20200414,155,92364
20200415,109,89598
20200416,100,94513
20200417,82,105503
20200418,66,62868
20200419,36,40998
20200420,86,99162
20200421,74,90063
20200422,87,85877
20200423,89,84833
20200424,115,113147
20200425,41,56717
20200426,26,35565
20200427,64,92448
20200428,76,89886
20200429,76,96035
20200430,127,108619
20200501,45,56546
20200502,58,66677
20200503,38,43001
20200504,97,86868
20200505,63,96769
20200506,99,105026
20200507,81,79793
20200508,58,89113
20200509,46,61687
20200510,46,40765
20200511,52,80360
20200512,111,90608
20200513,92,86040
20200514,56,87828
20200515,115,122056
20200516,40,47024
20200517,36,45951
20200518,70,67624
20200519,91,92532
20200520,133,98979
20200521,40,56071
20200522,105,101605
20200523,58,57293
20200524,37,38932
20200525,57,72960
20200526,107,99481
20200527,107,89786
20200528,124,88857
20200529,106,112620
20200530,62,66944
20200531,14,38399
20200601,52,53653
20200602,91,112899
20200603,124,96662
20200604,108,97621
20200605,134,120449
20200606,59,64244
20200607,41,40824
20200608,98,74345
20200609,134,97566
20200610,88,95105
20200611,118,100289
20200612,127,119029
20200613,38,70689
20200614,28,44469
20200615,98,94611
20200616,102,100236
20200617,100,109017
20200618,115,93192
20200619,128,141971
20200620,102,69084
20200621,50,48052
20200622,107,97144
20200623,163,117776
20200624,99,89788
20200625,96,100917
20200626,117,124114
20200627,67,54497
20200628,45,42388
20200629,123,89314
20200630,116,101454
20200701,118,92682
20200702,135,91307
20200703,164,125618
20200704,65,63163
20200705,38,38302
20200706,105,100014
20200707,118,96281
20200708,76,91109
20200709,115,81774
20200710,139,116370
20200711,71,54725
20200712,35,36812
20200713,127,73812
20200714,77,44306
20200715,82,75402
20200716,75,87051
20200717,103,111006
20200718,45,52020
20200719,42,27811
20200720,85,66734
20200721,94,65125
20200722,96,89152
20200723,54,81747
20200724,136,98680
20200725,89,47394
20200726,27,33258
20200727,67,64495
20200728,52,74056
20200729,66,79946
20200730,91,83174
20200731,65,75368
20200801,34,56183
20200802,40,36161
20200803,89,63115
20200804,48,60027
20200805,46,61820
20200806,59,64540
20200807,125,96237
20200808,55,48286
20200809,51,31326
20200810,67,69031
20200811,82,66782
20200812,76,75282
20200813,70,69597
