date,N_1gram,N_2gram,guerre,gaulle,communiste,algerie,europe,francs,euro,chomage,internet,nucleaire,climat,terrorisme,immigration,television,mondialisation,croissance,milliards,mitterrand,chirac,sarkozy,hollande,macron,crise,islam,attentats,irak,inflation,covid,confinement,vaccin,russie,ukraine,poutine,gaza,retraites,jeux,dissolution,zemmour,etudiants,intelligence_artificielle,president,gouvernement,economie
19441219,10258,8871.0,30,37,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,7,25,0
19441220,11287,9713.0,23,9,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0.0,4,27,0
19441221,11525,9947.0,30,3,2,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0.0,12,20,0
19441222,11366,9886.0,38,13,3,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,9,35,1
19441223,11914,10307.0,30,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0.0,11,28,0
19441225,12064,10304.0,38,4,4,0,0,2,0,1,0,0,0,0,0,0,0,0,17,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,9,29,0
19441226,12584,10803.0,44,4,1,0,0,3,0,2,0,0,1,0,0,0,0,0,5,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0.0,12,35,0
19441227,10791,9307.0,28,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,5,21,1
19441228,10700,9354.0,35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,17,30,0
19441229,11702,10187.0,34,11,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9,51,1
