mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
france,19450604,199,46537,427.62,1.359e-08,7.87,5
france,19451013,182,56250,323.56,4.408e-05,4.36,0
france,19530605,299,95076,314.49,4.395e-05,4.36,0
france,19540825,374,98704,378.91,1.713e-07,6.77,11
france,19550101,324,101346,319.7,2.702e-05,4.57,2
france,19600216,336,106143,316.55,3.323e-05,4.48,0
france,19980714,631,209323,301.45,6.965e-05,4.16,0
france,20160710,540,178124,303.16,6.608e-05,4.18,0
france,20180715,488,161890,301.44,8.044e-05,4.09,0
temps,19451219,82,53133,154.33,6.14e-06,5.21,0
temps,19821206,438,346623,126.36,8.157e-06,5.09,0
temps,19921015,250,201513,124.06,4.785e-05,4.32,0
temps,19950518,360,259464,138.75,2.923e-07,6.53,1
temps,19951103,238,192054,123.92,5.545e-05,4.26,0
temps,19960414,487,222935,218.45,1.009e-20,20.0,1
temps,19961129,277,221097,125.28,2.761e-05,4.56,1
temps,19971010,642,480548,133.6,4.258e-07,6.37,2
temps,19980415,264,201762,130.85,6.951e-06,5.16,0
temps,19991101,259,168990,153.26,1.185e-08,7.93,1
temps,20000214,494,235848,209.46,3.446e-19,18.46,0
temps,20200505,416,288663,144.11,3.444e-08,7.46,5
monde,20101103,735,315611,232.88,4.383e-05,4.36,0
monde,20180715,521,161890,321.82,6.661e-09,8.18,1
fois,20000707,338,313639,107.77,2.418e-05,4.62,0
fois,20220221,684,590852,115.77,3.15e-08,7.5,0
premier,19760826,277,127324,217.56,9.62e-07,6.02,1
premier,19770322,461,199241,231.38,5.136e-08,7.29,0
premier,19840719,284,152159,186.65,6.065e-05,4.22,0
premier,19890321,338,181087,186.65,5.027e-05,4.3,0
premier,19890925,265,139496,189.97,4.289e-05,4.37,0
premier,20010319,992,538927,184.07,3.577e-05,4.45,0
premier,20020507,1139,620065,183.69,3.598e-05,4.44,0
premier,20080309,595,255761,232.64,2.933e-08,7.53,0
premier,20110321,461,241620,190.8,2.142e-05,4.67,0
premier,20120423,778,436966,178.05,9.265e-05,4.03,0
premier,20140323,516,185949,277.5,2.224e-11,10.65,0
premier,20150330,507,269612,188.05,2.919e-05,4.53,0
premier,20151213,430,180087,238.77,1.816e-08,7.74,1
premier,20170611,908,240591,377.4,4.7780000000000006e-20,19.32,1
premier,20200315,413,222893,185.29,5.02e-05,4.3,0
premier,20220612,537,239189,224.51,1.214e-07,6.92,1
premier,20240701,783,275738,283.97,3.039e-12,11.52,1
première,20060401,388,375411,103.35,6.957e-06,5.16,1
première,20170611,264,240591,109.73,1.883e-06,5.73,0
première,20220910,570,534650,106.61,8.848e-07,6.05,1
paris,19450404,72,33880,212.51,3.602e-05,4.44,0
paris,19541218,188,100992,186.15,5.465e-05,4.26,2
paris,19820703,428,221807,192.96,7.713e-06,5.11,2
paris,19871127,447,254251,175.81,8.105e-05,4.09,0
paris,19940824,350,140700,248.76,2.421e-09,8.62,0
paris,20040824,378,194410,194.43,7.115e-06,5.15,0
paris,20150111,381,196044,194.34,7.144e-06,5.15,0
paris,20151116,774,290307,266.61,2.648e-11,10.58,2
paris,20170430,862,155960,552.71,1.813e-35,34.74,0
paris,20190417,737,294616,250.16,4.92e-10,9.31,0
paris,20230725,486,271266,179.16,4.841e-05,4.32,0
paris,20240812,526,191074,275.29,1.224e-11,10.91,6
quatre,19511004,186,61693,301.49,8.532e-18,17.07,0
quatre,19521004,145,93174,155.62,3.169e-06,5.5,0
quatre,19551006,175,107989,162.05,6.796e-07,6.17,0
quatre,19561004,160,106803,149.81,6.396e-06,5.19,0
président,19450414,195,45418,429.35,6.258e-12,11.2,2
président,19450804,133,45219,294.12,6.998e-06,5.16,1
président,19460907,179,68112,262.8,5.209e-05,4.28,0
président,19470117,171,57144,299.24,2.361e-06,5.63,0
président,19580731,246,92463,266.05,2.426e-05,4.62,0
président,19590904,288,82520,349.01,4.895e-09,8.31,2
président,19621026,313,116718,268.17,1.468e-05,4.83,0
président,19631127,517,139287,371.18,1.069e-10,9.97,1
président,19690430,433,165945,260.93,2.146e-05,4.67,0
président,19700930,522,172560,302.5,2.454e-07,6.61,0
président,19740406,522,181144,288.17,1.135e-06,5.95,2
président,19740812,442,138852,318.32,5.479e-08,7.26,0
président,19880405,249,87120,285.81,3.767e-06,5.42,0
président,19910823,400,152994,261.45,2.183e-05,4.66,0
président,19970401,755,252914,298.52,2.684e-07,6.57,0
président,19980103,773,172192,448.92,3.103e-15,14.51,0
président,19980915,944,251662,375.11,2.552e-11,10.59,1
président,19990105,579,222655,260.04,1.897e-05,4.72,0
président,19990716,475,191513,248.02,6.993e-05,4.16,0
président,20000103,705,176084,400.38,1.736e-12,11.76,0
président,20071231,225,88157,255.23,7.222e-05,4.14,0
président,20080923,601,240052,250.36,4.851e-05,4.31,0
