rang,zscore,minmax,colonne
1,0.11854272,0.24059380,0.81451873
2,0.09114144,0.09632799,0.03707173
3,0.06439581,0.07838605,0.02760043
4,0.05262311,0.05300927,0.01353380
5,0.04686109,0.04078210,0.01234091
6,0.03805500,0.03735569,0.00920572
7,0.03645250,0.03053468,0.00756565
8,0.03337065,0.02901863,0.00665946
9,0.03189936,0.02518055,0.00636917
10,0.03149923,0.02502503,0.00512903
11,0.02901735,0.02257178,0.00473727
12,0.02857802,0.02213472,0.00421902
13,0.02680628,0.02060002,0.00394993
14,0.02641533,0.02025938,0.00380086
15,0.02493897,0.01905904,0.00366105
16,0.02457599,0.01874297,0.00355811
17,0.02372268,0.01798270,0.00317061
18,0.02346688,0.01768417,0.00291662
19,0.02294428,0.01725355,0.00279680
20,0.02210414,0.01660729,0.00272613
21,0.02175169,0.01628239,0.00258555
22,0.02127366,0.01590949,0.00255166
23,0.02112023,0.01583052,0.00243616
24,0.02054958,0.01523613,0.00235160
25,0.02027732,0.01500184,0.00226316
26,0.01988786,0.01473674,0.00221418
27,0.01976703,0.01465472,0.00216574
28,0.01954781,0.01443308,0.00205779
29,0.01936319,0.01434316,0.00201818
30,0.01905081,0.01404290,0.00193659
31,0.00000000,0.00041963,0.00188835
