media,restants,echecs,reussis,total
20minutes,0,15991,829223,845214
atlantico,0,1205,162066,163271
bfmtv,0,14899,774613,789512
challenges,0,281,160198,160479
cnews,0,812,361361,362173
francesoir,0,0,83123,83123
gala,0,1396,255030,256426
l_opinion,0,1,130950,130951
la_croix,0,17092,520226,537318
la_depeche,461749,26290,3778793,4266832
laprovence,0,340977,571128,912105
latribune,0,3853,109325,113178
le_capital,0,38,138705,138743
le_figaro,0,67512,241300,308812
le_journal_du_dimanche,0,44,165536,165580
le_monde,0,56,25614,25670
le_nouvel_observateur,0,209382,308781,518163
le_telegramme,3606936,8776,999045,4614757
leparisien,0,11848,1285168,1297016
les_echos,0,1939,89323,91262
marianne,0,59,47855,47914
mediapart,0,68,53521,53589
midilibre,0,31889,1348573,1380462
nice_matin,0,33183,467652,500835
ouest_france,0,4660590,3151846,7812436
paris_match,0,7709,254706,262415
paris_normandie,0,88696,91877,180573
sud_ouest,272105,12361,1006876,1291342
telerama,0,2339,129505,131844
valeurs_actuelles,0,655,103069,103724
voici,0,22,179649,179671
