media,nom
20minutes,20 Minutes
atlantico,Atlantico
bfmtv,BFMTV
challenges,Challenges
cnews,CNEWS
francesoir,France-Soir
gala,Gala
l_opinion,L'Opinion
la_croix,La Croix
la_depeche,La Dépêche
laprovence,La Provence
latribune,La Tribune
le_capital,Capital
le_figaro,Le Figaro
le_journal_du_dimanche,Le Journal du Dimanche
le_monde,Le Monde
le_nouvel_observateur,Le Nouvel Observateur
le_telegramme,Le Télégramme
leparisien,Le Parisien
les_echos,Les Échos
marianne,Marianne
mediapart,Mediapart
midilibre,Midi Libre
nice_matin,Nice-Matin
ouest_france,Ouest-France
paris_match,Paris Match
paris_normandie,Paris-Normandie
sud_ouest,Sud Ouest
telerama,Télérama
valeurs_actuelles,Valeurs Actuelles
voici,Voici
